id,base_instance_id,campus,size,crew_q,n_wos,window_bh,n_technicians,n_technicians_base,u_realized,u_realized_base,u_shift,method,seed,feasible,wwt,makespan,mean_flow,breach_share,wall_seconds
c01_final_150_0001_q75,c01_final_150_0001,1,150,0.75,150,3.1106,60,94,1.976386,1.261523,0.714863,v2rl304,304,1,0.0,91.3648,4.213827333333334,0.0,0.029403600958175957
c01_final_150_0001_q75,c01_final_150_0001,1,150,0.75,150,3.1106,60,94,1.976386,1.261523,0.714863,v2rl305,305,1,0.0,91.3648,4.923738666666668,0.0,0.029084670008160174
c01_final_150_0001_q75,c01_final_150_0001,1,150,0.75,150,3.1106,60,94,1.976386,1.261523,0.714863,v2rl306,306,1,0.0,91.3648,4.923738666666668,0.0,0.02904333802871406
c01_final_150_0001_q75,c01_final_150_0001,1,150,0.75,150,3.1106,60,94,1.976386,1.261523,0.714863,v2rl307,307,1,0.0,91.3648,4.152460666666667,0.0,0.029052650090306997
c01_final_150_0001_q75,c01_final_150_0001,1,150,0.75,150,3.1106,60,94,1.976386,1.261523,0.714863,v2rl308,308,1,0.0,91.3648,4.917072,0.0,0.02936611499171704
c01_final_150_0001_q75,c01_final_150_0001,1,150,0.75,150,3.1106,60,94,1.976386,1.261523,0.714863,v2rl309,309,1,0.0,91.3648,4.923738666666668,0.0,0.02854013699106872
c01_final_150_0001_q75,c01_final_150_0001,1,150,0.75,150,3.1106,60,94,1.976386,1.261523,0.714863,v2rl310,310,1,0.0,91.3648,4.377148,0.0,0.028151679085567594
c01_final_150_0001_q90,c01_final_150_0001,1,150,0.9,150,3.1106,80,94,1.48229,1.261523,0.220767,edd,301,1,0.0,91.1517,3.878439333333334,0.0,0.00046334799844771624
c01_final_150_0001_q90,c01_final_150_0001,1,150,0.9,150,3.1106,80,94,1.48229,1.261523,0.220767,pfifo,301,1,0.0,91.1517,3.878439333333334,0.0,0.00048659497406333685
c01_final_150_0001_q90,c01_final_150_0001,1,150,0.9,150,3.1106,80,94,1.48229,1.261523,0.220767,wspt,301,1,0.0,91.1517,3.56483,0.0,0.0004355410346761346
c01_final_150_0001_q90,c01_final_150_0001,1,150,0.9,150,3.1106,80,94,1.48229,1.261523,0.220767,atc,301,1,0.0,91.1517,3.56483,0.0,0.000755012035369873
c01_final_150_0001_q90,c01_final_150_0001,1,150,0.9,150,3.1106,80,94,1.48229,1.261523,0.220767,wmdd,301,1,0.0,91.1517,3.878439333333334,0.0,0.0005224139895290136
c01_final_150_0001_q90,c01_final_150_0001,1,150,0.9,150,3.1106,80,94,1.48229,1.261523,0.220767,lpt,301,1,0.0,91.1517,4.118543333333334,0.0,0.00039166095666587353
c01_final_150_0001_q90,c01_final_150_0001,1,150,0.9,150,3.1106,80,94,1.48229,1.261523,0.220767,random,301,1,0.0,91.1517,3.7418093333333338,0.0,0.00030509207863360643
c01_final_150_0001_q90,c01_final_150_0001,1,150,0.9,150,3.1106,80,94,1.48229,1.261523,0.220767,v2rl301,301,1,0.0,91.1517,4.118543333333334,0.0,0.02931075799278915
c01_final_150_0001_q90,c01_final_150_0001,1,150,0.9,150,3.1106,80,94,1.48229,1.261523,0.220767,v2rl302,302,1,0.0,91.1517,4.118543333333334,0.0,0.028474151040427387
c01_final_150_0001_q90,c01_final_150_0001,1,150,0.9,150,3.1106,80,94,1.48229,1.261523,0.220767,v2rl303,303,1,0.0,91.1517,4.114819333333334,0.0,0.02894168405327946
c01_final_150_0001_q90,c01_final_150_0001,1,150,0.9,150,3.1106,80,94,1.48229,1.261523,0.220767,v2rl304,304,1,0.0,91.1517,3.681184666666667,0.0,0.029029457014985383
c01_final_150_0001_q90,c01_final_150_0001,1,150,0.9,150,3.1106,80,94,1.48229,1.261523,0.220767,v2rl305,305,1,0.0,91.1517,4.118543333333334,0.0,0.0289680240675807
c01_final_150_0001_q90,c01_final_150_0001,1,150,0.9,150,3.1106,80,94,1.48229,1.261523,0.220767,v2rl306,306,1,0.0,91.1517,4.118543333333334,0.0,0.02893112599849701
c01_final_150_0001_q90,c01_final_150_0001,1,150,0.9,150,3.1106,80,94,1.48229,1.261523,0.220767,v2rl307,307,1,0.0,91.1517,3.6448113333333336,0.0,0.028845994034782052
c01_final_150_0001_q90,c01_final_150_0001,1,150,0.9,150,3.1106,80,94,1.48229,1.261523,0.220767,v2rl308,308,1,0.0,91.1517,4.111876666666667,0.0,0.029133965959772468
c01_final_150_0001_q90,c01_final_150_0001,1,150,0.9,150,3.1106,80,94,1.48229,1.261523,0.220767,v2rl309,309,1,0.0,91.1517,4.118543333333334,0.0,0.028368158964440227
c01_final_150_0001_q90,c01_final_150_0001,1,150,0.9,150,3.1106,80,94,1.48229,1.261523,0.220767,v2rl310,310,1,0.0,91.1517,3.807875333333333,0.0,0.027885859017260373
c01_final_150_0002_q75,c01_final_150_0002,1,150,0.75,150,16.0,60,94,0.420573,0.268451,0.152122,edd,301,1,8.0,31.0486,3.0302206666666667,0.006666666666666667,0.0004424499347805977
c01_final_150_0002_q75,c01_final_150_0002,1,150,0.75,150,16.0,60,94,0.420573,0.268451,0.152122,pfifo,301,1,8.0,31.0486,3.0302206666666667,0.006666666666666667,0.0004124899860471487
c01_final_150_0002_q75,c01_final_150_0002,1,150,0.75,150,16.0,60,94,0.420573,0.268451,0.152122,wspt,301,1,8.0,31.0486,2.9779246666666666,0.006666666666666667,0.0003368209581822157
c01_final_150_0002_q75,c01_final_150_0002,1,150,0.75,150,16.0,60,94,0.420573,0.268451,0.152122,atc,301,1,8.0,31.0486,2.978862,0.006666666666666667,0.00047586800064891577
c01_final_150_0002_q75,c01_final_150_0002,1,150,0.75,150,16.0,60,94,0.420573,0.268451,0.152122,wmdd,301,1,8.0,31.0486,3.0302206666666667,0.006666666666666667,0.00037101993802934885
c01_final_150_0002_q75,c01_final_150_0002,1,150,0.75,150,16.0,60,94,0.420573,0.268451,0.152122,lpt,301,1,8.0,31.0486,3.2447513333333338,0.006666666666666667,0.0003235330805182457
c01_final_150_0002_q75,c01_final_150_0002,1,150,0.75,150,16.0,60,94,0.420573,0.268451,0.152122,random,301,1,8.0,31.0486,3.1095253333333335,0.006666666666666667,0.00032084505073726177
c01_final_150_0002_q75,c01_final_150_0002,1,150,0.75,150,16.0,60,94,0.420573,0.268451,0.152122,v2rl301,301,1,8.0,31.0486,3.179516,0.006666666666666667,0.027371544972993433
