update,mean_train_return,dev_wwt_mean,entropy,value_loss,seconds
155,-1.710627,410.711463,0.588592,1.121256,0.777
156,-2.441379,410.711463,0.693023,1.218120,1.013
157,-3.100814,410.711463,1.209172,0.920789,0.826
158,-2.991442,410.711463,0.915423,1.561910,1.053
159,-2.826763,410.711463,0.635558,1.528584,0.775
160,-2.909986,410.680213,0.547887,0.664587,1.684
161,-0.972737,410.680213,0.488563,1.266472,0.758
162,-6.188321,410.680213,0.732189,1.996497,0.987
163,-2.330268,410.680213,0.667882,1.711269,0.742
164,-4.796058,410.680213,0.488625,2.767242,0.993
165,-4.560394,410.680213,0.543361,2.932931,0.767
166,-2.865070,410.680213,0.548397,1.642259,1.014
167,-1.708367,410.680213,0.503112,1.097654,0.774
168,-1.896739,410.680213,0.648137,1.095778,1.005
169,-3.683202,410.680213,0.347311,0.966787,0.822
170,-4.451525,410.680213,0.400675,1.931312,1.031
171,-2.576033,410.680213,0.352347,1.216924,0.744
172,-3.037334,410.680213,0.613972,2.236007,1.010
173,-5.156070,410.680213,0.590761,2.552947,0.758
174,-3.823699,410.680213,0.640881,2.053975,1.008
175,-1.935381,410.680213,0.616020,0.749383,0.791
176,-2.444583,410.680213,0.442443,1.283574,1.012
177,-4.837608,410.680213,0.853196,1.881383,0.803
178,-1.219071,410.680213,0.715085,0.822325,1.025
179,-3.826262,410.680213,0.623987,1.581931,0.779
180,-2.642863,410.680213,0.573660,2.051413,1.890
181,-6.035572,410.680213,0.833233,2.673546,0.795
182,-4.345116,410.680213,0.595103,1.359591,1.027
183,-3.539690,410.680213,0.516314,1.294986,0.799
184,-1.881399,410.680213,0.248591,0.842464,0.961
185,-2.905120,410.680213,0.768203,1.377216,0.747
186,-4.415534,410.680213,0.695741,1.295797,1.011
187,-1.744737,410.680213,0.765736,0.997794,0.763
188,-3.029118,410.680213,0.537128,1.776817,1.014
189,-2.641284,410.680213,0.661763,1.483035,0.773
190,-3.261773,410.680213,0.536563,0.977042,0.993
191,-2.579100,410.680213,0.520353,2.122447,0.736
192,-5.065545,410.680213,0.671886,2.578420,1.016
193,-2.093411,410.680213,0.497295,1.073914,0.836
194,-1.022138,410.680213,0.540688,1.483035,1.012
195,-4.438308,410.680213,0.573586,1.432961,0.804
196,-2.354460,410.680213,0.773151,0.997306,1.037
197,-2.465569,410.680213,0.683684,1.014642,0.792
198,-3.679936,410.680213,0.523013,1.736377,1.006
199,-1.821750,410.680213,0.797161,0.798020,0.796
200,-4.502991,410.680213,0.480204,1.824568,1.877
201,-3.346917,410.680213,0.603596,1.462441,0.768
202,-2.587255,410.680213,0.624950,1.165260,1.035
203,-1.576602,410.680213,0.472640,0.999764,0.746
204,-3.585814,410.680213,0.543106,1.596817,1.037
205,-2.139581,410.680213,0.783652,1.166971,0.795
206,-3.788269,410.680213,0.776074,1.538311,1.049
207,-2.138521,410.680213,0.490698,1.246807,0.754
208,-3.278073,410.680213,0.377981,1.281208,1.030
209,-3.757904,410.680213,0.452446,1.710568,0.753
210,-2.035599,410.680213,0.433842,0.639851,0.997
