scope,regime,arm,arm_kind,level,level_bh,n_configs,n_clusters,mean_control,mean_level,mean_diff,pct_of_control,ci_lo,ci_hi,pct_ci_lo,pct_ci_hi,margin,wilcoxon_p,holm_p,verdict
gen|ALL,vis-gen,visseed502,policy,full,inf,540,540,2549.5786133333336,2538.9488859259263,-10.629727407407401,-0.4169209512433914,-17.593874490740667,-4.726509833333298,-0.690069896206822,-0.18538396143642863,25.495786133333336,1.4237275910209256e-10,1.4237275910209256e-10,equivalent
gen|ALL,vis-gen,visseed503,policy,8,8.0,540,540,3183.6389985185187,2534.999704814815,-648.6392937037036,-20.374147131805547,-975.2619048425931,-371.83046876851864,-30.63355817969385,-11.679416822747397,31.83638998518519,1.908802032115587e-12,5.726406096346761e-12,better
gen|ALL,vis-gen,visseed503,policy,40,40.0,540,540,3183.6389985185187,2535.8405574074072,-647.7984411111111,-20.34773545029945,-965.0070301759258,-371.1955887314815,-30.31144644932997,-11.659474862074953,31.83638998518519,8.943537368900163e-06,1.7887074737800326e-05,better
gen|ALL,vis-gen,visseed503,policy,full,inf,540,540,3183.6389985185187,2541.578031851852,-642.0609666666666,-20.16751795556734,-950.5367358703705,-368.60956210185196,-29.856925873589788,-11.578246223060514,31.83638998518519,9.797551668321406e-05,9.797551668321406e-05,better
gen|ALL,vis-gen,visseed504,policy,8,8.0,540,540,3831.3697925925926,3790.7826229629627,-40.58716962962946,-1.0593383522545634,-92.10298526851847,5.356329398148344,-2.4039179263402466,0.13980194259776343,38.31369792592593,0.5804628358584214,0.5804628358584214,inconclusive
gen|ALL,vis-gen,visseed504,policy,40,40.0,540,540,3831.3697925925926,3814.0978781481476,-17.271914444444548,-0.45080259487970414,-75.03417783333362,34.57499066666655,-1.958416490582598,0.902418522313152,38.31369792592593,0.07241190859151277,0.2172357257745383,inconclusive
gen|ALL,vis-gen,visseed504,policy,full,inf,540,540,3831.3697925925926,3814.0978781481476,-17.271914444444548,-0.45080259487970414,-75.05746042592627,36.471325768518554,-1.9590241738356649,0.9519134863732199,38.31369792592593,0.07241190859151277,0.2172357257745383,inconclusive
gen|ALL,vis-gen,visseed505,policy,8,8.0,540,540,4897.155217407407,5303.161870185184,406.0066527777776,8.290663349501118,342.80941977777763,470.4915510138891,7.000174684258093,9.607446162651367,48.97155217407407,3.688391390058386e-38,3.688391390058386e-38,worse
gen|ALL,vis-gen,visseed505,policy,40,40.0,540,540,4897.155217407407,5306.894855740738,409.73963833333323,8.366890983501492,346.9258709583331,475.01487634259274,7.084232693404365,9.699812549418628,48.97155217407407,7.745949374760474e-39,2.3237848124281423e-38,worse
gen|ALL,vis-gen,visseed505,policy,full,inf,540,540,4897.155217407407,5306.894855740738,409.73963833333323,8.366890983501492,345.7003452546295,474.017868912037,7.059207435896754,9.6794536392699,48.97155217407407,7.745949374760474e-39,2.3237848124281423e-38,worse
