region,region_label,pm_shares,u_targets,arm,level,n_configs,n_clusters,mean_control,mean_diff,pct_of_control,ci_lo,ci_hi,pct_ci_lo,pct_ci_hi,verdict,n_seeds,n_seeds_improved,n_seeds_better,n_seeds_worse,seed_pct_min,seed_pct_max
win,"low preventive share near and above capacity (pm share 0.2, target utilization 0.9 and 1.1)",0.2,"0.9,1.1",visseed505,40,120,120,9768.625606666665,801.5522241666669,8.205373574964753,624.2401407083336,981.6209285833341,6.390255557366398,10.048710720507298,worse,5,4,2,1,-38.98455742096473,8.205373574964753
win,"low preventive share near and above capacity (pm share 0.2, target utilization 0.9 and 1.1)",0.2,"0.9,1.1",vispool,full,120,120,7384.847981333333,-520.8801638333333,-7.0533633887923095,-766.9992948416669,-290.6529374791668,-10.386121647736145,-3.9358012272405563,better,5,4,2,1,-38.63539346156469,8.205373574964753
win,"low preventive share near and above capacity (pm share 0.2, target utilization 0.9 and 1.1)",0.2,"0.9,1.1",atc_la,full,120,120,4672.380836666666,-26.900969999999894,-0.5757443783026766,-47.76178808333342,-9.555661833333112,-1.0222152207397388,-0.2045137621990214,inconclusive,5,4,2,1,-38.63539346156469,8.205373574964753
win,"low preventive share near and above capacity (pm share 0.2, target utilization 0.9 and 1.1)",0.2,"0.9,1.1",visseed501,full,120,120,4818.285105,-188.209071666667,-3.906142280193422,-284.80587041666666,-103.5994667083338,-5.910938522942939,-2.1501315188017247,better,5,4,2,1,-38.63539346156469,8.205373574964753
win,"low preventive share near and above capacity (pm share 0.2, target utilization 0.9 and 1.1)",0.2,"0.9,1.1",visseed502,full,120,120,4603.380515000001,-43.836301666666685,-0.9522632666108567,-73.77688383333343,-18.25975437499976,-1.6026675090823643,-0.3966596790228573,inconclusive,5,4,2,1,-38.63539346156469,8.205373574964753
win,"low preventive share near and above capacity (pm share 0.2, target utilization 0.9 and 1.1)",0.2,"0.9,1.1",visseed503,full,120,120,7458.317016666666,-2881.5501249999993,-38.63539346156469,-4207.45967625,-1723.954552833334,-56.412990582833025,-23.11452501926257,better,5,4,2,1,-38.63539346156469,8.205373574964753
win,"low preventive share near and above capacity (pm share 0.2, target utilization 0.9 and 1.1)",0.2,"0.9,1.1",visseed504,full,120,120,10275.631663333334,-292.3575450000005,-2.845153997133078,-523.1372574166677,-88.03060616666764,-5.09104719355974,-0.8566928929613968,inconclusive,5,4,2,1,-38.63539346156469,8.205373574964753
win,"low preventive share near and above capacity (pm share 0.2, target utilization 0.9 and 1.1)",0.2,"0.9,1.1",visseed505,full,120,120,9768.625606666665,801.5522241666669,8.205373574964753,626.3663564999997,992.7690246458328,6.412021319278852,10.162832158991854,worse,5,4,2,1,-38.63539346156469,8.205373574964753
winpeak,"low preventive share above capacity (pm share 0.2, target utilization 1.1)",0.2,1.1,vispool,8,60,60,10037.186709333331,-34.59220699999973,-0.34464046551842353,-141.86562653333365,62.8313425250008,-1.4134002947401219,0.625985590828708,inconclusive,5,3,1,2,-51.07004177635434,76.89951179310683
winpeak,"low preventive share above capacity (pm share 0.2, target utilization 1.1)",0.2,1.1,atc_la,8,60,60,5393.084916666668,-20.185619999999826,-0.3742870789521345,-40.04561766666626,-3.6537028333334196,-0.7425363828948843,-0.06774791960056291,equivalent,5,3,1,2,-51.07004177635434,76.89951179310683
winpeak,"low preventive share above capacity (pm share 0.2, target utilization 1.1)",0.2,1.1,visseed501,8,60,60,5692.751793333333,4377.698336666666,76.89951179310683,2399.448082500001,6576.33126875,42.14917793025767,115.52113121199856,worse,5,3,1,2,-51.07004177635434,76.89951179310683
winpeak,"low preventive share above capacity (pm share 0.2, target utilization 1.1)",0.2,1.1,visseed502,8,60,60,5270.961066666667,-95.81780333333299,-1.8178431242697028,-172.80077749999907,-27.391957833333358,-3.2783542757085384,-0.5196767247354365,inconclusive,5,3,1,2,-51.07004177635434,76.89951179310683
winpeak,"low preventive share above capacity (pm share 0.2, target utilization 1.1)",0.2,1.1,visseed503,8,60,60,10601.953509999998,-5414.422086666665,-51.07004177635434,-7883.2842071666655,-3205.661149916667,-74.35690224194038,-30.236513930126332,better,5,3,1,2,-51.07004177635434,76.89951179310683
winpeak,"low preventive share above capacity (pm share 0.2, target utilization 1.1)",0.2,1.1,visseed504,8,60,60,15197.443646666668,-370.68544333333193,-2.439130237634645,-749.9083868333323,-16.439241833327813,-4.934437687471298,-0.10817109913701516,inconclusive,5,3,1,2,-51.07004177635434,76.89951179310683
winpeak,"low preventive share above capacity (pm share 0.2, target utilization 1.1)",0.2,1.1,visseed505,8,60,60,13422.823529999996,1330.2659616666654,9.910477916166613,1032.9963064166661,1630.4760428333302,7.695819766295225,12.147042231384612,worse,5,3,1,2,-51.07004177635434,76.89951179310683
winpeak,"low preventive share above capacity (pm share 0.2, target utilization 1.1)",0.2,1.1,vispool,40,60,60,10037.186709333331,-1018.2862976666663,-10.145136552255098,-1498.4062073499997,-568.7505904833332,-14.92854771702781,-5.666434300305146,better,5,4,2,1,-51.07959143151032,9.61682524382161
winpeak,"low preventive share above capacity (pm share 0.2, target utilization 1.1)",0.2,1.1,atc_la,40,60,60,5393.084916666668,-49.56861666666656,-0.9191143368330957,-90.48179958333317,-15.794869666666147,-1.6777373429391085,-0.2928726306135852,inconclusive,5,4,2,1,-51.07959143151032,9.61682524382161
winpeak,"low preventive share above capacity (pm share 0.2, target utilization 1.1)",0.2,1.1,visseed501,40,60,60,5692.751793333333,-459.62723333333304,-8.073902569783444,-663.8279275833338,-279.45750416666584,-11.660932211390795,-4.909005597151327,better,5,4,2,1,-51.07959143151032,9.61682524382161
winpeak,"low preventive share above capacity (pm share 0.2, target utilization 1.1)",0.2,1.1,visseed502,40,60,60,5270.961066666667,-110.91934333333307,-2.1043476119522544,-181.72444416666653,-51.82266716666647,-3.4476529397244877,-0.9831730212236021,inconclusive,5,4,2,1,-51.07959143151032,9.61682524382161
winpeak,"low preventive share above capacity (pm share 0.2, target utilization 1.1)",0.2,1.1,visseed503,40,60,60,10601.953509999998,-5415.434536666667,-51.07959143151032,-7876.2547526666685,-3197.786726583331,-74.29059885272663,-30.16224060563091,better,5,4,2,1,-51.07959143151032,9.61682524382161
winpeak,"low preventive share above capacity (pm share 0.2, target utilization 1.1)",0.2,1.1,visseed504,40,60,60,15197.443646666668,-396.2998566666676,-2.607674460787292,-828.5797365833378,-13.845107833333717,-5.452099417819354,-0.09110155730941259,inconclusive,5,4,2,1,-51.07959143151032,9.61682524382161
winpeak,"low preventive share above capacity (pm share 0.2, target utilization 1.1)",0.2,1.1,visseed505,40,60,60,13422.823529999996,1290.8494816666666,9.61682524382161,1012.621099208333,1569.700166125,7.544024526174586,11.694262109732142,worse,5,4,2,1,-51.07959143151032,9.61682524382161
winpeak,"low preventive share above capacity (pm share 0.2, target utilization 1.1)",0.2,1.1,vispool,full,60,60,10037.186709333331,-983.0225389999999,-9.793805450345081,-1444.5023503749994,-559.6647288333332,-14.391506227853593,-5.575912305316736,better,5,4,2,1,-50.68130266368869,9.61682524382161
winpeak,"low preventive share above capacity (pm share 0.2, target utilization 1.1)",0.2,1.1,atc_la,full,60,60,5393.084916666668,-49.56861666666656,-0.9191143368330957,-89.5890133333331,-15.34151941666623,-1.6611830653077468,-0.2844664909550218,inconclusive,5,4,2,1,-50.68130266368869,9.61682524382161
winpeak,"low preventive share above capacity (pm share 0.2, target utilization 1.1)",0.2,1.1,visseed501,full,60,60,5692.751793333333,-369.59092000000044,-6.492306944293986,-541.5459163333334,-212.25857891666698,-9.512902300914066,-3.728576031810112,better,5,4,2,1,-50.68130266368869,9.61682524382161
winpeak,"low preventive share above capacity (pm share 0.2, target utilization 1.1)",0.2,1.1,visseed502,full,60,60,5270.961066666667,-66.8632533333334,-1.2685211005669113,-124.11850191666696,-18.97684116666667,-2.3547603624239812,-0.3600262063530578,inconclusive,5,4,2,1,-50.68130266368869,9.61682524382161
winpeak,"low preventive share above capacity (pm share 0.2, target utilization 1.1)",0.2,1.1,visseed503,full,60,60,10601.953509999998,-5373.208146666666,-50.68130266368869,-7862.021571249997,-3240.814769333333,-74.15634829783363,-30.568090741734764,better,5,4,2,1,-50.68130266368869,9.61682524382161
winpeak,"low preventive share above capacity (pm share 0.2, target utilization 1.1)",0.2,1.1,visseed504,full,60,60,15197.443646666668,-396.2998566666676,-2.607674460787292,-828.4655729166691,-7.465471999997946,-5.451348214726761,-0.04912320896570908,inconclusive,5,4,2,1,-50.68130266368869,9.61682524382161
winpeak,"low preventive share above capacity (pm share 0.2, target utilization 1.1)",0.2,1.1,visseed505,full,60,60,13422.823529999996,1290.8494816666666,9.61682524382161,1019.8703719999987,1573.990368333333,7.598031589408812,11.726224104902117,worse,5,4,2,1,-50.68130266368869,9.61682524382161
negative,"substantial preventive share, every utilization (pm share 0.5 and 0.8)","0.5,0.8","0.7,0.9,1.1",vispool,8,360,360,2115.254268333333,75.52728822222223,3.57060091322885,61.862761530555524,90.3255076194445,2.924601664049537,4.2701962110027765,worse,5,2,0,2,-0.22318394318825785,9.600978130439593
negative,"substantial preventive share, every utilization (pm share 0.5 and 0.8)","0.5,0.8","0.7,0.9,1.1",atc_la,8,360,360,1749.4500077777782,0.07447444444448795,0.004257020441475112,-0.43169954166663643,0.6068144444444752,-0.02467630053716131,0.034686012275096406,equivalent,5,2,0,2,-0.22318394318825785,9.600978130439593
negative,"substantial preventive share, every utilization (pm share 0.5 and 0.8)","0.5,0.8","0.7,0.9,1.1",visseed501,8,360,360,1750.7304216666669,6.934731666666689,0.39610505311634087,4.065066430555565,11.069032680555562,0.232192596886829,0.6322522613171949,equivalent,5,2,0,2,-0.22318394318825785,9.600978130439593
negative,"substantial preventive share, every utilization (pm share 0.5 and 0.8)","0.5,0.8","0.7,0.9,1.1",visseed502,8,360,360,1753.2443644444445,-2.025227222222233,-0.11551311746916537,-3.7519427222222093,-0.2985819444444642,-0.21399998758365313,-0.017030252627623685,equivalent,5,2,0,2,-0.22318394318825785,9.600978130439593
negative,"substantial preventive share, every utilization (pm share 0.5 and 0.8)","0.5,0.8","0.7,0.9,1.1",visseed503,8,360,360,1752.943707777778,-3.912288888888897,-0.22318394318825785,-7.626079305555547,-1.4112138194444641,-0.4350441643801098,-0.08050537009163129,equivalent,5,2,0,2,-0.22318394318825785,9.600978130439593
negative,"substantial preventive share, every utilization (pm share 0.5 and 0.8)","0.5,0.8","0.7,0.9,1.1",visseed504,8,360,360,1781.6901644444442,36.989005000000056,2.0760627037268145,17.849795708333403,66.48845152777783,1.0018462280673373,3.731762842643847,worse,5,2,0,2,-0.22318394318825785,9.600978130439593
negative,"substantial preventive share, every utilization (pm share 0.5 and 0.8)","0.5,0.8","0.7,0.9,1.1",visseed505,8,360,360,3537.662683333331,339.65022055555556,9.600978130439593,276.5198916388888,407.46795833333323,7.8164572598069295,11.517999165183271,worse,5,2,0,2,-0.22318394318825785,9.600978130439593
negative,"substantial preventive share, every utilization (pm share 0.5 and 0.8)","0.5,0.8","0.7,0.9,1.1",vispool,40,360,360,2115.254268333333,83.75816199999994,3.959720741563391,68.48762779166663,99.89619496388883,3.237796458656004,4.722656583626695,worse,5,2,0,2,-0.11164195101487268,9.813607943649139
negative,"substantial preventive share, every utilization (pm share 0.5 and 0.8)","0.5,0.8","0.7,0.9,1.1",atc_la,40,360,360,1749.4500077777782,0.4538672222221997,0.025943423373310345,-0.37539870833338124,1.3785081666666155,-0.021458098640396574,0.07879665955231566,equivalent,5,2,0,2,-0.11164195101487268,9.813607943649139
negative,"substantial preventive share, every utilization (pm share 0.5 and 0.8)","0.5,0.8","0.7,0.9,1.1",visseed501,40,360,360,1750.7304216666669,2.6007811111110843,0.14855405943281566,1.207818347222188,4.171109305555573,0.06898939621283125,0.23824966162321812,equivalent,5,2,0,2,-0.11164195101487268,9.813607943649139
negative,"substantial preventive share, every utilization (pm share 0.5 and 0.8)","0.5,0.8","0.7,0.9,1.1",visseed502,40,360,360,1753.2443644444445,-1.6335544444444394,-0.09317323229851468,-3.00611613888891,-0.3405742222222199,-0.17146019116630482,-0.019425370993856786,equivalent,5,2,0,2,-0.11164195101487268,9.813607943649139
negative,"substantial preventive share, every utilization (pm share 0.5 and 0.8)","0.5,0.8","0.7,0.9,1.1",visseed503,40,360,360,1752.943707777778,-1.9570205555555598,-0.11164195101487268,-5.474358944444494,0.44455377777780014,-0.31229519351676077,0.025360413788835516,equivalent,5,2,0,2,-0.11164195101487268,9.813607943649139
negative,"substantial preventive share, every utilization (pm share 0.5 and 0.8)","0.5,0.8","0.7,0.9,1.1",visseed504,40,360,360,1781.6901644444442,72.60825777777781,4.0752460347345565,42.72807115277779,113.4557813333333,2.398176293805887,6.367873808671464,worse,5,2,0,2,-0.11164195101487268,9.813607943649139
negative,"substantial preventive share, every utilization (pm share 0.5 and 0.8)","0.5,0.8","0.7,0.9,1.1",visseed505,40,360,360,3537.662683333331,347.17234611111104,9.813607943649139,280.2028085416666,417.70750669444453,7.920563197326887,11.807443051660973,worse,5,2,0,2,-0.11164195101487268,9.813607943649139
negative,"substantial preventive share, every utilization (pm share 0.5 and 0.8)","0.5,0.8","0.7,0.9,1.1",vispool,full,360,360,2115.254268333333,83.81444799999996,3.9623816982551068,69.09140294722215,99.85699834722213,3.2663403157513144,4.720803538474937,worse,5,2,0,2,-0.12092424186148609,9.813607943649139
negative,"substantial preventive share, every utilization (pm share 0.5 and 0.8)","0.5,0.8","0.7,0.9,1.1",atc_la,full,360,360,1749.4500077777782,0.4538672222221997,0.025943423373310345,-0.3983298194444602,1.3652571249999954,-0.02276885979442389,0.07803921912202567,equivalent,5,2,0,2,-0.12092424186148609,9.813607943649139
negative,"substantial preventive share, every utilization (pm share 0.5 and 0.8)","0.5,0.8","0.7,0.9,1.1",visseed501,full,360,360,1750.7304216666669,2.2627611111110966,0.12924668944502518,1.2065677499999867,3.359642972222183,0.06891796332934878,0.1918995026672272,equivalent,5,2,0,2,-0.12092424186148609,9.813607943649139
negative,"substantial preventive share, every utilization (pm share 0.5 and 0.8)","0.5,0.8","0.7,0.9,1.1",visseed502,full,360,360,1753.2443644444445,-0.8513911111111239,-0.048560892501765235,-1.9301677500000223,0.24592236111111845,-0.11009119944393149,0.014026701930340701,equivalent,5,2,0,2,-0.12092424186148609,9.813607943649139
negative,"substantial preventive share, every utilization (pm share 0.5 and 0.8)","0.5,0.8","0.7,0.9,1.1",visseed503,full,360,360,1752.943707777778,-2.119733888888902,-0.12092424186148609,-5.675916902777808,0.2806141944443955,-0.3237934497037111,0.01600816918417378,equivalent,5,2,0,2,-0.12092424186148609,9.813607943649139
negative,"substantial preventive share, every utilization (pm share 0.5 and 0.8)","0.5,0.8","0.7,0.9,1.1",visseed504,full,360,360,1781.6901644444442,72.60825777777781,4.0752460347345565,43.633651013888894,111.75794493055557,2.4490033051001587,6.272580225271842,worse,5,2,0,2,-0.12092424186148609,9.813607943649139
negative,"substantial preventive share, every utilization (pm share 0.5 and 0.8)","0.5,0.8","0.7,0.9,1.1",visseed505,full,360,360,3537.662683333331,347.17234611111104,9.813607943649139,279.8957664027778,418.9448349166666,7.911883960034553,11.84241891942958,worse,5,2,0,2,-0.12092424186148609,9.813607943649139
negativepeak,"high preventive share above capacity (pm share 0.8, target utilization 1.1)",0.8,1.1,vispool,8,60,60,1938.9354099999994,135.60454266666667,6.993762761115736,96.80346681666661,177.9233378999997,4.992609156416749,9.176341665759756,worse,5,2,0,2,-0.3375780344083794,12.961371014145527
negativepeak,"high preventive share above capacity (pm share 0.8, target utilization 1.1)",0.8,1.1,atc_la,8,60,60,1247.6933233333332,0.4906366666667149,0.039323498610694785,-0.7568627499999896,2.0850394166667314,-0.060660960177133724,0.16711153114904448,equivalent,5,2,0,2,-0.3375780344083794,12.961371014145527
negativepeak,"high preventive share above capacity (pm share 0.8, target utilization 1.1)",0.8,1.1,visseed501,8,60,60,1252.1405866666669,8.046403333333354,0.6426118136425676,3.0061914166667187,14.483337833333396,0.24008417654358796,1.156686236957593,inconclusive,5,2,0,2,-0.3375780344083794,12.961371014145527
negativepeak,"high preventive share above capacity (pm share 0.8, target utilization 1.1)",0.8,1.1,visseed502,8,60,60,1253.5624366666666,-3.3469699999999496,-0.2669966730097496,-7.58927266666657,0.22470208333340877,-0.6054164072471027,0.017925081093759596,equivalent,5,2,0,2,-0.3375780344083794,12.961371014145527
negativepeak,"high preventive share above capacity (pm share 0.8, target utilization 1.1)",0.8,1.1,visseed503,8,60,60,1252.98733,-4.229810000000034,-0.3375780344083794,-9.17975416666675,-0.0047472499999924546,-0.7326294485888178,-0.00037887454137245383,equivalent,5,2,0,2,-0.3375780344083794,12.961371014145527
