id,base_instance_id,campus,size,transform,backdate_seed,max_shift_frac,n_wos,n_corrective,corrective_share,mean_delta_bh,max_delta_bh,n_clamped_at_zero,window_bh,u_realized,method,seed,feasible,wwt,makespan,mean_flow,breach_share,wall_seconds
c01_final_150_0002_bd,c01_final_150_0002,1,150,backdate,424242,0.5,150,123,0.82,9.86,71.5984,78,16.0,0.268451,pfifo,301,1,8.0,26.0,2.946899333333333,0.006666666666666667,0.001754014054313302
c01_final_150_0002_bd,c01_final_150_0002,1,150,backdate,424242,0.5,150,123,0.82,9.86,71.5984,78,16.0,0.268451,wspt,301,1,8.0,26.0,2.8902326666666665,0.006666666666666667,0.0007260129787027836
c01_final_150_0002_bd,c01_final_150_0002,1,150,backdate,424242,0.5,150,123,0.82,9.86,71.5984,78,16.0,0.268451,atc,301,1,8.0,26.0,2.936498,0.006666666666666667,0.0010983259417116642
c01_final_150_0002_bd,c01_final_150_0002,1,150,backdate,424242,0.5,150,123,0.82,9.86,71.5984,78,16.0,0.268451,wmdd,301,1,8.0,26.0,2.946899333333333,0.006666666666666667,0.0005409530131146312
c01_final_150_0002_bd,c01_final_150_0002,1,150,backdate,424242,0.5,150,123,0.82,9.86,71.5984,78,16.0,0.268451,lpt,301,1,8.0,26.0,3.160315333333333,0.006666666666666667,0.00038138497620821
c01_final_150_0002_bd,c01_final_150_0002,1,150,backdate,424242,0.5,150,123,0.82,9.86,71.5984,78,16.0,0.268451,random,301,1,8.0,26.0,2.973566,0.006666666666666667,0.00031695805955678225
c01_final_150_0002_bd,c01_final_150_0002,1,150,backdate,424242,0.5,150,123,0.82,9.86,71.5984,78,16.0,0.268451,v2rl301,301,1,8.0,26.0,3.1203153333333336,0.006666666666666667,0.027891741949133575
c01_final_150_0002_bd,c01_final_150_0002,1,150,backdate,424242,0.5,150,123,0.82,9.86,71.5984,78,16.0,0.268451,v2rl302,302,1,8.0,26.0,2.9723013333333332,0.006666666666666667,0.02710691501852125
c01_final_150_0002_bd,c01_final_150_0002,1,150,backdate,424242,0.5,150,123,0.82,9.86,71.5984,78,16.0,0.268451,v2rl303,303,1,8.0,26.0,2.968968,0.006666666666666667,0.026712949038483202
c01_final_150_0002_bd,c01_final_150_0002,1,150,backdate,424242,0.5,150,123,0.82,9.86,71.5984,78,16.0,0.268451,v2rl304,304,1,8.0,26.0,2.9631646666666667,0.006666666666666667,0.027215098030865192
c01_final_150_0002_bd,c01_final_150_0002,1,150,backdate,424242,0.5,150,123,0.82,9.86,71.5984,78,16.0,0.268451,v2rl305,305,1,8.0,26.0,2.968968,0.006666666666666667,0.026640744996257126
c01_final_150_0002_bd,c01_final_150_0002,1,150,backdate,424242,0.5,150,123,0.82,9.86,71.5984,78,16.0,0.268451,v2rl306,306,1,8.0,26.0,2.968968,0.006666666666666667,0.027100385981611907
c01_final_150_0002_bd,c01_final_150_0002,1,150,backdate,424242,0.5,150,123,0.82,9.86,71.5984,78,16.0,0.268451,v2rl307,307,1,8.0,26.0,2.9631646666666667,0.006666666666666667,0.02727390604559332
c01_final_150_0002_bd,c01_final_150_0002,1,150,backdate,424242,0.5,150,123,0.82,9.86,71.5984,78,16.0,0.268451,v2rl308,308,1,8.0,26.0,2.9756346666666667,0.006666666666666667,0.027555595035664737
c01_final_150_0002_bd,c01_final_150_0002,1,150,backdate,424242,0.5,150,123,0.82,9.86,71.5984,78,16.0,0.268451,v2rl309,309,1,8.0,26.0,2.966498,0.006666666666666667,0.027551507926546037
c01_final_150_0002_bd,c01_final_150_0002,1,150,backdate,424242,0.5,150,123,0.82,9.86,71.5984,78,16.0,0.268451,v2rl310,310,1,8.0,26.0,2.953566,0.006666666666666667,0.0272219869075343
c01_final_150_0003_bd,c01_final_150_0003,1,150,backdate,424242,0.5,150,61,0.406667,10.9233,75.1001,47,8.2836,0.383994,edd,301,1,0.0,18.5,2.3456366666666666,0.0,0.00042512803338468075
c01_final_150_0003_bd,c01_final_150_0003,1,150,backdate,424242,0.5,150,61,0.406667,10.9233,75.1001,47,8.2836,0.383994,pfifo,301,1,0.0,18.5,2.3456366666666666,0.0,0.0014476969372481108
c01_final_150_0003_bd,c01_final_150_0003,1,150,backdate,424242,0.5,150,61,0.406667,10.9233,75.1001,47,8.2836,0.383994,wspt,301,1,0.0,18.5,2.3455419999999996,0.0,0.00037028698716312647
c01_final_150_0003_bd,c01_final_150_0003,1,150,backdate,424242,0.5,150,61,0.406667,10.9233,75.1001,47,8.2836,0.383994,atc,301,1,0.0,18.5,2.3455419999999996,0.0,0.0005644520279020071
c01_final_150_0003_bd,c01_final_150_0003,1,150,backdate,424242,0.5,150,61,0.406667,10.9233,75.1001,47,8.2836,0.383994,wmdd,301,1,0.0,18.5,2.3456366666666666,0.0,0.0004013730213046074
c01_final_150_0003_bd,c01_final_150_0003,1,150,backdate,424242,0.5,150,61,0.406667,10.9233,75.1001,47,8.2836,0.383994,lpt,301,1,0.0,18.5,2.365630666666666,0.0,0.00032020104117691517
c01_final_150_0003_bd,c01_final_150_0003,1,150,backdate,424242,0.5,150,61,0.406667,10.9233,75.1001,47,8.2836,0.383994,random,301,1,0.0,18.5,2.352208666666667,0.0,0.0002939850091934204
c01_final_150_0003_bd,c01_final_150_0003,1,150,backdate,424242,0.5,150,61,0.406667,10.9233,75.1001,47,8.2836,0.383994,v2rl301,301,1,0.0,18.5,2.3656306666666667,0.0,0.027529899962246418
c01_final_150_0003_bd,c01_final_150_0003,1,150,backdate,424242,0.5,150,61,0.406667,10.9233,75.1001,47,8.2836,0.383994,v2rl302,302,1,0.0,18.5,2.3656306666666667,0.0,0.026451283018104732
c01_final_150_0003_bd,c01_final_150_0003,1,150,backdate,424242,0.5,150,61,0.406667,10.9233,75.1001,47,8.2836,0.383994,v2rl303,303,1,0.0,18.5,2.365630666666666,0.0,0.026308040949516
