id,campus,track,size,method,feasible,wwt,makespan,mean_flow,breach_share,breach_p1,breach_p2,breach_p3,breach_p4,wall_seconds,decisions,status,objective_bh,best_bound_bh,reused_from_60
c01_gen_150_0006,1,generator,150,edd,1,5.403599999999997,50.2286,3.2163019999999998,0.006666666666666667,,0.014705882352941176,0.0,0.0,0.00040327804163098335,150,,,,False
c01_gen_150_0006,1,generator,150,wspt,1,5.403599999999997,50.2286,3.2163019999999998,0.006666666666666667,,0.014705882352941176,0.0,0.0,0.00036828999873250723,150,,,,False
c01_gen_150_0006,1,generator,150,atc,1,5.403599999999997,50.2286,3.2163019999999998,0.006666666666666667,,0.014705882352941176,0.0,0.0,0.0004564899718388915,150,,,,False
c01_gen_150_0006,1,generator,150,pfifo,1,5.403599999999997,50.2286,3.2163019999999998,0.006666666666666667,,0.014705882352941176,0.0,0.0,0.0003656999906525016,150,,,,False
c01_gen_150_0006,1,generator,150,lpt,1,5.403599999999997,50.2286,3.2163019999999998,0.006666666666666667,,0.014705882352941176,0.0,0.0,0.0003563319332897663,150,,,,False
c01_gen_150_0006,1,generator,150,wmdd,1,5.403599999999997,50.2286,3.2163019999999998,0.006666666666666667,,0.014705882352941176,0.0,0.0,0.0003785770386457443,150,,,,False
c01_gen_150_0006,1,generator,150,random,1,5.403599999999997,50.2286,3.2163019999999998,0.006666666666666667,,0.014705882352941176,0.0,0.0,0.0003519189776852727,150,,,,False
c01_gen_150_0006,1,generator,150,ga,1,5.403599999999997,50.2286,3.2163019999999998,0.006666666666666667,,0.014705882352941176,0.0,0.0,2.1930515529820696,19700,,,,False
c01_gen_150_0006,1,generator,150,cpsat60,1,5.418000000000006,50.2342,3.2212666666666667,0.006666666666666667,,0.014705882352941176,0.0,0.0,0.10429642000235617,5090,OPTIMAL,5.44,5.44,False
c01_gen_150_0006,1,generator,150,cpsat300,1,5.418000000000006,50.2342,3.2212666666666667,0.006666666666666667,,0.014705882352941176,0.0,0.0,0.10429642000235617,5090,OPTIMAL,5.44,5.44,True
c01_gen_150_0007,1,generator,150,edd,1,0.0,32.3193,2.662786,0.0,,0.0,0.0,0.0,0.00038812996353954077,150,,,,False
c01_gen_150_0007,1,generator,150,wspt,1,0.0,32.3193,2.662786,0.0,,0.0,0.0,0.0,0.0003691180609166622,150,,,,False
c01_gen_150_0007,1,generator,150,atc,1,0.0,32.3193,2.662786,0.0,,0.0,0.0,0.0,0.000473637948743999,150,,,,False
c01_gen_150_0007,1,generator,150,pfifo,1,0.0,32.3193,2.662786,0.0,,0.0,0.0,0.0,0.0003601240459829569,150,,,,False
c01_gen_150_0007,1,generator,150,lpt,1,0.0,32.3193,2.662786,0.0,,0.0,0.0,0.0,0.0003592449938878417,150,,,,False
c01_gen_150_0007,1,generator,150,wmdd,1,0.0,32.3193,2.662786,0.0,,0.0,0.0,0.0,0.00037263601552695036,150,,,,False
c01_gen_150_0007,1,generator,150,random,1,0.0,32.3193,2.662786,0.0,,0.0,0.0,0.0,0.0003467899514362216,150,,,,False
c01_gen_150_0007,1,generator,150,ga,1,0.0,32.3193,2.662786,0.0,,0.0,0.0,0.0,1.8145170989446342,19700,,,,False
c01_gen_150_0007,1,generator,150,cpsat60,1,0.0,32.322599999999994,2.667376,0.0,,0.0,0.0,0.0,0.1205799860181287,5043,OPTIMAL,0.0,0.0,False
c01_gen_150_0007,1,generator,150,cpsat300,1,0.0,32.322599999999994,2.667376,0.0,,0.0,0.0,0.0,0.1205799860181287,5043,OPTIMAL,0.0,0.0,True
c01_gen_150_0008,1,generator,150,edd,1,0.0,30.9018,2.968420666666667,0.0,0.0,0.0,0.0,0.0,0.00037726503796875477,150,,,,False
c01_gen_150_0008,1,generator,150,wspt,1,0.0,30.9018,2.968420666666667,0.0,0.0,0.0,0.0,0.0,0.0003535009454935789,150,,,,False
c01_gen_150_0008,1,generator,150,atc,1,0.0,30.9018,2.968420666666667,0.0,0.0,0.0,0.0,0.0,0.0004508460406213999,150,,,,False
c01_gen_150_0008,1,generator,150,pfifo,1,0.0,30.9018,2.968420666666667,0.0,0.0,0.0,0.0,0.0,0.0003492700634524226,150,,,,False
c01_gen_150_0008,1,generator,150,lpt,1,0.0,30.9018,2.968420666666667,0.0,0.0,0.0,0.0,0.0,0.000338762067258358,150,,,,False
c01_gen_150_0008,1,generator,150,wmdd,1,0.0,30.9018,2.968420666666667,0.0,0.0,0.0,0.0,0.0,0.00035958096850663424,150,,,,False
