id,base_id,campus,size,condition,sla_multiplier,crew_multiplier,method,seed,feasible,wwt,makespan,mean_flow,breach_share,breach_p1,breach_p2,breach_p3,breach_p4,wall_seconds
c05_replay_150_0102_sla0.5,c05_replay_150_0102,5,150,sla0.5,0.5,1.0,rl301,301,1,43.0,74.2303,4.381565333333333,0.006666666666666667,,,0.006666666666666667,,0.05448271404020488
c05_replay_150_0102_sla0.5,c05_replay_150_0102,5,150,sla0.5,0.5,1.0,rl302,302,1,43.0,74.2303,4.381565333333333,0.006666666666666667,,,0.006666666666666667,,0.05240088701248169
c05_replay_150_0102_sla0.5,c05_replay_150_0102,5,150,sla0.5,0.5,1.0,rl303,303,1,43.0,74.2303,4.361565333333333,0.006666666666666667,,,0.006666666666666667,,0.05238121701404452
c05_replay_150_0102_sla1.5,c05_replay_150_0102,5,150,sla1.5,1.5,1.0,edd,301,1,0.0,74.2303,4.358839333333334,0.0,,,0.0,,0.0004101699450984597
c05_replay_150_0102_sla1.5,c05_replay_150_0102,5,150,sla1.5,1.5,1.0,wspt,301,1,0.0,74.2303,4.358839333333334,0.0,,,0.0,,0.0005799679784104228
c05_replay_150_0102_sla1.5,c05_replay_150_0102,5,150,sla1.5,1.5,1.0,atc,301,1,0.0,74.2303,4.358839333333334,0.0,,,0.0,,0.000511904014274478
c05_replay_150_0102_sla1.5,c05_replay_150_0102,5,150,sla1.5,1.5,1.0,pfifo,301,1,0.0,74.2303,4.358839333333334,0.0,,,0.0,,0.00038556393701583147
c05_replay_150_0102_sla1.5,c05_replay_150_0102,5,150,sla1.5,1.5,1.0,lpt,301,1,0.0,74.2303,4.381565333333333,0.0,,,0.0,,0.00038656406104564667
c05_replay_150_0102_sla1.5,c05_replay_150_0102,5,150,sla1.5,1.5,1.0,random,301,1,0.0,74.2303,4.381565333333333,0.0,,,0.0,,0.00036609102971851826
c05_replay_150_0102_sla1.5,c05_replay_150_0102,5,150,sla1.5,1.5,1.0,rl301,301,1,0.0,74.2303,4.361565333333333,0.0,,,0.0,,0.026687689940445125
c05_replay_150_0102_sla1.5,c05_replay_150_0102,5,150,sla1.5,1.5,1.0,rl302,302,1,0.0,74.2303,4.381565333333333,0.0,,,0.0,,0.025836264016106725
c05_replay_150_0102_sla1.5,c05_replay_150_0102,5,150,sla1.5,1.5,1.0,rl303,303,1,0.0,74.2303,4.358839333333334,0.0,,,0.0,,0.02584478398784995
c05_replay_150_0102_m0.75,c05_replay_150_0102,5,150,crew0.75,1.0,0.75,edd,301,1,0.0,74.2303,4.366146666666666,0.0,,,0.0,,0.0003940030001103878
c05_replay_150_0102_m0.75,c05_replay_150_0102,5,150,crew0.75,1.0,0.75,wspt,301,1,0.0,74.2303,4.366146666666666,0.0,,,0.0,,0.0003977179294452071
c05_replay_150_0102_m0.75,c05_replay_150_0102,5,150,crew0.75,1.0,0.75,atc,301,1,0.0,74.2303,4.366146666666666,0.0,,,0.0,,0.0004769139923155308
c05_replay_150_0102_m0.75,c05_replay_150_0102,5,150,crew0.75,1.0,0.75,pfifo,301,1,0.0,74.2303,4.366146666666666,0.0,,,0.0,,0.0003668130375444889
c05_replay_150_0102_m0.75,c05_replay_150_0102,5,150,crew0.75,1.0,0.75,lpt,301,1,0.0,74.2303,4.395539333333333,0.0,,,0.0,,0.0003516389988362789
c05_replay_150_0102_m0.75,c05_replay_150_0102,5,150,crew0.75,1.0,0.75,random,301,1,0.0,74.2303,4.392206,0.0,,,0.0,,0.0003502749605104327
c05_replay_150_0102_m0.75,c05_replay_150_0102,5,150,crew0.75,1.0,0.75,rl301,301,1,0.0,74.2303,4.388872666666666,0.0,,,0.0,,0.02614726999308914
c05_replay_150_0102_m0.75,c05_replay_150_0102,5,150,crew0.75,1.0,0.75,rl302,302,1,0.0,74.2303,4.395539333333333,0.0,,,0.0,,0.026134095969609916
c05_replay_150_0102_m0.75,c05_replay_150_0102,5,150,crew0.75,1.0,0.75,rl303,303,1,0.0,74.2303,4.372813333333333,0.0,,,0.0,,0.026108549907803535
c05_replay_150_0102_m1.25,c05_replay_150_0102,5,150,crew1.25,1.0,1.25,edd,301,1,0.0,74.2303,4.358839333333334,0.0,,,0.0,,0.00044650002382695675
c05_replay_150_0102_m1.25,c05_replay_150_0102,5,150,crew1.25,1.0,1.25,wspt,301,1,0.0,74.2303,4.358839333333334,0.0,,,0.0,,0.00040592195000499487
c05_replay_150_0102_m1.25,c05_replay_150_0102,5,150,crew1.25,1.0,1.25,atc,301,1,0.0,74.2303,4.358839333333334,0.0,,,0.0,,0.0005142189329490066
c05_replay_150_0102_m1.25,c05_replay_150_0102,5,150,crew1.25,1.0,1.25,pfifo,301,1,0.0,74.2303,4.358839333333334,0.0,,,0.0,,0.00038368499372154474
c05_replay_150_0102_m1.25,c05_replay_150_0102,5,150,crew1.25,1.0,1.25,lpt,301,1,0.0,74.2303,4.381565333333333,0.0,,,0.0,,0.00038206600584089756
c05_replay_150_0102_m1.25,c05_replay_150_0102,5,150,crew1.25,1.0,1.25,random,301,1,0.0,74.2303,4.381565333333333,0.0,,,0.0,,0.0003679069923236966
c05_replay_150_0102_m1.25,c05_replay_150_0102,5,150,crew1.25,1.0,1.25,rl301,301,1,0.0,74.2303,4.381565333333333,0.0,,,0.0,,0.05361507600173354
c05_replay_150_0102_m1.25,c05_replay_150_0102,5,150,crew1.25,1.0,1.25,rl302,302,1,0.0,74.2303,4.381565333333333,0.0,,,0.0,,0.05344750895164907
c05_replay_150_0102_m1.25,c05_replay_150_0102,5,150,crew1.25,1.0,1.25,rl303,303,1,0.0,74.2303,4.358839333333334,0.0,,,0.0,,0.09417962294537574
c05_replay_150_0103,c05_replay_150_0103,5,150,baseline,1.0,1.0,edd,301,1,43.45920000000001,99.6979,4.9420546666666665,0.013333333333333334,,,0.013333333333333334,,0.00041285506449639797
c05_replay_150_0103,c05_replay_150_0103,5,150,baseline,1.0,1.0,wspt,301,1,43.45920000000001,99.6979,4.9420546666666665,0.013333333333333334,,,0.013333333333333334,,0.0003847220214083791
c05_replay_150_0103,c05_replay_150_0103,5,150,baseline,1.0,1.0,atc,301,1,43.45920000000001,99.6979,4.9420546666666665,0.013333333333333334,,,0.013333333333333334,,0.000483914976939559
c05_replay_150_0103,c05_replay_150_0103,5,150,baseline,1.0,1.0,pfifo,301,1,43.45920000000001,99.6979,4.9420546666666665,0.013333333333333334,,,0.013333333333333334,,0.00037802394945174456
c05_replay_150_0103,c05_replay_150_0103,5,150,baseline,1.0,1.0,lpt,301,1,43.45920000000001,99.6979,4.9420546666666665,0.013333333333333334,,,0.013333333333333334,,0.00037304393481463194
c05_replay_150_0103,c05_replay_150_0103,5,150,baseline,1.0,1.0,random,301,1,43.45920000000001,99.6979,4.9420546666666665,0.013333333333333334,,,0.013333333333333334,,0.00034928403329104185
c05_replay_150_0103,c05_replay_150_0103,5,150,baseline,1.0,1.0,rl301,301,1,43.45920000000001,99.6979,4.9420546666666665,0.013333333333333334,,,0.013333333333333334,,0.026415170985274017
c05_replay_150_0103,c05_replay_150_0103,5,150,baseline,1.0,1.0,rl302,302,1,43.45920000000001,99.6979,4.9420546666666665,0.013333333333333334,,,0.013333333333333334,,0.025685980916023254
c05_replay_150_0103,c05_replay_150_0103,5,150,baseline,1.0,1.0,rl303,303,1,43.45920000000001,99.6979,4.9420546666666665,0.013333333333333334,,,0.013333333333333334,,0.025470718042925
c05_replay_150_0103_sla0.5,c05_replay_150_0103,5,150,sla0.5,0.5,1.0,edd,301,1,203.4592,99.6979,4.9420546666666665,0.013333333333333334,,,0.013333333333333334,,0.00040927098598331213
c05_replay_150_0103_sla0.5,c05_replay_150_0103,5,150,sla0.5,0.5,1.0,wspt,301,1,203.4592,99.6979,4.9420546666666665,0.013333333333333334,,,0.013333333333333334,,0.0004856089362874627
c05_replay_150_0103_sla0.5,c05_replay_150_0103,5,150,sla0.5,0.5,1.0,atc,301,1,203.4592,99.6979,4.9420546666666665,0.013333333333333334,,,0.013333333333333334,,0.0035539729287847877
c05_replay_150_0103_sla0.5,c05_replay_150_0103,5,150,sla0.5,0.5,1.0,pfifo,301,1,203.4592,99.6979,4.9420546666666665,0.013333333333333334,,,0.013333333333333334,,0.00041630701161921024
