scope,family,n_configs,n_clusters,mean_edd,mean_family,mean_diff,margin,ci_lo,ci_hi,verdict,alpha_adjusted,level_pct,ci_lo_bonf,ci_hi_bonf,verdict_bonf,width_ratio,verdict_changed
m=0.8,v1_pool,180,180,446.6359855555555,446.3757633333334,-0.2602222222222278,4.466359855555555,-0.5545668240740702,-0.004339259259263195,equivalent,0.001851851851851852,99.81481481481481,-0.746501166666672,0.11672454629629332,equivalent,1.5688521771051323,0
m=0.6,pfifo,180,180,451.7136088888889,451.7136088888889,0.0,4.517136088888889,0.0,0.0,equivalent,0.001851851851851852,99.81481481481481,0.0,0.0,equivalent,,0
m=0.6,wspt,180,180,451.7136088888889,463.7768022222222,12.063193333333338,4.517136088888889,6.457269861111109,18.99051905555556,worse,0.001851851851851852,99.81481481481481,3.6737749074074078,24.698781138888915,inconclusive,1.677538354603302,1
m=0.6,atc,180,180,451.7136088888889,456.44054111111114,4.726932222222232,4.517136088888889,1.8405593333333345,8.070829722222243,inconclusive,0.001851851851851852,99.81481481481481,0.5008502314814811,9.970086101851882,inconclusive,1.5198755879452486,0
m=0.6,wmdd,180,180,451.7136088888889,455.0836822222222,3.3700733333333304,4.517136088888889,1.6959803611111073,5.341586583333323,inconclusive,0.001851851851851852,99.81481481481481,0.8963471666666651,6.866553833333328,inconclusive,1.6376444143293851,0
m=0.6,lpt,180,180,451.7136088888889,536.7492233333334,85.03561444444443,4.517136088888889,19.51414861111111,190.06017444444439,worse,0.001851851851851852,99.81481481481481,8.554655833333333,270.04508702777775,worse,1.5332543219153456,0
m=0.6,random,180,180,451.7136088888889,479.31515777777776,27.60154888888888,4.517136088888889,7.746442999999997,64.16067377777777,worse,0.001851851851851852,99.81481481481481,4.717232111111109,93.98553868518526,worse,1.5823721309914234,0
m=0.6,mlp_pool,180,180,451.7136088888889,451.31821500000007,-0.3953938888888819,4.517136088888889,-1.746209855555552,1.0218538833333284,equivalent,0.001851851851851852,99.81481481481481,-2.5763978194444364,1.942135890740737,equivalent,1.632380658979675,0
m=0.6,attn_pool,180,180,451.7136088888889,455.55234311111104,3.838734222222217,4.517136088888889,1.3042425833333327,7.040137813888879,inconclusive,0.001851851851851852,99.81481481481481,0.29598591018518,9.530370146296294,inconclusive,1.6099290285008787,0
m=0.6,v1_pool,180,180,451.7136088888889,450.87195851851857,-0.8416503703703653,4.517136088888889,-2.2697543240740714,0.4960714907407435,equivalent,0.001851851851851852,99.81481481481481,-3.1782372160493595,1.224818290123472,equivalent,1.591949674700551,0
