arm,rule,dropped,n_configs,n_clusters,mean_edd,mean_family,mean_diff,ci_lo,ci_hi,margin,verdict,full_mean_diff,full_ci_lo,full_ci_hi,full_margin,full_verdict,delta_vs_full,verdict_changed
q0.95,atc,c02_final_150_0005,16,16,1392.9022750000001,1329.99545,-62.906825000000026,-200.48863093750006,43.26723718749999,13.929022750000001,inconclusive,-59.206423529411786,-189.72089735294122,39.87595441176471,13.11322141176471,inconclusive,-3.7004014705882398,0
q0.95,atc,c02_final_150_0006,16,16,1251.896525,1224.9639750000001,-26.932550000000017,-148.74651437500006,52.652861249999994,12.51896525,inconclusive,-59.206423529411786,-189.72089735294122,39.87595441176471,13.11322141176471,inconclusive,32.27387352941177,0
q0.95,atc,c02_final_150_0007,16,16,1238.1705625,1179.90455,-58.266012500000016,-200.22518750000006,46.847737499999994,12.381705625,inconclusive,-59.206423529411786,-189.72089735294122,39.87595441176471,13.11322141176471,inconclusive,0.94041102941177,0
q0.95,atc,c02_final_150_0008,16,16,1327.284325,1262.7308375,-64.55348750000003,-204.7461362500001,40.137959062500016,13.272843250000001,inconclusive,-59.206423529411786,-189.72089735294122,39.87595441176471,13.11322141176471,inconclusive,-5.347063970588245,0
q0.95,atc,c02_final_150_0009,16,16,1327.1041,1258.9802,-68.12390000000003,-205.17349656250008,35.91488593749995,13.271041,inconclusive,-59.206423529411786,-189.72089735294122,39.87595441176471,13.11322141176471,inconclusive,-8.917476470588248,0
q0.95,atc,c02_final_150_0010,16,16,1363.8202500000002,1299.201725,-64.61852500000003,-205.29559968750004,39.49694249999995,13.638202500000002,inconclusive,-59.206423529411786,-189.72089735294122,39.87595441176471,13.11322141176471,inconclusive,-5.412101470588247,0
q0.95,atc,c02_final_150_0011,16,16,1255.7742375000003,1191.0107375,-64.76350000000002,-200.80002093750002,40.07470968749999,12.557742375000004,inconclusive,-59.206423529411786,-189.72089735294122,39.87595441176471,13.11322141176471,inconclusive,-5.557076470588235,0
q0.95,atc,c02_final_150_0012,16,16,1295.5324875000001,1229.9206875,-65.61180000000003,-201.68725218750004,41.323928124999945,12.955324875000002,inconclusive,-59.206423529411786,-189.72089735294122,39.87595441176471,13.11322141176471,inconclusive,-6.405376470588244,0
q0.95,atc,c02_final_150_0013,16,16,1305.04825,1242.0397750000002,-63.00847500000003,-199.32060937500006,43.40422937499996,13.050482500000001,inconclusive,-59.206423529411786,-189.72089735294122,39.87595441176471,13.11322141176471,inconclusive,-3.802051470588246,0
q0.95,atc,c02_final_150_0014,16,16,1251.710825,1173.48985,-78.22097500000001,-210.07553187500002,18.247165312499995,12.517108250000001,inconclusive,-59.206423529411786,-189.72089735294122,39.87595441176471,13.11322141176471,inconclusive,-19.014551470588223,0
q0.95,atc,c02_final_150_0015,16,16,1347.0941750000002,1284.1873500000002,-62.906825000000026,-205.55750625000002,41.62557499999998,13.470941750000001,inconclusive,-59.206423529411786,-189.72089735294122,39.87595441176471,13.11322141176471,inconclusive,-3.7004014705882398,0
q0.95,atc,c02_final_150_0016,16,16,1213.0822000000003,1202.1871,-10.89510000000001,-99.9128746875,52.35879124999991,12.130822000000004,inconclusive,-59.206423529411786,-189.72089735294122,39.87595441176471,13.11322141176471,inconclusive,48.31132352941178,0
q0.95,wspt,c02_final_150_0000,16,16,1300.788825,1278.0869875,-22.70183750000006,-165.9439256250001,93.51181874999992,13.00788825,inconclusive,-20.083282352941236,-154.8081844117648,90.78184147058815,13.11322141176471,inconclusive,-2.6185551470588244,0
q0.95,wspt,c02_final_150_0001,16,16,1341.5378375,1319.1239500000001,-22.413887500000058,-168.78368625000007,95.16414312499992,13.415378375000001,inconclusive,-20.083282352941236,-154.8081844117648,90.78184147058815,13.11322141176471,inconclusive,-2.3306051470588223,0
q0.95,wspt,c02_final_150_0002,16,16,1343.0577250000001,1320.2808875,-22.776837500000063,-169.8648100000001,93.73747468749986,13.43057725,inconclusive,-20.083282352941236,-154.8081844117648,90.78184147058815,13.11322141176471,inconclusive,-2.6935551470588273,0
q0.95,wspt,c02_final_150_0003,16,16,1381.871675,1360.5331875000002,-21.338487500000063,-163.84575843750005,95.28842218749996,13.818716750000002,inconclusive,-20.083282352941236,-154.8081844117648,90.78184147058815,13.11322141176471,inconclusive,-1.2552051470588275,0
q0.95,wspt,c02_final_150_0004,16,16,1355.8001250000002,1334.4616375,-21.338487500000063,-168.1002421875001,95.86897156249994,13.558001250000002,inconclusive,-20.083282352941236,-154.8081844117648,90.78184147058815,13.11322141176471,inconclusive,-1.2552051470588275,0
q0.95,wspt,c02_final_150_0005,16,16,1392.9022750000001,1371.5637875000002,-21.338487500000063,-168.89578937500002,96.16034218749985,13.929022750000001,inconclusive,-20.083282352941236,-154.8081844117648,90.78184147058815,13.11322141176471,inconclusive,-1.2552051470588275,0
q0.95,wspt,c02_final_150_0006,16,16,1251.896525,1266.6664875000001,14.769962499999941,-114.18919687500008,108.27202468749985,12.51896525,inconclusive,-20.083282352941236,-154.8081844117648,90.78184147058815,13.11322141176471,inconclusive,34.853244852941174,0
q0.95,wspt,c02_final_150_0007,16,16,1238.1705625,1215.45955,-22.71101250000006,-167.82278937500007,92.88132062499996,12.381705625,inconclusive,-20.083282352941236,-154.8081844117648,90.78184147058815,13.11322141176471,inconclusive,-2.6277301470588235,0
q0.95,wspt,c02_final_150_0008,16,16,1327.284325,1304.299175,-22.98515000000007,-164.03529125000009,95.46942312499996,13.272843250000001,inconclusive,-20.083282352941236,-154.8081844117648,90.78184147058815,13.11322141176471,inconclusive,-2.9018676470588325,0
q0.95,wspt,c02_final_150_0009,16,16,1327.1041,1297.7376875,-29.36641250000006,-175.64303187500002,88.31925281249993,13.271041,inconclusive,-20.083282352941236,-154.8081844117648,90.78184147058815,13.11322141176471,inconclusive,-9.283130147058824,0
q0.95,wspt,c02_final_150_0010,16,16,1363.8202500000002,1339.5750625,-24.245187500000064,-171.0485871875001,93.11657874999987,13.638202500000002,inconclusive,-20.083282352941236,-154.8081844117648,90.78184147058815,13.11322141176471,inconclusive,-4.161905147058828,0
q0.95,wspt,c02_final_150_0011,16,16,1255.7742375000003,1224.741575,-31.032662500000065,-176.61946218750003,84.05843718749992,12.557742375000004,inconclusive,-20.083282352941236,-154.8081844117648,90.78184147058815,13.11322141176471,inconclusive,-10.949380147058829,0
q0.95,wspt,c02_final_150_0012,16,16,1295.5324875000001,1263.97235,-31.560137500000074,-175.11920968750005,83.28322124999983,12.955324875000002,inconclusive,-20.083282352941236,-154.8081844117648,90.78184147058815,13.11322141176471,inconclusive,-11.476855147058838,0
q0.95,wspt,c02_final_150_0013,16,16,1305.04825,1282.0031125,-23.04513750000006,-163.10451093750007,93.52703062499992,13.050482500000001,inconclusive,-20.083282352941236,-154.8081844117648,90.78184147058815,13.11322141176471,inconclusive,-2.9618551470588237,0
q0.95,wspt,c02_final_150_0014,16,16,1251.710825,1205.8315375,-45.879287500000025,-179.65399437500005,56.65638656250001,12.517108250000001,inconclusive,-20.083282352941236,-154.8081844117648,90.78184147058815,13.11322141176471,inconclusive,-25.79600514705879,0
q0.95,wspt,c02_final_150_0015,16,16,1347.0941750000002,1325.7556875,-21.338487500000063,-163.8686153125,96.74363812499972,13.470941750000001,inconclusive,-20.083282352941236,-154.8081844117648,90.78184147058815,13.11322141176471,inconclusive,-1.2552051470588275,0
q0.95,wspt,c02_final_150_0016,16,16,1213.0822000000003,1240.9679375,27.885737499999955,-74.92141312500003,108.82301406249994,12.130822000000004,inconclusive,-20.083282352941236,-154.8081844117648,90.78184147058815,13.11322141176471,inconclusive,47.96901985294119,0
q0.90,wmdd,c02_final_150_0000,16,16,1788.2815500000002,1412.6055000000001,-375.67605000000003,-794.8153428124998,-62.29990156250026,17.882815500000003,better,-353.03628235294116,-740.6530208823527,-59.857730882353145,17.701799882352944,better,-22.639767647058875,0
q0.90,wmdd,c02_final_150_0001,16,16,1826.0305750000002,1443.699525,-382.33105000000006,-792.3438340624995,-74.57254687500013,18.260305750000004,better,-353.03628235294116,-740.6530208823527,-59.857730882353145,17.701799882352944,better,-29.294767647058904,0
q0.90,wmdd,c02_final_150_0002,16,16,1826.7658875000002,1448.6806625000002,-378.08522500000004,-794.004275625,-70.22586593750003,18.267658875000002,better,-353.03628235294116,-740.6530208823527,-59.857730882353145,17.701799882352944,better,-25.04894264705888,0
q0.90,wmdd,c02_final_150_0003,16,16,1869.4081375000003,1494.3070875000003,-375.10105000000004,-791.3710565624998,-67.32766343750001,18.694081375000003,better,-353.03628235294116,-740.6530208823527,-59.857730882353145,17.701799882352944,better,-22.064767647058886,0
q0.90,wmdd,c02_final_150_0004,16,16,1843.2678375000003,1468.1667875000003,-375.10105000000004,-793.3987343749998,-62.4787278125002,18.432678375000002,better,-353.03628235294116,-740.6530208823527,-59.857730882353145,17.701799882352944,better,-22.064767647058886,0
q0.90,wmdd,c02_final_150_0005,16,16,1879.9162375000003,1504.6351875,-375.28105,-772.3759050000002,-58.85536250000006,18.799162375000005,better,-353.03628235294116,-740.6530208823527,-59.857730882353145,17.701799882352944,better,-22.244767647058836,0
q0.90,wmdd,c02_final_150_0006,16,16,1739.0354875000003,1402.9795625000002,-336.055925,-762.0767803124995,-26.336603437500006,17.390354875000003,better,-353.03628235294116,-740.6530208823527,-59.857730882353145,17.701799882352944,better,16.980357352941155,0
q0.90,wmdd,c02_final_150_0007,16,16,1603.0686500000002,1321.2063375000002,-281.8623124999999,-674.6480456249998,-20.81483843750013,16.0306865,better,-353.03628235294116,-740.6530208823527,-59.857730882353145,17.701799882352944,better,71.17396985294124,0
q0.90,wmdd,c02_final_150_0008,16,16,1814.8207875000003,1438.4311750000002,-376.3896125,-796.7723012500002,-62.35636375000006,18.148207875000004,better,-353.03628235294116,-740.6530208823527,-59.857730882353145,17.701799882352944,better,-23.35333014705884,0
q0.90,wmdd,c02_final_150_0009,16,16,1802.3726375,1423.5345125000001,-378.838125,-792.6684303124998,-67.98625656250034,18.023726375000003,better,-353.03628235294116,-740.6530208823527,-59.857730882353145,17.701799882352944,better,-25.801842647058834,0
