arm,rule,cluster,id,wwt_rule,wwt_edd,paired_diff,share_of_total
q0.90,wspt,c02_final_150_0007,c02_final_150_0007_q90,3235.327999999999,4443.961400000001,-1208.633400000002,0.2836665529152824
q0.90,wspt,c02_final_150_0008,c02_final_150_0008_q90,1082.2738000000002,1055.9272,26.34660000000008,-0.006183553427398077
q0.90,wspt,c02_final_150_0009,c02_final_150_0009_q90,1495.1368000000002,1255.0976,240.03920000000016,-0.056337258616667385
q0.90,wspt,c02_final_150_0010,c02_final_150_0010_q90,523.9928000000001,472.6192000000001,51.37360000000001,-0.012057396413874159
q0.90,wspt,c02_final_150_0011,c02_final_150_0011_q90,2700.2754,2673.5312,26.74420000000009,-0.006276870244092965
q0.90,wspt,c02_final_150_0012,c02_final_150_0012_q90,1727.5030000000002,1563.9566,163.54640000000018,-0.038384379853894424
q0.90,wspt,c02_final_150_0013,c02_final_150_0013_q90,2207.1712,2855.403600000001,-648.2324000000008,0.15214030192778094
q0.90,wspt,c02_final_150_0014,c02_final_150_0014_q90,3388.7296,3301.4034000000006,87.32619999999952,-0.02049548037741664
q0.90,wspt,c02_final_150_0015,c02_final_150_0015_q90,751.7696,746.0496,5.719999999999914,-0.001342485391083341
q0.90,wspt,c02_final_150_0016,c02_final_150_0016_q90,2719.2464,5436.982799999999,-2717.736399999999,0.6378533940236862
q0.75,wmdd,c02_final_150_0000,c02_final_150_0000_q75,2143.3686,3195.594399999999,-1052.2257999999993,0.02313854680374101
q0.75,wmdd,c02_final_150_0001,c02_final_150_0001_q75,2363.3288,3167.882199999999,-804.5533999999993,0.01769220684572547
q0.75,wmdd,c02_final_150_0002,c02_final_150_0002_q75,1530.0258,2296.2591999999995,-766.2333999999996,0.016849546350687857
q0.75,wmdd,c02_final_150_0003,c02_final_150_0003_q75,218.6162,206.0562,12.560000000000002,-0.00027619561110836413
q0.75,wmdd,c02_final_150_0004,c02_final_150_0004_q75,762.961,759.961,3.0,-6.59702892774755e-05
q0.75,wmdd,c02_final_150_0005,c02_final_150_0005_q75,146.9336,149.06720000000007,-2.133600000000058,4.6918069734141855e-05
q0.75,wmdd,c02_final_150_0006,c02_final_150_0006_q75,6553.7572,8539.420399999999,-1985.663199999999,0.04366492523721254
q0.75,wmdd,c02_final_150_0007,c02_final_150_0007_q75,6095.688000000002,14536.0766,-8440.388599999998,0.18560495918543543
