check,arm,stratum,n_configs,n_anchors,n_anchors_baseline,n_methods,best_method,best_mean,baseline_best_method,baseline_best_mean,n_tied_with_best,spread_pct,margin_pct_of_best,tau_method,tau_method_p,tau_family,tau_family_p,family_order,baseline_family_order,family_order_identical,top3_families,top3_is_leading_trio,set_size,baseline_set_size,set_intersection,set_jaccard,entered_set,left_set,set_members,in_set_edd,in_set_pfifo,in_set_wspt,in_set_atc,in_set_wmdd,in_set_lpt,in_set_random,n_policy_seeds_in_set,n_policy_seeds_in_set_baseline,families_in_set_duedate,families_in_set_weighted,families_in_set_processing,families_in_set_random,families_in_set_policy
backdate,backdate,verdict,180,180,180,17,edd,444.93246444444446,v2rl302,444.68101666666666,2,0.909205651280644,0.9999999999999999,0.5055797016448667,0.00498161358180729,0.6,0.23333333333333334,duedate>policy>weighted>random>processing,policy>duedate>weighted>processing>random,0,duedate policy weighted,1,14,17,14,0.8235294117647058,-,lpt random wspt,atc edd pfifo v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310 wmdd,1,1,0,1,1,0,0,10,10,1,1,0,0,1
backdate,backdate,campus1,30,30,30,17,v2rl304,80.42493333333333,atc,80.41734666666666,3,0.7460372985492167,1.2433954975820103,0.5391598677534535,0.019266465274229008,0.5270462766947298,0.206507295485425,policy>duedate>random>weighted>processing,policy>duedate>weighted>processing>random,0,duedate policy random,0,16,15,15,0.9375,random,-,atc edd lpt pfifo random v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310 wmdd,1,1,0,1,1,1,1,10,10,1,1,1,1,1
backdate,backdate,campus2,17,17,17,17,wmdd,1265.9134352941176,wmdd,1218.2288470588235,1,161.64254777312996,1.0,0.8370370370370371,3.1215389108678733e-06,0.9999999999999999,0.016666666666666666,weighted>duedate>random>policy>processing,weighted>duedate>random>policy>processing,1,duedate random weighted,0,1,1,1,1.0,-,-,wmdd,0,0,0,0,1,0,0,0,0,0,1,0,0,0
sla,baseline,verdict,180,180,180,17,v2rl302,444.68101666666666,v2rl302,444.68101666666666,1,0.441874295835759,1.0,1.0,2.5411131795974357e-08,0.9999999999999999,0.016666666666666666,policy>duedate>weighted>processing>random,policy>duedate>weighted>processing>random,1,duedate policy weighted,1,17,17,17,1.0,-,-,atc edd lpt pfifo random v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310 wmdd wspt,1,1,1,1,1,1,1,10,10,1,1,1,1,1
sla,baseline,campus1,30,30,30,17,atc,80.41734666666666,atc,80.41734666666666,15,1.0940259821222578,1.2435128009694758,1.0,3.839161029485208e-05,1.0,0.019176729141549043,policy>duedate>weighted>processing>random,policy>duedate>weighted>processing>random,1,duedate policy weighted,1,15,15,15,1.0,-,-,atc edd lpt pfifo v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310 wmdd,1,1,0,1,1,1,0,10,10,1,1,1,0,1
sla,baseline,campus2,17,17,17,17,wmdd,1218.2288470588235,wmdd,1218.2288470588235,1,114.66507229801657,1.0,1.0,2.5411131795974357e-08,0.9999999999999999,0.016666666666666666,weighted>duedate>random>policy>processing,weighted>duedate>random>policy>processing,1,duedate random weighted,0,1,1,1,1.0,-,-,wmdd,0,0,0,0,1,0,0,0,0,0,1,0,0,0
sla,emg,verdict,180,180,180,17,v2rl303,633.1997255555556,v2rl302,444.68101666666666,1,0.5487261099448161,1.0,0.7037037037037037,8.857386117309358e-05,0.9999999999999999,0.016666666666666666,policy>duedate>weighted>processing>random,policy>duedate>weighted>processing>random,1,duedate policy weighted,1,17,17,17,1.0,-,-,atc edd lpt pfifo random v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310 wmdd wspt,1,1,1,1,1,1,1,10,10,1,1,1,1,1
sla,emg,campus1,30,30,30,17,atc,137.55008,atc,80.41734666666666,1,0.8305338681009921,1.0,0.5001715560180865,0.028532704827360294,0.31622776601683794,0.44848886103153174,weighted>duedate>policy>random>processing,policy>duedate>weighted>processing>random,0,duedate policy weighted,1,14,15,14,0.9333333333333333,-,lpt,atc edd pfifo v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310 wmdd,1,1,0,1,1,0,0,10,10,1,1,0,0,1
sla,emg,campus2,17,17,17,17,wmdd,1658.5504,wmdd,1218.2288470588235,1,108.02950789400896,1.0,0.9667962500479373,6.633758434431925e-08,0.7999999999999999,0.08333333333333333,weighted>duedate>policy>random>processing,weighted>duedate>random>policy>processing,0,duedate policy weighted,1,1,1,1,1.0,-,-,wmdd,0,0,0,0,1,0,0,0,0,0,1,0,0,0
sla,rtn,verdict,180,180,180,17,v2rl310,471.1406811111111,v2rl302,444.68101666666666,1,0.6843730820263376,1.0,0.8814814814814816,9.096919679157565e-07,0.7999999999999999,0.08333333333333333,policy>duedate>weighted>random>processing,policy>duedate>weighted>processing>random,0,duedate policy weighted,1,15,17,15,0.8823529411764706,-,lpt wspt,atc edd pfifo random v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310 wmdd,1,1,0,1,1,0,1,10,10,1,1,0,1,1
sla,rtn,campus1,30,30,30,17,atc,97.89974666666667,atc,80.41734666666666,14,0.8986608205046707,1.0214531028408518,0.7764453512724155,0.0011826001380567806,0.5555555555555556,0.19320567795571053,duedate>weighted>policy>processing>random,policy>duedate>weighted>processing>random,0,duedate policy weighted,1,14,15,14,0.9333333333333333,-,v2rl309,atc edd lpt pfifo v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl310 wmdd,1,1,0,1,1,1,0,9,10,1,1,1,0,1
sla,rtn,campus2,17,17,17,17,wmdd,1454.1888941176471,wmdd,1218.2288470588235,1,115.8233824724575,1.0,0.9372757538632674,1.6417586594800662e-07,0.9999999999999999,0.016666666666666666,weighted>duedate>random>policy>processing,weighted>duedate>random>policy>processing,1,duedate random weighted,0,1,1,1,1.0,-,-,wmdd,0,0,0,0,1,0,0,0,0,0,1,0,0,0
sla,pmp3,verdict,180,180,180,17,v2rl302,459.6470988888889,v2rl302,444.68101666666666,1,0.46991872308104865,1.0,0.8370370370370371,3.1215389108678733e-06,0.9999999999999999,0.016666666666666666,policy>duedate>weighted>processing>random,policy>duedate>weighted>processing>random,1,duedate policy weighted,1,17,17,17,1.0,-,-,atc edd lpt pfifo random v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310 wmdd wspt,1,1,1,1,1,1,1,10,10,1,1,1,1,1
sla,pmp3,campus1,30,30,30,17,atc,90.55782666666667,atc,80.41734666666666,14,1.0340059692245291,1.1042667837876556,0.8299933065325822,0.0005268856075562868,0.5555555555555556,0.19320567795571053,duedate>weighted>policy>processing>random,policy>duedate>weighted>processing>random,0,duedate policy weighted,1,15,15,15,1.0,-,-,atc edd lpt pfifo v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310 wmdd,1,1,0,1,1,1,0,10,10,1,1,1,0,1
sla,pmp3,campus2,17,17,17,17,wmdd,1231.344211764706,wmdd,1218.2288470588235,1,112.96472192063881,1.0,1.0,2.5411131795974357e-08,0.9999999999999999,0.016666666666666666,weighted>duedate>random>policy>processing,weighted>duedate>random>policy>processing,1,duedate random weighted,0,1,1,1,1.0,-,-,wmdd,0,0,0,0,1,0,0,0,0,0,1,0,0,0
