check,arm,stratum,method,reference,reference_role,family,n_configs,n_clusters,mean_ref,mean_method,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict
backdate,baseline,campus2,v2rl307,wmdd,baseline_best,policy-vs-rule,17,17,1218.2288470588235,1751.246494117647,533.0176470588236,192.9483944117648,970.9691664705879,12.182288470588235,0.012063323418854825,0.08444326393198377,worse
backdate,baseline,campus2,v2rl308,wmdd,baseline_best,policy-vs-rule,17,17,1218.2288470588235,1494.214529411765,275.98568235294124,18.87960441176477,677.2615014705877,12.182288470588235,0.13609738111439368,0.27219476222878736,worse
backdate,baseline,campus2,v2rl309,wmdd,baseline_best,policy-vs-rule,17,17,1218.2288470588235,1453.0060823529411,234.7772352941176,56.76802558823525,518.9938041176464,12.182288470588235,0.012063323418854825,0.08444326393198377,worse
backdate,baseline,campus2,v2rl310,wmdd,baseline_best,policy-vs-rule,17,17,1218.2288470588235,1324.8887411764708,106.65989411764711,8.770644117647052,227.09201000000022,12.182288470588235,0.15793931050013033,0.27219476222878736,inconclusive
backdate,backdate,verdict,edd,v2rl302,baseline_best,rule-vs-policy,180,180,444.9404688888889,444.9324644444444,-0.008004444444451843,-0.14510955555555627,0.1702492222222222,4.449404688888889,0.3139380937749148,0.6278761875498295,equivalent
backdate,backdate,verdict,pfifo,v2rl302,baseline_best,rule-vs-policy,180,180,444.9404688888889,444.9324644444444,-0.008004444444451843,-0.1454444444444462,0.16847555555554045,4.449404688888889,0.3139380937749148,0.6278761875498295,equivalent
backdate,backdate,verdict,wspt,v2rl302,baseline_best,rule-vs-policy,180,180,444.9404688888889,448.1772777777778,3.2368088888888806,1.1187353333333319,6.355460888888863,4.449404688888889,4.558449232418947e-06,3.190914462693263e-05,inconclusive
backdate,backdate,verdict,atc,v2rl302,baseline_best,rule-vs-policy,180,180,444.9404688888889,445.7677444444445,0.8272755555555471,0.11131966666666497,1.7860451111110855,4.449404688888889,0.06891976765616574,0.2602017244121913,equivalent
backdate,backdate,verdict,wmdd,v2rl302,baseline_best,rule-vs-policy,180,180,444.9404688888889,445.38802,0.44755111111110496,0.06077011111111123,0.955271666666653,4.449404688888889,0.06505043110304783,0.2602017244121913,equivalent
backdate,backdate,verdict,lpt,v2rl302,baseline_best,rule-vs-policy,180,180,444.9404688888889,448.97781555555565,4.037346666666669,0.4836151111111117,9.63584055555556,4.449404688888889,0.02506184434388362,0.1253092217194181,inconclusive
backdate,backdate,verdict,random,v2rl302,baseline_best,rule-vs-policy,180,180,444.9404688888889,447.88117555555556,2.9407066666666575,0.5885549999999986,6.27143399999997,4.449404688888889,0.00017594418851230972,0.0010556651310738583,inconclusive
backdate,backdate,verdict,v2rl301,v2rl302,baseline_best,policy-vs-policy,180,180,444.9404688888889,445.00143333333335,0.060964444444444627,-0.08333333333333333,0.2884488888888894,4.449404688888889,0.7504854193424544,1.0,equivalent
backdate,backdate,verdict,v2rl303,v2rl302,baseline_best,policy-vs-policy,180,180,444.9404688888889,445.20240222222225,0.26193333333333346,-0.004733333333333197,0.7127555555555558,4.449404688888889,0.14412703481601533,1.0,equivalent
backdate,backdate,verdict,v2rl304,v2rl302,baseline_best,policy-vs-policy,180,180,444.9404688888889,444.98491333333334,0.044444444444444446,-0.07222222222222222,0.18888888888888888,4.449404688888889,0.4982248534183389,1.0,equivalent
backdate,backdate,verdict,v2rl305,v2rl302,baseline_best,policy-vs-policy,180,180,444.9404688888889,444.99602444444446,0.05555555555555555,0.0,0.15555555555555556,4.449404688888889,0.17971249487899976,1.0,equivalent
backdate,backdate,verdict,v2rl306,v2rl302,baseline_best,policy-vs-policy,180,180,444.9404688888889,445.0569888888889,0.11652000000000018,-0.011111111111111112,0.35511555555555613,4.449404688888889,0.28504940740261275,1.0,equivalent
