check,arm,stratum,method,family,rank,n_rows,coverage,mean,best_method,mean_best,pct_from_best,abs_from_best,n_tied_with_best,n_configs,n_clusters,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,verdict,in_equivalence_set
pmodel,max,campus1,v2rl305,policy,1,30,1.0,40.50430666666667,atc,40.50430666666667,0.0,0.0,15,30,30,0.0,0.0,0.0,1.0,1.0,equivalent,1
pmodel,max,campus1,v2rl306,policy,1,30,1.0,40.50430666666667,atc,40.50430666666667,0.0,0.0,15,30,30,0.0,0.0,0.0,1.0,1.0,equivalent,1
pmodel,max,campus1,v2rl307,policy,1,30,1.0,40.50430666666667,atc,40.50430666666667,0.0,0.0,15,30,30,0.0,0.0,0.0,1.0,1.0,equivalent,1
pmodel,max,campus1,v2rl308,policy,1,30,1.0,40.50430666666667,atc,40.50430666666667,0.0,0.0,15,30,30,0.0,0.0,0.0,1.0,1.0,equivalent,1
pmodel,max,campus1,v2rl309,policy,1,30,1.0,40.50430666666667,atc,40.50430666666667,0.0,0.0,15,30,30,0.0,0.0,0.0,1.0,1.0,equivalent,1
pmodel,max,campus1,v2rl310,policy,1,30,1.0,40.50430666666667,atc,40.50430666666667,0.0,0.0,15,30,30,0.0,0.0,0.0,1.0,1.0,equivalent,1
pmodel,max,campus1,wmdd,weighted,1,30,1.0,40.50430666666667,atc,40.50430666666667,0.0,0.0,15,30,30,0.0,0.0,0.0,1.0,1.0,equivalent,1
pmodel,max,campus1,random,random,16,30,1.0,40.785493333333335,atc,40.50430666666667,0.6942142448720592,0.28118666666666314,15,30,30,0.2811866666666673,0.0,0.7071866666666681,1.0,0.17971249487899976,equivalent,1
pmodel,max,campus1,wspt,processing,17,30,1.0,41.38409333333333,atc,40.50430666666667,2.172081783566704,0.8797866666666607,15,30,30,0.8797866666666673,0.0,2.2929066666666675,1.0,0.17971249487899976,inconclusive,0
pmodel,max,campus2,wmdd,weighted,1,17,1.0,444.20757647058826,wmdd,444.20757647058826,0.0,0.0,1,17,17,0.0,0.0,0.0,4.442075764705883,1.0,equivalent,1
pmodel,max,campus2,atc,weighted,2,17,1.0,479.02391764705885,wmdd,444.20757647058826,7.837853972032788,34.81634117647059,1,17,17,34.81634117647058,5.408874999999982,68.55617999999998,4.442075764705883,0.08437944259396049,worse,0
pmodel,max,campus2,v2rl308,policy,3,17,1.0,511.77969411764707,wmdd,444.20757647058826,15.211833662079123,67.5721176470588,1,17,17,67.57211764705883,1.480253529411783,151.60029823529413,4.442075764705883,0.24886387493792206,inconclusive,0
pmodel,max,campus2,v2rl310,policy,4,17,1.0,523.6346352941176,wmdd,444.20757647058826,17.880617763121016,79.42705882352936,1,17,17,79.42705882352939,6.9484194117646965,173.65266294117646,4.442075764705883,0.1823383541807685,worse,0
pmodel,max,campus2,edd,duedate,5,17,1.0,530.673105882353,wmdd,444.20757647058826,19.46511810959391,86.46552941176469,1,17,17,86.46552941176469,-4.164079411764702,232.8085217647058,4.442075764705883,0.32806478170083675,inconclusive,0
pmodel,max,campus2,pfifo,duedate,5,17,1.0,530.673105882353,wmdd,444.20757647058826,19.46511810959391,86.46552941176469,1,17,17,86.46552941176469,-3.9453817647058838,233.649194117647,4.442075764705883,0.32806478170083675,inconclusive,0
pmodel,max,campus2,v2rl304,policy,7,17,1.0,573.6614705882353,wmdd,444.20757647058826,29.142657841680997,129.453894117647,1,17,17,129.45389411764705,19.08238176470586,273.05155470588227,4.442075764705883,0.1005251728089838,worse,0
pmodel,max,campus2,wspt,processing,8,17,1.0,575.9746470588235,wmdd,444.20757647058826,29.663400078670147,131.76707058823524,1,17,17,131.76707058823527,59.09473705882354,210.07952617647052,4.442075764705883,0.006318521553682498,worse,0
pmodel,max,campus2,v2rl302,policy,9,17,1.0,632.3971176470588,wmdd,444.20757647058826,42.36522543620571,188.18954117647058,1,17,17,188.18954117647058,55.00536705882354,345.31271441176466,4.442075764705883,0.022909099354356588,worse,0
pmodel,max,campus2,v2rl309,policy,10,17,1.0,643.2289058823528,wmdd,444.20757647058826,44.8036773692765,199.02132941176455,1,17,17,199.02132941176467,84.92196235294115,331.0733420588233,4.442075764705883,0.0014737808438751421,worse,0
pmodel,max,campus2,v2rl305,policy,11,17,1.0,905.0962705882353,wmdd,444.20757647058826,103.75525284363609,460.888694117647,1,17,17,460.88869411764705,140.57605647058827,866.1305461764705,4.442075764705883,0.010746783005343858,worse,0
pmodel,max,campus2,v2rl301,policy,12,17,1.0,942.2667058823529,wmdd,444.20757647058826,112.12306043247823,498.0591294117646,1,17,17,498.0591294117647,155.4963817647059,930.1757535294114,4.442075764705883,0.027707849358079864,worse,0
pmodel,max,campus2,v2rl307,policy,13,17,1.0,960.4692705882352,wmdd,444.20757647058826,116.22082140506433,516.2616941176469,1,17,17,516.2616941176469,182.66503529411762,913.2748452941172,4.442075764705883,0.027707849358079864,worse,0
pmodel,max,campus2,random,random,14,17,1.0,1004.7012705882354,wmdd,444.20757647058826,126.17832828764422,560.4936941176471,1,17,17,560.4936941176471,310.8503029411765,842.6899070588238,4.442075764705883,0.0006549583433856954,worse,0
pmodel,max,campus2,v2rl306,policy,15,17,1.0,1031.4695411764706,wmdd,444.20757647058826,132.2044007830573,587.2619647058823,1,17,17,587.2619647058823,173.36114941176464,1093.2178661764704,4.442075764705883,0.022909099354356588,worse,0
pmodel,max,campus2,v2rl303,policy,16,17,1.0,1410.8608588235293,wmdd,444.20757647058826,217.61296599967937,966.653282352941,1,17,17,966.653282352941,397.42684970588226,1622.4149394117642,4.442075764705883,0.0037017494066892425,worse,0
pmodel,max,campus2,lpt,processing,17,17,1.0,2158.563482352941,wmdd,444.20757647058826,385.93576442428446,1714.3559058823525,1,17,17,1714.3559058823528,844.3532397058825,2743.3836623529396,4.442075764705883,0.0009815397525216685,worse,0
pmodel,single,verdict,wmdd,weighted,1,179,1.0,17.193426815642457,wmdd,17.193426815642457,0.0,0.0,1,179,179,0.0,0.0,0.0,1.0,1.0,equivalent,1
pmodel,single,verdict,atc,weighted,2,179,1.0,17.525782681564245,wmdd,17.193426815642457,1.933040280366985,0.33235586592178734,1,179,179,0.3323558659217884,-0.1263525139664801,0.9688192458100594,1.0,0.12819017434510785,equivalent,1
pmodel,single,verdict,v2rl304,policy,3,179,1.0,17.92895586592179,wmdd,17.193426815642457,4.277966563420349,0.7355290502793324,1,179,179,0.73552905027933,0.09151731843575478,1.6245397346368726,1.0,0.011718685599768628,inconclusive,0
pmodel,single,verdict,v2rl308,policy,4,179,1.0,19.195717318435754,wmdd,17.193426815642457,11.645674386281318,2.002290502793297,1,179,179,2.002290502793296,0.13036424581005596,4.7392916201117306,1.0,0.0499499764547464,inconclusive,0
pmodel,single,verdict,wspt,processing,5,179,1.0,19.775386033519553,wmdd,17.193426815642457,15.017129776177297,2.5819592178770954,1,179,179,2.5819592178770954,1.20665311452514,4.528701466480449,1.0,1.2268056633232531e-05,worse,0
pmodel,single,verdict,edd,duedate,6,179,1.0,20.088206145251398,wmdd,17.193426815642457,16.83654666779569,2.894779329608941,1,179,179,2.8947793296089377,0.030590391061452754,7.17668888268156,1.0,0.11585149752593009,inconclusive,0
pmodel,single,verdict,pfifo,duedate,6,179,1.0,20.088206145251398,wmdd,17.193426815642457,16.83654666779569,2.894779329608941,1,179,179,2.8947793296089377,0.03671061452513984,7.342840893854745,1.0,0.11585149752593009,inconclusive,0
pmodel,single,verdict,v2rl310,policy,8,179,1.0,20.092146927374305,wmdd,17.193426815642457,16.859466951024636,2.8987201117318477,1,179,179,2.898720111731845,-0.019299999999999776,8.320738659217879,1.0,0.17295491798842066,inconclusive,0
pmodel,single,verdict,v2rl309,policy,9,179,1.0,20.28672122905028,wmdd,17.193426815642457,17.991145375356847,3.093294413407822,1,179,179,3.093294413407822,0.06729653631284932,8.581320446927378,1.0,0.02841686417486375,inconclusive,0
