id,base_instance_id,campus,size,p_model,n_wos,window_bh,n_technicians,u_realized,wo_set_equals_sum,r4_labor_cap_hours,method,seed,feasible,wwt,makespan,mean_flow,breach_share,wall_seconds
c01_final_150_0000_pone,c01_final_150_0000,1,150,single,150,13.8719,75,0.594007,1,40.0,v2rl308,308,1,128.0,51.4542,4.623166666666666,0.013333333333333334,0.025874052080325782
c01_final_150_0000_pone,c01_final_150_0000,1,150,single,150,13.8719,75,0.594007,1,40.0,v2rl309,309,1,128.0,51.4542,4.5765,0.013333333333333334,0.026840478996746242
c01_final_150_0000_pone,c01_final_150_0000,1,150,single,150,13.8719,75,0.594007,1,40.0,v2rl310,310,1,128.0,51.4542,4.604373999999999,0.013333333333333334,0.02579685498494655
c01_final_150_0001_psum,c01_final_150_0001,1,150,sum,150,3.1106,94,1.261523,1,90.8648,edd,301,1,0.0,91.1517,3.5690346666666666,0.0,0.0009440939174965024
c01_final_150_0001_psum,c01_final_150_0001,1,150,sum,150,3.1106,94,1.261523,1,90.8648,pfifo,301,1,0.0,91.1517,3.5690346666666666,0.0,0.00044343399349600077
c01_final_150_0001_psum,c01_final_150_0001,1,150,sum,150,3.1106,94,1.261523,1,90.8648,wspt,301,1,0.0,91.1517,3.3472966666666664,0.0,0.0004285229369997978
c01_final_150_0001_psum,c01_final_150_0001,1,150,sum,150,3.1106,94,1.261523,1,90.8648,atc,301,1,0.0,91.1517,3.3472966666666664,0.0,0.0007055300520732999
c01_final_150_0001_psum,c01_final_150_0001,1,150,sum,150,3.1106,94,1.261523,1,90.8648,wmdd,301,1,0.0,91.1517,3.5690346666666666,0.0,0.0004833770217373967
c01_final_150_0001_psum,c01_final_150_0001,1,150,sum,150,3.1106,94,1.261523,1,90.8648,lpt,301,1,0.0,91.1517,3.717578,0.0,0.0003830560017377138
c01_final_150_0001_psum,c01_final_150_0001,1,150,sum,150,3.1106,94,1.261523,1,90.8648,random,301,1,0.0,91.1517,3.488762,0.0,0.0003193169832229614
c01_final_150_0001_psum,c01_final_150_0001,1,150,sum,150,3.1106,94,1.261523,1,90.8648,v2rl301,301,1,0.0,91.1517,3.717578000000001,0.0,0.029515600996091962
c01_final_150_0001_psum,c01_final_150_0001,1,150,sum,150,3.1106,94,1.261523,1,90.8648,v2rl302,302,1,0.0,91.1517,3.717578,0.0,0.02815389889292419
c01_final_150_0001_psum,c01_final_150_0001,1,150,sum,150,3.1106,94,1.261523,1,90.8648,v2rl303,303,1,0.0,91.1517,3.717578,0.0,0.028074983041733503
c01_final_150_0001_psum,c01_final_150_0001,1,150,sum,150,3.1106,94,1.261523,1,90.8648,v2rl304,304,1,0.0,91.1517,3.3877293333333336,0.0,0.028141760965809226
c01_final_150_0001_psum,c01_final_150_0001,1,150,sum,150,3.1106,94,1.261523,1,90.8648,v2rl305,305,1,0.0,91.1517,3.717578,0.0,0.027550956001505256
c01_final_150_0001_psum,c01_final_150_0001,1,150,sum,150,3.1106,94,1.261523,1,90.8648,v2rl306,306,1,0.0,91.1517,3.717578000000001,0.0,0.027402785955928266
c01_final_150_0001_psum,c01_final_150_0001,1,150,sum,150,3.1106,94,1.261523,1,90.8648,v2rl307,307,1,0.0,91.1517,3.382773333333333,0.0,0.027596216998063028
c01_final_150_0001_psum,c01_final_150_0001,1,150,sum,150,3.1106,94,1.261523,1,90.8648,v2rl308,308,1,0.0,91.1517,3.710911333333334,0.0,0.028067534905858338
c01_final_150_0001_psum,c01_final_150_0001,1,150,sum,150,3.1106,94,1.261523,1,90.8648,v2rl309,309,1,0.0,91.1517,3.717578000000001,0.0,0.027792523964308202
c01_final_150_0001_psum,c01_final_150_0001,1,150,sum,150,3.1106,94,1.261523,1,90.8648,v2rl310,310,1,0.0,91.1517,3.4597506666666673,0.0,0.027248002006672323
c01_final_150_0001_pmax,c01_final_150_0001,1,150,max,150,3.1106,80,1.293484,1,43.881,edd,301,1,0.0,44.1679,3.3570546666666674,0.0,0.001019120099954307
