check,arm,arm_label,stratum,stratum_label,family,reference,set_rankable,n_configs,n_clusters,mean_edd,mean_family,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict,mean_own,best_family,mean_best,pct_from_best,n_configs_vs_best,n_clusters_vs_best,diff_vs_best,ci_lo_vs_best,ci_hi_vs_best,margin_vs_best,wilcoxon_p_vs_best,verdict_vs_best,in_best_set,seed_n,seed_min_mean,seed_median_mean,seed_max_mean,seed_sd,seed_spread_pct,seed_best,seed_worst
capacity,q0.95,p95 of weekly trade hours (Eval-B default),campus1,campus 1 (transfer),mlp_pool,edd,1,30,30,80.41734666666666,80.41734666666666,1.8947806286936005e-15,0.0,5.684341886080802e-15,1.0,0.31731050786291415,1.0,equivalent,80.41734666666666,atc,80.41734666666666,0.0,30.0,30.0,1.8947806286936005e-15,0.0,5.684341886080802e-15,1.0,0.31731050786291415,equivalent,1.0,10.0,80.41734666666666,80.41734666666666,80.41734666666666,1.4979556132593925e-14,0.0,v2rl301,v2rl310
capacity,q0.95,p95 of weekly trade hours (Eval-B default),campus1,campus 1 (transfer),edd,edd,1,30,30,80.41734666666666,80.41734666666666,0.0,0.0,0.0,1.0,1.0,1.0,reference,80.41734666666666,atc,80.41734666666666,0.0,30.0,30.0,0.0,0.0,0.0,1.0,1.0,equivalent,1.0,,,,,,,,
capacity,q0.95,p95 of weekly trade hours (Eval-B default),campus2,campus 2 (nonstationary overload),pfifo,edd,1,17,17,1311.322141176471,1311.322141176471,0.0,0.0,0.0,13.11322141176471,1.0,1.0,equivalent,1311.3221411764705,wmdd,1218.2288470588235,7.641691816968763,17.0,17.0,93.09329411764713,-16.45844176470588,242.26594735294128,12.182288470588235,0.8588630128278887,inconclusive,0.0,,,,,,,,
capacity,q0.95,p95 of weekly trade hours (Eval-B default),campus2,campus 2 (nonstationary overload),wspt,edd,1,17,17,1311.322141176471,1291.2388588235294,-20.083282352941236,-154.8081844117648,90.78184147058815,13.11322141176471,0.15195618574341052,0.6078247429736421,inconclusive,1291.2388588235294,wmdd,1218.2288470588235,5.993127805253867,17.0,17.0,73.01001176470588,36.335487058823496,115.52538117647059,12.182288470588235,0.0014737808438751421,worse,0.0,,,,,,,,
capacity,q0.95,p95 of weekly trade hours (Eval-B default),campus2,campus 2 (nonstationary overload),atc,edd,1,17,17,1311.322141176471,1252.115717647059,-59.206423529411786,-189.72089735294122,39.87595441176471,13.11322141176471,0.5302845968336095,1.0,inconclusive,1252.1157176470588,wmdd,1218.2288470588235,2.7816506455292496,17.0,17.0,33.88687058823534,12.678118235294107,59.59635588235305,12.182288470588235,0.004741768038406972,worse,0.0,,,,,,,,
capacity,q0.95,p95 of weekly trade hours (Eval-B default),campus2,campus 2 (nonstationary overload),wmdd,edd,1,17,17,1311.322141176471,1218.2288470588235,-93.09329411764713,-236.23732323529424,15.535894999999941,13.11322141176471,0.8588630128278887,1.0,inconclusive,1218.2288470588235,wmdd,1218.2288470588235,0.0,17.0,17.0,0.0,0.0,0.0,12.182288470588235,1.0,equivalent,1.0,,,,,,,,
capacity,q0.95,p95 of weekly trade hours (Eval-B default),campus2,campus 2 (nonstationary overload),lpt,edd,1,17,17,1311.322141176471,2615.1118352941176,1303.7896941176468,627.1643552941174,2123.704832058823,13.11322141176471,0.0014737808438751421,0.010316465907125994,worse,2615.111835294117,wmdd,1218.2288470588235,114.66507229801657,17.0,17.0,1396.8829882352936,660.0913402941176,2230.334830588234,12.182288470588235,0.0018714329102470324,worse,0.0,,,,,,,,
capacity,q0.95,p95 of weekly trade hours (Eval-B default),campus2,campus 2 (nonstationary overload),random,edd,1,17,17,1311.322141176471,1636.0305647058824,324.70842352941173,122.58644264705883,557.8767361764704,13.11322141176471,0.0057715890441035304,0.028857945220517652,worse,1636.0305647058824,wmdd,1218.2288470588235,34.2958319084103,17.0,17.0,417.80171764705887,213.26975794117647,664.9328270588237,12.182288470588235,0.0018714329102470324,worse,0.0,,,,,,,,
capacity,q0.95,p95 of weekly trade hours (Eval-B default),campus2,campus 2 (nonstationary overload),mlp_pool,edd,1,17,17,1311.322141176471,1649.8628376470588,338.5406964705882,137.65639861764708,583.0419148529407,13.11322141176471,0.0028734139278525227,0.017240483567115137,worse,1649.8628376470588,wmdd,1218.2288470588235,35.43127316598451,17.0,17.0,431.63399058823535,172.4510287352942,753.022290352941,12.182288470588235,0.0028734139278525227,worse,0.0,10.0,1324.8887411764706,1607.4293176470587,2171.692823529412,265.80567105106036,63.91510894726142,v2rl310,v2rl303
capacity,q0.95,p95 of weekly trade hours (Eval-B default),campus2,campus 2 (nonstationary overload),edd,edd,1,17,17,1311.322141176471,1311.322141176471,0.0,0.0,0.0,13.11322141176471,1.0,1.0,reference,1311.3221411764705,wmdd,1218.2288470588235,7.641691816968763,17.0,17.0,93.09329411764713,-15.50371794117642,240.15093529411752,12.182288470588235,0.8588630128278887,inconclusive,0.0,,,,,,,,
