scope,u_bin,ov_band,n_configs,n_clusters,mean_u,mean_overload_share,mean_wwt_edd,mean_wwt_best,best_method,margin_edd,mean_d_wmdd,d_wmdd_ci_lo,d_wmdd_ci_hi,mean_d_atc,d_atc_ci_lo,d_atc_ci_hi,verdict_wmdd_vs_edd,verdict_atc_vs_edd,mean_edd_minus_best,edd_best_ci_lo,edd_best_ci_hi,verdict_edd_vs_best,recommended_family
replay_only,0.5-0.8,0.25-0.5,105,61,0.6563374803246148,0.39137474023328445,521.672521904762,521.0265371428571,v2rl303,5.21672521904762,-1.1974171428571405,-2.8945920721024208,-0.023639215686274587,-1.4788514285714314,-3.2650063284734245,-0.16545294843404004,equivalent,equivalent,0.6459847619047664,-0.3136909176029943,1.9474077303238866,equivalent,either
replay_only,0.5-0.8,0.5-0.75,74,45,0.6926449918050365,0.6139590503658606,757.5425270270271,748.2576243243243,v2rl303,7.575425270270271,6.1402810810810795,-5.289981818181828,25.515964705882357,4.128732432432439,-8.066439474917933,23.22641971830987,inconclusive,inconclusive,9.284902702702698,0.031107692307695237,27.356396325396798,inconclusive,due-date
replay_only,0.5-0.8,>=0.75,6,6,0.745887740392439,0.8495856709310554,37.333333333333336,37.333333333333336,atc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,equivalent,equivalent,0.0,0.0,0.0,equivalent,insufficient
replay_only,0.8-1.0,<0.25,3,2,0.8669039118564519,0.24113939472637558,2028.0039333333334,2024.6442666666665,v2rl301,20.280039333333335,-3.0366666666667093,-4.555000000000064,0.0,0.7287333333332905,0.0,1.0930999999999358,equivalent,equivalent,3.35966666666665,0.0,5.039499999999975,equivalent,insufficient
replay_only,0.8-1.0,0.25-0.5,27,24,0.8643058989781445,0.42760905124872906,610.0526518518519,609.1640592592593,v2rl305,6.100526518518519,-1.7673037037036887,-4.318596249999996,-0.12579199999998308,-0.5124592592592613,-9.012360076628365,9.422327199999998,equivalent,inconclusive,0.8885925925926038,-5.60412307692307,8.400843791208791,inconclusive,due-date
replay_only,0.8-1.0,0.5-0.75,60,49,0.8986795350861362,0.630439045577809,914.3405333333334,913.0943333333333,v2rl310,9.143405333333334,-3.8602966666666796,-7.2068695967742205,-1.136617332251081,-5.769163333333306,-11.024035603773555,-1.7488335651665456,equivalent,inconclusive,1.2462000000000024,-0.5242143809523742,3.5749602950819805,equivalent,due-date
replay_only,0.8-1.0,>=0.75,33,26,0.9026147298189342,0.8449154186773634,232.72074545454547,232.72074545454547,edd,2.3272074545454546,-0.044703030303039806,-0.1341090909091194,0.0,-0.044703030303039806,-0.1383000000000294,0.0,equivalent,equivalent,0.0,0.0,0.0,equivalent,either
replay_only,1.0-1.2,0.25-0.5,3,2,1.082231703579139,0.46265807959679867,1092.9392,1072.8816,v2rl301,10.929392,-9.75279999999998,-14.629199999999969,0.0,-8.337866666666665,-12.506799999999998,0.0,inconclusive,inconclusive,20.05760000000002,0.0,30.086400000000026,inconclusive,insufficient
replay_only,1.0-1.2,0.5-0.75,26,23,1.0769209576850864,0.6928314573998408,520.2578307692308,512.7260384615385,v2rl301,5.202578307692309,0.04470769230770726,-2.009393008695607,2.5384000000000104,6.402207692307689,-7.032524999999999,29.53131880434782,equivalent,inconclusive,7.531792307692313,-5.818469230769226,29.540417399999995,inconclusive,due-date
replay_only,1.0-1.2,>=0.75,43,38,1.101816773188343,0.8735804568854761,532.9052930232559,532.9052930232558,edd,5.329052930232559,-4.131716279069734,-9.674031874999903,-0.3507250628019229,-8.546083720930243,-17.506661682926843,-1.878793953488383,inconclusive,inconclusive,0.0,0.0,0.0,equivalent,due-date
