analysis,scope_type,scope,family,reference,n_configs,n_clusters_base,n_clusters_component,mean_ref,mean_diff,ci_lo_base,ci_hi_base,verdict_base,ci_lo_component,ci_hi_component,verdict_component,ci_width_base,ci_width_component,width_ratio,verdict_changed
cluster,emp_m,m=0.6,atc,edd,180,180,139,451.7136088888889,4.726932222222232,1.8405593333333345,8.070829722222241,inconclusive,1.7508516722413046,8.034989736450013,inconclusive,6.230270388888906,6.284138064208709,1.0086461215898224,0
cluster,emp_m,m=0.6,wmdd,edd,180,180,139,451.7136088888889,3.3700733333333304,1.6959803611111073,5.341586583333323,inconclusive,1.6412276797325764,5.3823302922108045,inconclusive,3.645606222222216,3.741102612478228,1.0261949273824207,0
cluster,emp_m,m=0.6,lpt,edd,180,180,139,451.7136088888889,85.03561444444443,19.514148611111107,190.06017444444439,worse,19.025203638728325,193.39385776268108,worse,170.5460258333333,174.36865412395275,1.022414056686112,0
cluster,emp_m,m=0.6,random,edd,180,180,139,451.7136088888889,27.60154888888888,7.746442999999997,64.16067377777777,worse,7.62642313198052,62.02810228855471,worse,56.414230777777775,54.40167915657419,0.9643254619719754,0
cluster,emp_m,m=0.6,mlp_pool,edd,180,180,139,451.7136088888889,-0.3953938888888819,-1.746209855555552,1.0218538833333284,equivalent,-1.7420343394426325,1.0445932410493142,equivalent,2.7680637388888805,2.7866275804919467,1.006706435745052,0
cluster,emp_m,m=0.6,attn_pool,edd,180,180,139,451.7136088888889,3.838734222222217,1.3042425833333327,7.040137813888879,inconclusive,1.2732678715083745,7.067289508025681,inconclusive,5.7358952305555455,5.794021636517306,1.010133798409029,0
cluster,emp_m,m=0.6,v1_pool,edd,180,180,139,451.7136088888889,-0.8416503703703653,-2.2697543240740714,0.4960714907407435,equivalent,-2.3165804158908547,0.5083568496616425,equivalent,2.765825814814815,2.824937265552497,1.0213720800569068,0
cluster,emp_m,m=0.6,rollcp2,edd,48,48,38,510.69773333333325,-0.6512708333333269,-1.9964078124999853,0.3929163541666664,equivalent,-2.050062703488362,0.3760856127450935,equivalent,2.389324166666652,2.4261483162334554,1.0154119520827418,0
cluster,transfer,campus=1|m=1.0,pfifo,edd,30,30,30,80.41734666666666,0.0,0.0,0.0,equivalent,0.0,0.0,equivalent,0.0,0.0,,0
cluster,transfer,campus=1|m=1.0,wspt,edd,30,30,30,80.41734666666666,0.8797866666666664,0.0,2.292906666666666,inconclusive,0.0,2.292906666666666,inconclusive,2.292906666666666,2.292906666666666,1.0,0
cluster,transfer,campus=1|m=1.0,atc,edd,30,30,30,80.41734666666666,0.0,0.0,0.0,equivalent,0.0,0.0,equivalent,0.0,0.0,,0
cluster,transfer,campus=1|m=1.0,wmdd,edd,30,30,30,80.41734666666666,0.0,0.0,0.0,equivalent,0.0,0.0,equivalent,0.0,0.0,,0
cluster,transfer,campus=1|m=1.0,lpt,edd,30,30,30,80.41734666666666,0.0,0.0,0.0,equivalent,0.0,0.0,equivalent,0.0,0.0,,0
cluster,transfer,campus=1|m=1.0,random,edd,30,30,30,80.41734666666666,0.7037466666666667,0.0,1.7748666666666664,inconclusive,0.0,1.7748666666666664,inconclusive,1.7748666666666664,1.7748666666666664,1.0,0
cluster,transfer,campus=1|m=1.0,mlp_pool,edd,30,30,30,80.41734666666666,1.8947806286936005e-15,0.0,5.684341886080802e-15,equivalent,0.0,5.684341886080802e-15,equivalent,5.684341886080802e-15,5.684341886080802e-15,1.0,0
cluster,transfer,campus=1|m=1.0,attn_pool,edd,30,30,30,80.41734666666666,0.00030400000000175474,0.0,0.0009120000000033694,equivalent,0.0,0.0009120000000033694,equivalent,0.0009120000000033694,0.0009120000000033694,1.0,0
cluster,transfer,campus=1|m=1.0,v1_pool,edd,30,30,30,80.41734666666666,0.0,0.0,0.0,equivalent,0.0,0.0,equivalent,0.0,0.0,,0
cluster,transfer,campus=1|m=1.0,rollcp2,edd,8,8,8,100.0454,0.010625000000000995,0.0031999999999996476,0.021100000000004115,equivalent,0.0031999999999996476,0.021100000000004115,equivalent,0.017900000000004468,0.017900000000004468,1.0,0
cluster,stress,campus=2|m=1.0,pfifo,edd,17,17,17,1311.322141176471,0.0,0.0,0.0,equivalent,0.0,0.0,equivalent,0.0,0.0,,0
cluster,stress,campus=2|m=1.0,wspt,edd,17,17,17,1311.322141176471,-20.083282352941236,-154.95873264705887,88.9992938235293,inconclusive,-154.95873264705887,88.9992938235293,inconclusive,243.95802647058815,243.95802647058815,1.0,0
cluster,stress,campus=2|m=1.0,atc,edd,17,17,17,1311.322141176471,-59.206423529411786,-196.25824735294123,40.42476411764708,inconclusive,-196.25824735294123,40.42476411764708,inconclusive,236.6830114705883,236.6830114705883,1.0,0
