analysis,sweep,scope_type,scope,method,verdict_base,verdict_swept,check,arm,stratum
final,double,emp_m_ubin,m=0.6|u_bin=0.5-0.8,v2rl309,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=0.8-1.0,v2rl302,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=0.8-1.0,v2rl307,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=0.8-1.0,rl302,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=0.8-1.0,v2at302,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=0.8-1.0,v2rl303,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=0.8-1.0,rl301,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=0.8-1.0,v2rl310,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=0.8-1.0,v2at310,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=0.8-1.0,v2rl308,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=0.8-1.0,v2rl304,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=1.0-1.2,rl301,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=1.0-1.2,edd,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=1.0-1.2,pfifo,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=1.0-1.2,v2rl308,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=1.0-1.2,v2rl310,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=1.0-1.2,v2rl303,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=<0.5,v2at309,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=<0.5,v2rl309,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=<0.5,wmdd,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=<0.5,atc,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=<0.5,v2at301,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=>=1.2,v2rl308,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=>=1.2,rl302,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=>=1.2,v2rl303,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=>=1.2,v2rl309,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=>=1.2,edd,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.6|u_bin=>=1.2,pfifo,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.8|u_bin=0.5-0.8,atc,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.8|u_bin=0.5-0.8,v2at303,inconclusive,equivalent,,,
