id,cluster,source,arm,campus,track,regime,size,crew_multiplier,crew_q,n_technicians,window_bh,n_trades,n_trades_active,n_trades_no_crew,n_fallback_trades,total_p_bh,u_realized,u_recomputed,u_bin,overload_share,ov_band,overload_share_even,overload_excess,max_u_trade,cv_u_weighted,share_trades_over,wwt_edd,wwt_wmdd,wwt_atc,wwt_min_common,argmin_method,d_wmdd,d_atc,rel_d_wmdd,rel_d_atc
c02_final_150_0000_q75,c02_final_150_0000,cap_q75,q75,2,replay,cap-empirical,150,1.0,0.75,19,27.7333,7,7,0,0,1018.3796,1.932656,1.9326559160211543,>=1.2,0.8499380780997576,>=0.75,0.9225828954154228,-0.07264481731566519,4.879390480036635,0.479664731585195,0.5714285714285714,3195.594399999999,2143.3686,2388.222,2143.3686,wmdd,1052.2257999999993,807.3723999999988,0.3292738903285096,0.25265171324621144
c02_final_150_0001_q75,c02_final_150_0001,cap_q75,q75,2,replay,cap-empirical,150,1.0,0.75,19,31.9333,7,7,0,0,1378.3840000000002,2.271814,2.2718142602170612,>=1.2,0.9229967846405646,>=0.75,0.9923751291367282,-0.06937834449616365,4.666439109017859,0.4134408344643597,0.7142857142857143,3167.882199999999,2363.3288,2034.6108,2034.6108,atc,804.5533999999993,1133.2713999999992,0.2539720069136408,0.3577378603282658
c02_final_150_0002_q75,c02_final_150_0002,cap_q75,q75,2,replay,cap-empirical,150,1.0,0.75,19,32.2833,7,7,0,0,963.1547999999997,1.570235,1.5702347001309294,>=1.2,0.8744542414158138,>=0.75,0.9594250062399107,-0.08497076482409682,3.9877170755984275,0.5991473295272717,0.5714285714285714,2296.2591999999995,1530.0258,1630.4724,1530.0258,wmdd,766.2333999999996,665.7867999999994,0.33368767776738784,0.2899440969033459
c02_final_150_0003_q75,c02_final_150_0003,cap_q75,q75,2,replay,cap-empirical,150,1.0,0.75,19,6.7,7,7,0,0,584.2396,4.589471,4.589470542026708,>=1.2,0.978484854501475,>=0.75,0.978484854501475,0.0,11.497751243781092,0.4032057276470786,0.8571428571428571,206.0562,218.6162,249.8162,186.29620000000003,v2rl301,-12.560000000000002,-43.76000000000002,-0.06095424452164023,-0.21236924683654276
c02_final_150_0004_q75,c02_final_150_0004,cap_q75,q75,2,replay,cap-empirical,150,1.0,0.75,19,6.05,7,7,0,0,667.3243999999999,5.805345,5.805344932579381,>=1.2,0.9951298049344517,>=0.75,0.9951298049344517,0.0,17.91374104683196,0.5931352827392545,0.7142857142857143,759.961,762.961,762.961,759.961,edd,-3.0,-3.0,-0.003947570993774681,-0.003947570993774681
c02_final_150_0005_q75,c02_final_150_0005,cap_q75,q75,2,replay,cap-empirical,150,1.0,0.75,19,13.4833,7,7,0,0,486.46,1.898879,1.8988791983221347,>=1.2,0.9780865847140567,>=0.75,0.9780865847140566,1.1102230246251565e-16,4.610394586884023,0.5697066761014667,0.8571428571428571,149.06720000000007,146.9336,158.88,138.16040000000004,v2rl304,2.133600000000058,-9.812799999999925,0.01431300782465933,-0.06582802923781972
c02_final_150_0006_q75,c02_final_150_0006,cap_q75,q75,2,replay,cap-empirical,150,1.0,0.75,19,28.6,7,7,0,0,1391.4088000000004,2.560561,2.56056091277144,>=1.2,0.9619234835944691,>=0.75,0.9977145465804155,-0.035791062985946365,7.730177156177155,0.5525542727914151,0.7142857142857143,8539.420399999999,6553.7572,3040.396,3040.396,atc,1985.663199999999,5499.024399999998,0.23252903674820827,0.6439575688298469
c02_final_150_0007_q75,c02_final_150_0007,cap_q75,q75,2,replay,cap-empirical,150,1.0,0.75,19,28.4,7,7,0,0,1405.9743999999992,2.605586,2.6055863602668627,>=1.2,0.8677785313872003,>=0.75,0.8908870602480388,-0.023108528860838473,8.32582159624413,0.436000201673955,0.42857142857142855,14536.0766,6095.688000000002,6529.3746,6095.688000000002,wmdd,8440.388599999998,8006.702,0.5806510815992809,0.5508158920956704
c02_final_150_0008_q75,c02_final_150_0008,cap_q75,q75,2,replay,cap-empirical,150,1.0,0.75,19,31.2167,7,7,0,0,1462.4840000000002,2.465758,2.4657584595829527,>=1.2,1.0,>=0.75,0.9714458414587783,0.028554158541221675,4.00981525914014,0.35377504936144194,1.0,1136.0600000000002,1189.5704,1264.2268,1136.0600000000002,edd,-53.51039999999989,-128.16679999999974,-0.04710173758428242,-0.11281692868334395
c02_final_150_0009_q75,c02_final_150_0009,cap_q75,q75,2,replay,cap-empirical,150,1.0,0.75,19,38.9,7,7,0,0,1515.6291999999996,2.050642,2.05064159112434,>=1.2,0.964298655634241,>=0.75,0.964298655634241,0.0,5.562635818337619,0.48757897990863175,0.7142857142857143,7107.267400000001,4350.2446,4387.227000000001,4315.759000000001,v2rl310,2757.0228000000006,2720.0404,0.3879160083381695,0.38271254575281627
