scope_type,scope,method,reference,family,n_configs,n_clusters,mean_ref,mean_method,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict
emp_m,m=0.6,lpt,edd,rule-vs-rule,180,180,451.7136088888889,536.7492233333334,85.03561444444443,19.51414861111111,190.06017444444439,4.517136088888889,1.2499734857520773e-05,0.00014999681829024929,worse
emp_m,m=0.6,rl301,wmdd,policy-vs-rule,180,180,455.0836822222222,449.76718111111114,-5.316501111111108,-8.345056000000007,-2.751169555555559,4.550836822222222,6.28108477823397e-06,0.00043339484969814396,inconclusive
emp_m,m=0.6,v2rl302,wmdd,policy-vs-rule,180,180,455.0836822222222,450.2457377777778,-4.837944444444435,-7.963180749999971,-2.219945138888886,4.550836822222222,3.458491896137269e-05,0.002213434813527852,inconclusive
emp_m,m=0.6,v2rl303,wmdd,policy-vs-rule,180,180,455.0836822222222,450.34826333333336,-4.735418888888884,-7.847550416666675,-1.9514921111111125,4.550836822222222,0.00014305384791016862,0.007438800091328768,inconclusive
emp_m,m=0.6,v2rl310,wmdd,policy-vs-rule,180,180,455.0836822222222,450.37308222222225,-4.710599999999988,-7.401061138888878,-2.393142277777757,4.550836822222222,5.877456668415793e-05,0.0035907573773115323,inconclusive
emp_m,m=0.6,v2rl305,wmdd,policy-vs-rule,180,180,455.0836822222222,450.53495888888887,-4.5487233333333315,-7.951915138888883,-1.353023027777776,4.550836822222222,0.0003048068648761745,0.013716308919427853,inconclusive
emp_m,m=0.6,v2rl304,wmdd,policy-vs-rule,180,180,455.0836822222222,450.5671966666667,-4.516485555555542,-7.46612991666664,-2.0651898888888898,4.550836822222222,5.5648397659557105e-05,0.0035058490525520978,inconclusive
emp_m,m=0.6,v2at302,wmdd,policy-vs-rule,180,180,455.0836822222222,450.73348,-4.350202222222222,-7.597385944444449,-1.2895373888888886,4.550836822222222,0.00021519523566044334,0.01032937131170128,inconclusive
emp_m,m=0.6,v2rl308,wmdd,policy-vs-rule,180,180,455.0836822222222,450.9750855555555,-4.1085966666666724,-6.588143666666687,-1.9671823888888933,4.550836822222222,6.32604563950427e-05,0.003795627383702562,inconclusive
emp_m,m=0.6,v2rl307,wmdd,policy-vs-rule,180,180,455.0836822222222,451.133908888889,-3.949773333333332,-7.158437833333303,-0.90797494444445,4.550836822222222,0.00014771976188914803,0.00753370785634655,inconclusive
emp_m,m=0.6,rl302,wmdd,policy-vs-rule,180,180,455.0836822222222,451.1882166666667,-3.8954655555555555,-6.509512638888903,-1.7724944166666652,4.550836822222222,1.9496331812351264e-05,0.001267261567802832,inconclusive
emp_m,m=0.6,v2at310,wmdd,policy-vs-rule,180,180,455.0836822222222,451.2267455555555,-3.8569366666666625,-6.22231930555556,-1.81156041666668,4.550836822222222,8.903407221320521e-05,0.005074942116152697,inconclusive
emp_m,m=0.6,rollcp2,wmdd,optimizer-vs-rule,48,48,513.6243833333333,510.04646249999996,-3.5779208333333457,-7.915030625000042,-0.367398958333325,5.136243833333333,0.8863972494842908,1.0,inconclusive
emp_m,m=0.6,v2rl301,wmdd,policy-vs-rule,180,180,455.0836822222222,451.6493433333334,-3.4343388888888877,-6.5786981666666735,-0.3274132500000088,4.550836822222222,0.0029472179607470846,0.10020541066540087,inconclusive
