scope_type,scope,method,reference,is_scope_best_ref,family,n_configs,n_clusters,mean_ref,mean_method,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict
emp_m_ubin,m=0.6|u_bin=0.5-0.8,v2attnpool,wmdd,0,policy-vs-rule,48,48,427.7049541666667,428.2763058333333,0.5713516666666635,-1.6624530416666643,3.287463895833327,4.277049541666667,0.2719476239947354,0.5438952479894708,equivalent
emp_m_ubin,m=0.6|u_bin=0.5-0.8,v2pool,atc,0,policy-vs-rule,48,48,428.50320000000005,423.57219583333335,-4.931004166666676,-11.685872416666697,-0.1221250000000021,4.285032,0.03569190011680441,0.17845950058402205,inconclusive
emp_m_ubin,m=0.6|u_bin=0.5-0.8,v2pool,edd,0,policy-vs-rule,48,48,424.7407166666667,423.57219583333335,-1.1685208333333303,-3.0240750000000034,-0.059428333333332306,4.247407166666667,0.17629637444051116,0.5288891233215335,equivalent
emp_m_ubin,m=0.6|u_bin=0.5-0.8,v2pool,v2rl303,1,policy-vs-policy,48,48,422.37986666666666,423.57219583333335,1.1923291666666742,-0.024009999999994536,3.421892500000015,4.223798666666666,0.12750833049058283,0.12750833049058283,equivalent
emp_m_ubin,m=0.6|u_bin=0.5-0.8,v2pool,wmdd,0,policy-vs-rule,48,48,427.7049541666667,423.57219583333335,-4.132758333333336,-10.101973250000011,-0.12499999999999763,4.277049541666667,0.03569190011680441,0.17845950058402205,inconclusive
emp_m_ubin,m=0.6|u_bin=0.8-1.0,v2attnpool,atc,0,policy-vs-rule,27,27,688.3666518518518,687.7578155555557,-0.6088362962963226,-4.1206932777778125,2.5740657407407,6.883666518518518,0.9374729223624751,0.9374729223624751,equivalent
emp_m_ubin,m=0.6|u_bin=0.8-1.0,v2attnpool,edd,0,policy-vs-rule,27,27,683.4089481481482,687.7578155555557,4.348867407407398,-3.37202564814815,12.888577259259206,6.834089481481482,0.09948088075636449,0.4974044037818225,inconclusive
emp_m_ubin,m=0.6|u_bin=0.8-1.0,v2attnpool,v2rl305,1,policy-vs-policy,27,27,677.0946740740741,687.7578155555557,10.663141481481476,1.4044368148148074,24.0966606111111,6.770946740740741,0.0037017494066892425,0.007403498813378485,inconclusive
emp_m_ubin,m=0.6|u_bin=0.8-1.0,v2attnpool,wmdd,0,policy-vs-rule,27,27,689.6335185185185,687.7578155555557,-1.8757029629629978,-9.713620425925962,3.8428632962962586,6.896335185185185,0.43276758066778476,0.8655351613355695,inconclusive
emp_m_ubin,m=0.6|u_bin=0.8-1.0,v2pool,atc,0,policy-vs-rule,27,27,688.3666518518518,681.373648888889,-6.993002962962948,-19.422857574074108,3.2889422037037255,6.883666518518518,0.11412832776223863,0.4974044037818225,inconclusive
