scope_type,scope,method,family,n_configs,n_clusters,mean,mean_method,mean_edd,mean_diff_vs_edd,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict,in_set_vs_edd,in_equivalence_set,membership,best_method,pct_from_best
emp_m_ubin,m=1.0|u_bin=<0.5,v2rl306,policy-vs-rule,85,85,307.42004,307.42004,307.36126352941176,0.058776470588235735,-0.004630588235294025,0.15159529411764786,3.0736126352941175,0.28504940740261275,1.0,equivalent,1,1,in both,v2at302,0.0304140928700644
emp_m_ubin,m=1.0|u_bin=<0.5,v2rl307,policy-vs-rule,85,85,307.42004,307.42004,307.36126352941176,0.058776470588235735,-0.004630588235294025,0.15159529411764786,3.0736126352941175,0.28504940740261275,1.0,equivalent,1,1,in both,v2at302,0.0304140928700644
emp_m_ubin,m=1.0|u_bin=<0.5,v2at305,policy-vs-rule,85,85,307.42004,307.42004,307.36126352941176,0.058776470588235735,-0.004630588235294025,0.15159529411764786,3.0736126352941175,0.28504940740261275,1.0,equivalent,1,1,in both,v2at302,0.0304140928700644
emp_m_ubin,m=1.0|u_bin=<0.5,v2rl304,policy-vs-rule,85,85,307.4206870588235,307.4206870588235,307.36126352941176,0.0594235294117659,-0.006945882352941039,0.18521647058823873,3.0736126352941175,0.6547208460185769,1.0,equivalent,1,1,in both,v2at302,0.0306246372511624
emp_m_ubin,m=1.0|u_bin=<0.5,lpt,rule-vs-rule,85,85,307.42696705882355,307.42696705882355,307.36126352941176,0.06570352941176505,-0.004630588235294025,0.17464470588235384,3.0736126352941175,0.28504940740261275,0.718849979515999,equivalent,1,1,in both,v2at302,0.0326680661717665
emp_m_ubin,m=1.0|u_bin=<0.5,v2rl309,policy-vs-rule,85,85,307.4734517647059,307.4734517647059,307.36126352941176,0.11218823529411766,-0.004630588235294025,0.31998117647058816,3.0736126352941175,0.28504940740261275,1.0,equivalent,1,1,in both,v2at302,0.0477935745101145
emp_m_ubin,m=1.0|u_bin=<0.5,v2at310,policy-vs-rule,85,85,307.51480470588234,307.51480470588234,307.36126352941176,0.15354117647058943,-0.006945882352941039,0.46756941176470934,3.0736126352941175,0.6547208460185769,1.0,equivalent,1,1,in both,v2at302,0.0612492745023433
emp_m_ubin,m=1.0|u_bin=<0.5,rl303,policy-vs-rule,85,85,307.64990352941174,307.64990352941174,307.36126352941176,0.28864000000000206,-0.006945882352941039,0.8728658823529473,3.0736126352941175,0.6547208460185769,1.0,equivalent,1,1,in both,v2at302,0.1052086444286039
emp_m_ubin,m=1.0|u_bin=<0.5,v2at309,policy-vs-rule,85,85,307.66408705882355,307.66408705882355,307.36126352941176,0.3028235294117648,0.0,0.8614117647058827,3.0736126352941175,0.17971249487899976,1.0,equivalent,1,1,in both,v2at302,0.1098237772623701
emp_m_ubin,m=1.0|u_bin=<0.5,v2at306,policy-vs-rule,85,85,307.7142047058824,307.71420470588237,307.36126352941176,0.35294117647058826,0.0,1.035294117647059,3.0736126352941175,0.17971249487899976,1.0,equivalent,1,1,in both,v2at302,0.1261313965986154
emp_m_ubin,m=1.0|u_bin=<0.5,v2at308,policy-vs-rule,85,85,307.7500988235294,307.7500988235294,307.36126352941176,0.3888352941176483,-0.004630588235294025,1.0322752941176505,3.0736126352941175,0.28504940740261275,1.0,equivalent,1,1,in both,v2at302,0.137810867630277
emp_m_ubin,m=1.0|u_bin=<0.5,wmdd,rule-vs-rule,85,85,307.8192776470588,307.8192776470588,307.36126352941176,0.4580141176470587,0.0,1.1513223529411762,3.0736126352941175,0.17971249487899976,0.718849979515999,equivalent,1,1,in both,v2at302,0.1603207416258152
emp_m_ubin,m=1.0|u_bin=<0.5,v2at307,policy-vs-rule,85,85,307.82988,307.82988,307.36126352941176,0.46861647058823536,0.0,1.2646729411764708,3.0736126352941175,0.17971249487899976,1.0,equivalent,1,1,in both,v2at302,0.1637706070121646
emp_m_ubin,m=1.0|u_bin=<0.5,v2at304,policy-vs-rule,85,85,307.8465317647059,307.8465317647059,307.36126352941176,0.4852682352941188,0.0,1.1410729411764753,3.0736126352941175,0.10880943004054568,1.0,equivalent,1,1,in both,v2at302,0.1691888709578332
emp_m_ubin,m=1.0|u_bin=<0.5,atc,rule-vs-rule,85,85,307.8553811764706,307.8553811764706,307.36126352941176,0.49411764705882355,0.0,1.2470588235294118,3.0736126352941175,0.17971249487899976,0.718849979515999,equivalent,1,1,in both,v2at302,0.1720683524753682
emp_m_ubin,m=1.0|u_bin=<0.5,v2at303,policy-vs-rule,85,85,307.9141011764706,307.9141011764706,307.36126352941176,0.5528376470588254,0.0,1.4232188235294174,3.0736126352941175,0.17971249487899976,1.0,equivalent,1,1,in both,v2at302,0.1911750636563723
emp_m_ubin,m=1.0|u_bin=<0.5,random,rule-vs-rule,85,85,307.97691529411765,307.97691529411765,307.36126352941176,0.615651764705881,0.07058823529411765,1.413981176470587,3.0736126352941175,0.043114446783075355,0.21557223391537678,equivalent,1,1,in both,v2at302,0.2116139465578063
