id,campus,size,n_wos,n_shared_wos,shared_frac,component,component_size
c12_final_150_0024,12,150,150,150,1.0,c12_final_150_0024,2
c12_final_150_0025,12,150,150,0,0.0,c12_final_150_0025,1
c12_final_150_0026,12,150,150,150,1.0,c12_final_150_0026,2
c12_final_150_0027,12,150,150,0,0.0,c12_final_150_0027,1
c12_final_150_0028,12,150,150,0,0.0,c12_final_150_0028,1
c12_final_150_0029,12,150,150,0,0.0,c12_final_150_0029,1
c12_final_400_0000,12,400,400,0,0.0,c12_final_400_0000,1
c12_final_400_0001,12,400,400,150,0.375,c12_final_150_0000,2
c12_final_400_0002,12,400,400,150,0.375,c12_final_150_0006,2
c12_final_400_0003,12,400,400,150,0.375,c12_final_150_0008,2
c12_final_400_0004,12,400,400,150,0.375,c12_final_150_0010,2
c12_final_400_0005,12,400,400,150,0.375,c12_final_150_0012,2
c12_final_400_0006,12,400,400,150,0.375,c12_final_150_0016,2
c12_final_400_0007,12,400,400,150,0.375,c12_final_150_0017,2
c12_final_400_0008,12,400,400,150,0.375,c12_final_150_0018,2
c12_final_400_0009,12,400,400,150,0.375,c12_final_150_0019,2
c12_final_400_0010,12,400,400,150,0.375,c12_final_150_0020,2
c12_final_400_0011,12,400,400,150,0.375,c12_final_150_0024,2
c12_final_400_0012,12,400,400,150,0.375,c12_final_150_0026,2
c12_final_400_0013,12,400,400,0,0.0,c12_final_400_0013,1
c12_final_400_0014,12,400,400,0,0.0,c12_final_400_0014,1
c12_final_400_0015,12,400,400,177,0.4425,c12_final_150_0002,3
c12_final_400_0016,12,400,400,0,0.0,c12_final_400_0016,1
c12_final_400_0017,12,400,400,0,0.0,c12_final_400_0017,1
c12_final_400_0018,12,400,400,0,0.0,c12_final_400_0018,1
c12_final_400_0019,12,400,400,0,0.0,c12_final_400_0019,1
c12_final_400_0020,12,400,400,0,0.0,c12_final_400_0020,1
c12_final_400_0021,12,400,400,0,0.0,c12_final_400_0021,1
c12_final_400_0022,12,400,400,0,0.0,c12_final_400_0022,1
c12_final_400_0023,12,400,400,0,0.0,c12_final_400_0023,1
c12_final_400_0024,12,400,400,0,0.0,c12_final_400_0024,1
c12_final_400_0025,12,400,400,0,0.0,c12_final_400_0025,1
c12_final_400_0026,12,400,400,0,0.0,c12_final_400_0026,1
c12_final_400_0027,12,400,400,0,0.0,c12_final_400_0027,1
c12_final_400_0028,12,400,400,0,0.0,c12_final_400_0028,1
c12_final_400_0029,12,400,400,0,0.0,c12_final_400_0029,1
