scope_type,scope,family,n_seeds,n_configs,n_clusters,mean_ref,mean_diff,released_mean_diff,ci_lo_inst,ci_hi_inst,verdict_inst,ci_lo_seed,ci_hi_seed,verdict_seed,ci_lo_two,ci_hi_two,verdict_two,width_inst,width_seed,width_two,width_ratio_two_inst,verdict_changed,seed_sd,seed_min_mean,seed_max_mean
gen_utarget,u_target=0.7,mlp_pool,10,60,60,2258.26579,-0.2272116666665872,-0.2272116666666544,-0.9818076583337946,0.5241336250001766,equivalent,-0.5328799083332948,0.20726272500009746,equivalent,-1.073012675000124,0.7739527333332625,equivalent,1.5059412833339711,0.7401426333333923,1.8469654083333866,1.2264524711378053,0,0.6568457392349956,2257.5426033333333,2259.701923333333
gen_utarget,u_target=0.7,attn_pool,10,60,60,2258.26579,9.905788333333325,9.905788333333383,5.290342991666609,15.971439600000359,equivalent,1.3521453916664177,25.207583091666514,inconclusive,0.8112079250000351,29.86180410000047,inconclusive,10.68109660833375,23.855437700000095,29.050596175000436,2.7198140078926154,1,23.371139926957742,2257.5733499999997,2334.254026666667
gen_utarget,u_target=0.7,v1_pool,3,60,60,2258.26579,2.052240000000027,2.052240000000057,-0.26667249999974346,5.05215066666676,equivalent,-0.7660700000002786,5.307309999999416,equivalent,-0.8203394444446591,7.552832055555726,equivalent,5.318823166666504,6.073379999999695,8.373171500000385,1.574252656579322,0,3.060156144594516,2257.49972,2263.5730999999996
gen_utarget,u_target=0.9,mlp_pool,10,60,60,3000.471016666667,5.879385333333361,5.879385333333376,-0.12610604999971348,11.948245149999954,equivalent,-7.499548091667263,24.018121224999824,equivalent,-9.22622368333273,25.814050216666512,equivalent,12.074351199999667,31.51766931666709,35.04027389999924,2.9020419664453865,0,27.42540450860509,2990.81525,3065.2954700000005
gen_utarget,u_target=0.9,attn_pool,10,60,60,3000.471016666667,218.3968066666667,218.3968066666667,180.6459526750002,256.6880170333335,worse,31.140274333333462,546.9228976833326,worse,30.166745100000565,579.7262144166664,worse,76.0420643583333,515.7826233499992,549.5594693166659,7.227045635254912,0,499.21166756049854,2990.305363333334,4626.0602899999985
gen_utarget,u_target=0.9,v1_pool,3,60,60,3000.471016666667,71.8769277777778,71.87692777777777,44.08938913888797,104.6026857500002,worse,-8.830236666666558,153.73046333333332,inconclusive,-7.1861817499996326,165.78436838888877,inconclusive,60.51329661111224,162.56069999999988,172.9705501388884,2.8583891446285095,1,81.28641289395044,2991.64078,3154.20148
gen_utarget,u_target=1.0,mlp_pool,10,60,60,3120.22592,22.7967456666667,22.796745666666705,14.660012883333462,32.26696659166674,inconclusive,-7.162231658333318,64.59092695000024,inconclusive,-8.567599858333487,65.64450369999976,inconclusive,17.606953708333275,71.75315860833355,74.21210355833324,4.214931486030378,0,62.008397208234975,3108.184146666668,3276.3832000000007
gen_utarget,u_target=1.0,attn_pool,10,60,60,3120.22592,409.6719183333332,409.6719183333332,340.5300302833333,480.80396676666624,worse,63.03816128333391,1005.6161501500005,worse,60.05251947500026,1050.8101296833331,worse,140.27393648333293,942.5779888666666,990.7576102083328,7.063019938319423,0,895.4306514531821,3107.8011100000003,6040.129153333334
gen_utarget,u_target=1.0,v1_pool,3,60,60,3120.22592,225.4711555555555,225.47115555555544,158.6792291666664,307.6985703333338,worse,-15.525763333333694,347.56898999999925,inconclusive,-13.376639583333091,431.27614555555573,inconclusive,149.0193411666674,363.09475333333296,444.6527851388888,2.9838595557980403,1,208.71558203891712,3104.7001566666663,3467.7949099999996
gen_utarget,u_target=1.1,mlp_pool,10,60,60,3699.834936666666,106.82839300000032,106.82839300000022,65.49550197499963,156.86637485833353,worse,9.3712789166673,241.6843856166676,inconclusive,0.45643913333400166,249.46354249166671,inconclusive,91.3708728833339,232.3131067000003,249.0071033583327,2.725235028412996,1,195.65260008001445,3691.86675,4196.1345
gen_utarget,u_target=1.1,attn_pool,10,60,60,3699.834936666666,731.0416826666668,731.041682666667,616.9464483375006,853.6298455291663,worse,123.09910060000071,1698.8134045583329,worse,117.13629179999923,1795.0643304666655,worse,236.6833971916658,1575.7143039583323,1677.9280386666662,7.0893356212387095,0,1466.8810093722802,3692.26803,8464.521763333332
