scope_type,scope,family,reference,set_rankable,n_configs,n_clusters,mean_edd,mean_family,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict,mean_own,best_family,mean_best,pct_from_best,n_configs_vs_best,n_clusters_vs_best,diff_vs_best,ci_lo_vs_best,ci_hi_vs_best,margin_vs_best,wilcoxon_p_vs_best,verdict_vs_best,in_best_set,seed_n,seed_min_mean,seed_median_mean,seed_max_mean,seed_sd,seed_spread_pct,seed_best,seed_worst
emp_m,m=0.6,wmdd,edd,1,180,180,451.7136088888889,455.0836822222222,3.3700733333333304,1.6959803611111073,5.341586583333323,4.517136088888889,1.821529714896801e-05,9.107648574484004e-05,inconclusive,455.0836822222222,v1_pool,450.8719585185185,0.9341285533796834,180.0,180.0,4.211723703703695,1.9819678333333275,6.771143333333331,4.508719585185186,3.015244097701224e-05,inconclusive,0.0,,,,,,,,
emp_m,m=0.6,lpt,edd,1,180,180,451.7136088888889,536.7492233333334,85.03561444444443,19.51414861111111,190.06017444444439,4.517136088888889,1.2499734857520773e-05,7.499840914512464e-05,worse,536.7492233333334,v1_pool,450.8719585185185,19.0469296642425,180.0,180.0,85.87726481481481,19.98135307407407,193.16378171296287,4.508719585185186,4.378281444595327e-07,worse,0.0,,,,,,,,
emp_m,m=0.6,random,edd,1,180,180,451.7136088888889,479.31515777777776,27.60154888888888,7.746442999999997,64.16067377777777,4.517136088888889,1.1957750927807627e-08,9.566200742246102e-08,worse,479.3151577777778,v1_pool,450.8719585185185,6.308487081946362,180.0,180.0,28.44319925925926,8.46354099074073,62.915679416666634,4.508719585185186,2.7557921804979795e-09,worse,0.0,,,,,,,,
emp_m,m=0.6,mlp_pool,edd,1,180,180,451.7136088888889,451.31821500000007,-0.3953938888888819,-1.746209855555552,1.0218538833333284,4.517136088888889,0.21165437807736898,0.42330875615473795,equivalent,451.31821500000007,v1_pool,450.8719585185185,0.09897632200234208,180.0,180.0,0.4462564814814833,-0.09368239444444325,1.0421757305555623,4.508719585185186,0.02278402370181374,equivalent,1.0,10.0,450.2457377777778,450.7711411111111,453.91020555555554,1.3191790997095927,0.8138817250917363,v2rl302,v2rl306
emp_m,m=0.6,attn_pool,edd,1,180,180,451.7136088888889,455.55234311111104,3.838734222222217,1.3042425833333327,7.040137813888879,4.517136088888889,1.6006157433507811e-06,1.1204310203455469e-05,inconclusive,455.5523431111111,v1_pool,450.8719585185185,1.0380740039747565,180.0,180.0,4.680384592592583,2.1569375194444325,7.767745333333326,4.508719585185186,1.0261760393208352e-08,inconclusive,0.0,10.0,450.73348,455.4848644444445,460.80076,3.100781306018729,2.2335327741795474,v2at302,v2at301
emp_m,m=0.6,v1_pool,edd,1,180,180,451.7136088888889,450.87195851851857,-0.8416503703703653,-2.2697543240740714,0.4960714907407435,4.517136088888889,0.06684468354013212,0.20053405062039636,equivalent,450.8719585185185,v1_pool,450.8719585185185,0.0,180.0,180.0,0.0,0.0,0.0,4.508719585185185,1.0,equivalent,1.0,3.0,449.76718111111114,451.1882166666667,451.66047777777777,0.985473226021546,0.4209503819263549,rl301,rl303
emp_m,m=0.6,rollcp2,edd,0,48,48,510.69773333333325,510.04646249999996,-0.6512708333333269,-1.9964078124999853,0.3929163541666664,5.106977333333332,0.17021959595917513,0.17021959595917513,equivalent,,,,,,,,,,,,,,,,,,,,,
emp_m,m=0.6,edd,edd,1,180,180,451.7136088888889,451.7136088888889,0.0,0.0,0.0,4.517136088888889,1.0,1.0,reference,451.7136088888889,v1_pool,450.8719585185185,0.1866717045646226,180.0,180.0,0.8416503703703653,-0.5222087222222291,2.2827543333333264,4.508719585185186,0.06684468354013212,equivalent,1.0,,,,,,,,
emp_ubin,u_bin=<0.5,pfifo,edd,1,180,85,249.0512566666667,249.0512566666667,0.0,0.0,0.0,2.4905125666666668,1.0,1.0,equivalent,249.05125666666666,edd,249.05125666666666,0.0,180.0,85.0,0.0,0.0,0.0,2.4905125666666668,1.0,equivalent,1.0,,,,,,,,
emp_ubin,u_bin=<0.5,wspt,edd,1,180,85,249.0512566666667,250.41222333333337,1.3609666666666678,0.4445657952257701,2.513273305760417,2.4905125666666668,0.00019540793740897315,0.0017586714366807585,inconclusive,250.41222333333332,edd,249.05125666666666,0.5464604695764256,180.0,85.0,1.3609666666666678,0.4274015826876838,2.5200075406698588,2.4905125666666668,0.00019540793740897315,inconclusive,0.0,,,,,,,,
emp_ubin,u_bin=<0.5,atc,edd,1,180,85,249.0512566666667,249.57915222222226,0.5278955555555563,0.03910071384233396,1.235886774506007,2.4905125666666668,0.027707849358079864,0.16624709614847918,equivalent,249.57915222222223,edd,249.05125666666666,0.21196261469265182,180.0,85.0,0.5278955555555563,0.03888888888888889,1.2311608305647856,2.4905125666666668,0.027707849358079864,equivalent,1.0,,,,,,,,
emp_ubin,u_bin=<0.5,wmdd,edd,1,180,85,249.0512566666667,249.56140111111114,0.5101444444444471,0.0446927374301676,1.2242277243836752,2.4905125666666668,0.027707849358079864,0.16624709614847918,equivalent,249.5614011111111,edd,249.05125666666666,0.2048351216019895,180.0,85.0,0.5101444444444471,0.043950039032006255,1.24174318181819,2.4905125666666668,0.027707849358079864,equivalent,1.0,,,,,,,,
emp_ubin,u_bin=<0.5,lpt,edd,1,180,85,249.0512566666667,249.3015388888889,0.2502822222222218,0.010108278246752667,0.6931050319921239,2.4905125666666668,0.11585149752593009,0.46340599010372036,equivalent,249.3015388888889,edd,249.05125666666666,0.10049426193308474,180.0,85.0,0.2502822222222218,0.010186060687272395,0.6919765998396138,2.4905125666666668,0.11585149752593009,equivalent,1.0,,,,,,,,
emp_ubin,u_bin=<0.5,random,edd,1,180,85,249.0512566666667,249.84987444444445,0.798617777777778,0.23714292586304475,1.5274254496047432,2.4905125666666668,0.0022090203462313877,0.015463142423619713,equivalent,249.84987444444445,edd,249.05125666666666,0.3206640225255609,180.0,85.0,0.798617777777778,0.2268034346906399,1.5093095953757227,2.4905125666666668,0.0022090203462313877,equivalent,1.0,,,,,,,,
emp_ubin,u_bin=<0.5,mlp_pool,edd,1,180,85,249.0512566666667,249.05353,0.0022733333333385354,-0.10302521946454025,0.08453817655917217,2.4905125666666668,0.21312246884125097,0.6393674065237529,equivalent,249.05353,edd,249.05125666666666,0.0009127973750309406,180.0,85.0,0.0022733333333385354,-0.1048087560439487,0.08181430224719674,2.4905125666666668,0.21312246884125097,equivalent,1.0,10.0,248.96509444444447,249.02317,249.21915666666666,0.08814818118734943,0.1020473262684174,v2rl302,v2rl306
emp_ubin,u_bin=<0.5,attn_pool,edd,1,180,85,249.0512566666667,249.4760942222222,0.42483755555556335,0.0967449218123514,0.8727087299196943,2.4905125666666668,0.0006516660806139112,0.00521332864491129,equivalent,249.47609422222223,edd,249.05125666666666,0.17058237779710447,180.0,85.0,0.42483755555556335,0.08681107276863984,0.8551133559541466,2.4905125666666668,0.0006516660806139112,equivalent,1.0,10.0,248.9815377777778,249.61165111111112,249.86541222222223,0.3359830397508459,0.35499597774728553,v2at302,v2at301
