scope_type,scope,method,reference,family,n_configs,n_clusters,mean_ref,mean_method,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict,regime,crew_multiplier,u_bin
scope,regime=final-empirical|crew_multiplier=0.6,rollcp2,wmdd,optimizer-vs-rule,48,48,513.6243833333333,510.04646249999996,-3.5779208333333457,-7.911094687500044,-0.35535510416666855,5.136243833333333,0.8863972494842908,1.0,inconclusive,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl301,wmdd,policy-vs-rule,180,180,455.0836822222222,451.6493433333334,-3.4343388888888877,-6.633132333333327,-0.28543388888888827,4.550836822222222,0.0029472179607470846,0.038313833489712096,inconclusive,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl302,wmdd,policy-vs-rule,180,180,455.0836822222222,450.2457377777778,-4.837944444444435,-7.868648888888888,-2.160718888888885,4.550836822222222,3.458491896137269e-05,0.0010375475688411807,inconclusive,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl303,wmdd,policy-vs-rule,180,180,455.0836822222222,450.34826333333336,-4.735418888888884,-7.857153194444429,-1.9479555555555554,4.550836822222222,0.00014305384791016862,0.003004130806113541,inconclusive,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl304,wmdd,policy-vs-rule,180,180,455.0836822222222,450.5671966666667,-4.516485555555542,-7.4869489722221925,-2.1606954999999934,4.550836822222222,5.5648397659557105e-05,0.001613803532127156,inconclusive,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl305,wmdd,policy-vs-rule,180,180,455.0836822222222,450.53495888888887,-4.5487233333333315,-7.93038680555554,-1.3663746111111132,4.550836822222222,0.0003048068648761745,0.005486523567771141,inconclusive,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl306,wmdd,policy-vs-rule,180,180,455.0836822222222,453.91020555555554,-1.1734766666666667,-4.408650999999997,2.259773583333333,4.550836822222222,0.04276119836352022,0.2157005702957352,equivalent,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl307,wmdd,policy-vs-rule,180,180,455.0836822222222,451.133908888889,-3.949773333333332,-7.090957916666659,-1.0066350833333368,4.550836822222222,0.00014771976188914803,0.003004130806113541,inconclusive,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl308,wmdd,policy-vs-rule,180,180,455.0836822222222,450.9750855555555,-4.1085966666666724,-6.7142877777777645,-1.9602590000000084,4.550836822222222,6.32604563950427e-05,0.001708032322666153,inconclusive,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl309,wmdd,policy-vs-rule,180,180,455.0836822222222,453.4443677777777,-1.6393144444444345,-3.276472111111103,-0.26621772222221574,4.550836822222222,0.017544485258678084,0.15855887069854147,equivalent,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl310,wmdd,policy-vs-rule,180,180,455.0836822222222,450.37308222222225,-4.710599999999988,-7.347332805555539,-2.4103510833333175,4.550836822222222,5.877456668415793e-05,0.001645687867156422,inconclusive,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.8,atc,edd,rule-vs-rule,180,180,446.6359855555555,448.1663633333332,1.530377777777769,0.5372475277777722,2.7359371666666505,4.466359855555555,0.0023655770533978757,0.02838692464077451,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,lpt,edd,rule-vs-rule,180,180,446.6359855555555,455.3309055555556,8.69492,1.1388835000000046,20.419061805555536,4.466359855555555,0.0176206611104818,0.1057239666628908,inconclusive,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,pfifo,edd,rule-vs-rule,180,180,446.6359855555555,446.6359855555555,0.0,0.0,0.0,4.466359855555555,1.0,1.0,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,random,edd,rule-vs-rule,180,180,446.6359855555555,450.5859366666666,3.949951111111111,1.5817271666666666,7.158403694444443,4.466359855555555,6.9487600923465525e-06,0.00010423140138519828,inconclusive,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,wmdd,edd,rule-vs-rule,180,180,446.6359855555555,447.546668888889,0.9106833333333355,0.2962533333333324,1.6517581388888891,4.466359855555555,0.005033508200606249,0.04530157380545624,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,wspt,edd,rule-vs-rule,180,180,446.6359855555555,450.36247,3.726484444444435,2.1386810833333336,5.543229111111092,4.466359855555555,2.4735962576351706e-07,4.452473263743307e-06,inconclusive,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,rollcp2,edd,optimizer-vs-rule,48,48,506.54738333333336,506.0364666666667,-0.5109166666666655,-1.3409622916666668,0.06278083333333422,5.065473833333334,0.028524000718169275,0.08557200215450783,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl301,edd,policy-vs-rule,180,180,446.6359855555555,446.28743666666657,-0.348548888888889,-0.9317996666666671,0.19660252777777606,4.466359855555555,0.12404279309009482,0.5151574666800829,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl302,edd,policy-vs-rule,180,180,446.6359855555555,446.3246544444444,-0.3113311111111099,-0.8426455277777752,0.18985944444444447,4.466359855555555,0.04132685891250041,0.4255764901684467,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl303,edd,policy-vs-rule,180,180,446.6359855555555,446.31832333333347,-0.317662222222224,-0.7747231944444481,0.07530172222222148,4.466359855555555,0.03546470751403722,0.4255764901684467,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl304,edd,policy-vs-rule,180,180,446.6359855555555,446.63492999999994,-0.0010555555555577536,-0.4134044722222233,0.4424243333333339,4.466359855555555,0.972125329731665,0.972125329731665,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl305,edd,policy-vs-rule,180,180,446.6359855555555,446.3163366666667,-0.31964888888888776,-0.822623833333331,0.19599125000000012,4.466359855555555,0.0735939238114404,0.5151574666800829,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl306,edd,policy-vs-rule,180,180,446.6359855555555,446.7369966666667,0.10101111111111279,-0.5416589166666619,0.9345437500000006,4.466359855555555,0.33053567270784123,0.6610713454156825,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl307,edd,policy-vs-rule,180,180,446.6359855555555,446.29960777777774,-0.3363777777777764,-0.8823878055555517,0.18449208333333034,4.466359855555555,0.07473549830588254,0.5151574666800829,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl308,edd,policy-vs-rule,180,180,446.6359855555555,446.4653388888888,-0.17064666666666772,-0.5668582777777785,0.29385533333332975,4.466359855555555,0.09948088075636449,0.5151574666800829,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl309,edd,policy-vs-rule,180,180,446.6359855555555,447.14385666666664,0.5078711111111116,0.11244874999999992,0.9988868611111112,4.466359855555555,0.030286568823091303,0.39372539470018697,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl310,edd,policy-vs-rule,180,180,446.6359855555555,446.37114777777776,-0.26483777777777856,-0.7824089166666711,0.2544220555555543,4.466359855555555,0.17873740941968186,0.5362122282590456,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,edd,atc,rule-vs-rule,180,180,448.1663633333332,446.6359855555555,-1.530377777777769,-2.722311249999989,-0.5519055277777716,4.481663633333333,0.0023655770533978757,0.02838692464077451,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,lpt,atc,rule-vs-rule,180,180,448.1663633333332,455.3309055555556,7.164542222222232,-0.05842188888886534,18.705747111111133,4.481663633333333,0.20456441569175576,0.4091288313835115,inconclusive,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,pfifo,atc,rule-vs-rule,180,180,448.1663633333332,446.6359855555555,-1.530377777777769,-2.737414833333329,-0.5336582222222204,4.481663633333333,0.0023655770533978757,0.02838692464077451,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,random,atc,rule-vs-rule,180,180,448.1663633333332,450.5859366666666,2.419573333333342,0.6566174999999972,4.941795722222238,4.481663633333333,0.0017063576642319274,0.022182649635015057,inconclusive,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,wmdd,atc,rule-vs-rule,180,180,448.1663633333332,447.546668888889,-0.6196944444444333,-1.3511301111111063,-0.0616143055555544,4.481663633333333,0.05046060861109359,0.25230304305546797,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,wspt,atc,rule-vs-rule,180,180,448.1663633333332,450.36247,2.196106666666666,1.3472104999999985,3.1606388333333353,4.481663633333333,3.631423132845855e-07,6.173419325837953e-06,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,rollcp2,atc,optimizer-vs-rule,48,48,507.82965416666667,506.0364666666667,-1.7931874999999977,-4.880040416666656,-0.017181875000002962,5.078296541666667,0.113725149057248,0.113725149057248,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl301,atc,policy-vs-rule,180,180,448.1663633333332,446.28743666666657,-1.8789266666666578,-3.4105154444444357,-0.6037129444444378,4.481663633333333,0.004455352355471741,0.10714238248703715,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl302,atc,policy-vs-rule,180,180,448.1663633333332,446.3246544444444,-1.8417088888888786,-3.33414666666665,-0.6245524999999963,4.481663633333333,0.002282193441519148,0.0661836098040553,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl303,atc,policy-vs-rule,180,180,448.1663633333332,446.31832333333347,-1.8480399999999928,-3.2639886111111,-0.6814102777777811,4.481663633333333,0.0011233790034369743,0.03370137010310923,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl304,atc,policy-vs-rule,180,180,448.1663633333332,446.63492999999994,-1.5314333333333268,-2.786942944444419,-0.49869622222222276,4.481663633333333,0.003765222173888809,0.09789577652110903,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl305,atc,policy-vs-rule,180,180,448.1663633333332,446.3163366666667,-1.8500266666666565,-3.3240048888888802,-0.624266111111105,4.481663633333333,0.002282193441519148,0.0661836098040553,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl306,atc,policy-vs-rule,180,180,448.1663633333332,446.7369966666667,-1.429366666666656,-2.967754611111092,-0.12229399999999854,4.481663633333333,0.015085824244536002,0.24137318791257603,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl307,atc,policy-vs-rule,180,180,448.1663633333332,446.29960777777774,-1.8667555555555453,-3.383744333333322,-0.614782999999999,4.481663633333333,0.0031429285311656034,0.08485907034147129,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl308,atc,policy-vs-rule,180,180,448.1663633333332,446.4653388888888,-1.7010244444444365,-3.1308777222222184,-0.5181727777777733,4.481663633333333,0.0042856952994814864,0.10714238248703715,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl309,atc,policy-vs-rule,180,180,448.1663633333332,447.14385666666664,-1.0225066666666573,-1.9545348888888607,-0.261750111111102,4.481663633333333,0.007169734292803208,0.15773415444167058,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl310,atc,policy-vs-rule,180,180,448.1663633333332,446.37114777777776,-1.7952155555555473,-3.2656706111111093,-0.5598658888888859,4.481663633333333,0.009871788182927657,0.1776921872926978,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,atc,wmdd,rule-vs-rule,180,180,447.546668888889,448.1663633333332,0.6196944444444333,0.07731791666665884,1.3826406944444296,4.47546668888889,0.05046060861109359,0.25230304305546797,equivalent,final-empirical,0.8,
