scope_type,scope,method,n_rows,coverage,mean,best_method,mean_best,n_configs,n_clusters,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,verdict,in_equivalence_set,regime,crew_multiplier,u_bin
scope,regime=final-empirical|crew_multiplier=0.8,pfifo,180,1.0,446.6359855555556,v2rl301,446.2874366666666,180,180,0.348548888888889,-0.18619288888888952,0.9279253333333307,4.462874366666666,0.12404279309009482,equivalent,1,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,random,180,1.0,450.5859366666667,v2rl301,446.2874366666666,180,180,4.2985,1.5587097222222244,7.827720944444443,4.462874366666666,3.1348887968329175e-05,inconclusive,0,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,rollcp2,48,0.26666666666666666,506.0364666666667,v2rl301,446.2874366666666,48,48,-0.2164624999999957,-0.5887721874999798,0.06194458333333278,5.062529291666666,0.028524000718169275,equivalent,1,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl301,180,1.0,446.2874366666666,v2rl301,446.2874366666666,180,180,0.0,0.0,0.0,4.462874366666666,1.0,equivalent,1,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl302,180,1.0,446.32465444444443,v2rl301,446.2874366666666,180,180,0.03721777777777915,-0.0966663333333315,0.23780888888888968,4.462874366666666,0.7150006546880893,equivalent,1,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl303,180,1.0,446.31832333333335,v2rl301,446.2874366666666,180,180,0.030886666666665025,-0.1674033333333363,0.27160594444444147,4.462874366666666,0.8657723749926214,equivalent,1,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl304,180,1.0,446.63493,v2rl301,446.2874366666666,180,180,0.34749333333333127,0.05124805555555526,0.7528024444444403,4.462874366666666,0.08583095844428565,equivalent,1,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl305,180,1.0,446.3163366666667,v2rl301,446.2874366666666,180,180,0.028900000000001255,-0.060079999999998614,0.16326000000000124,4.462874366666666,0.5001842570707944,equivalent,1,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl306,180,1.0,446.7369966666667,v2rl301,446.2874366666666,180,180,0.4495600000000018,-0.058782222222218176,1.4248133333333348,4.462874366666666,1.0,equivalent,1,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl307,180,1.0,446.29960777777785,v2rl301,446.2874366666666,180,180,0.012171111111112668,-0.07301511111110967,0.11576022222222744,4.462874366666666,0.916511907863894,equivalent,1,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl308,180,1.0,446.4653388888889,v2rl301,446.2874366666666,180,180,0.1779022222222213,-0.03468888888888968,0.4775928888888868,4.462874366666666,0.2626182904425206,equivalent,1,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl309,180,1.0,447.14385666666664,v2rl301,446.2874366666666,180,180,0.8564200000000006,0.24045783333333293,1.630107111111108,4.462874366666666,0.009344113002204883,equivalent,1,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl310,180,1.0,446.37114777777776,v2rl301,446.2874366666666,180,180,0.08371111111111047,-0.024924444444444464,0.21868711111111305,4.462874366666666,0.28418977486767805,equivalent,1,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,wmdd,180,1.0,447.54666888888886,v2rl301,446.2874366666666,180,180,1.2592322222222245,0.33487844444444503,2.3495519166666674,4.462874366666666,0.01306396083306817,equivalent,1,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,wspt,180,1.0,450.36247000000003,v2rl301,446.2874366666666,180,180,4.075033333333324,2.2256399444444437,6.243638388888869,4.462874366666666,5.685594033194775e-07,inconclusive,0,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=1.0,atc,227,1.0,457.70226696035246,wmdd,454.9875286343613,227,227,2.7147383259911897,0.8683937885462547,5.091926960352426,4.549875286343612,0.001176563999937216,inconclusive,0,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,edd,227,1.0,461.5920872246696,wmdd,454.9875286343613,227,227,6.604558590308373,-1.5697514977973541,18.409816894273128,4.549875286343612,0.40804420568711997,inconclusive,0,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,lpt,227,1.0,559.7954599118942,wmdd,454.9875286343613,227,227,104.80793127753302,38.5665799339207,188.4962069823788,4.549875286343612,0.0041623806255435035,worse,0,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,pfifo,227,1.0,461.5920872246696,wmdd,454.9875286343613,227,227,6.604558590308373,-1.6495557929515388,18.313804933920697,4.549875286343612,0.40804420568711997,inconclusive,0,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,random,227,1.0,487.14997533039644,wmdd,454.9875286343613,227,227,32.16244669603524,12.92246162995594,56.7313422907489,4.549875286343612,5.269830701389687e-05,worse,0,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,rollcp2,64,0.28193832599118945,513.9609875,wmdd,454.9875286343613,64,64,-0.24325624999999285,-4.8734291406249906,5.143004531250034,5.1420424375,0.008639480104638733,inconclusive,0,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,v2rl301,227,1.0,501.9378185022026,wmdd,454.9875286343613,227,227,46.95028986784142,12.137906079295158,91.61988969162995,4.549875286343612,0.18081236677854295,worse,0,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,v2rl302,227,1.0,469.61575859030836,wmdd,454.9875286343613,227,227,14.628229955947136,3.379414317180617,29.838937863436126,4.549875286343612,0.16977498788033196,inconclusive,0,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,v2rl303,227,1.0,525.916131277533,wmdd,454.9875286343613,227,227,70.92860264317181,25.8422054185022,129.78062374449343,4.549875286343612,0.02730632132788956,worse,0,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,v2rl304,227,1.0,471.7228537444934,wmdd,454.9875286343613,227,227,16.735325110132155,1.0455762334801821,40.854688083700445,4.549875286343612,0.5502919421280152,inconclusive,0,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,v2rl305,227,1.0,492.1600792951542,wmdd,454.9875286343613,227,227,37.17255066079295,9.843808039647572,73.8262744713656,4.549875286343612,0.06355166456894228,worse,0,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,v2rl306,227,1.0,502.93699735682816,wmdd,454.9875286343613,227,227,47.94946872246696,14.377187643171796,91.14798638766514,4.549875286343612,0.06803474489437815,worse,0,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,v2rl307,227,1.0,494.45946872246697,wmdd,454.9875286343613,227,227,39.471940088105725,9.864966035242286,79.3163468942731,4.549875286343612,0.1789561131984324,worse,0,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,v2rl308,227,1.0,475.1610449339208,wmdd,454.9875286343613,227,227,20.17351629955947,0.37253017621145273,53.49781127753304,4.549875286343612,0.8076239898901056,inconclusive,0,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,v2rl309,227,1.0,472.2694854625551,wmdd,454.9875286343613,227,227,17.281956828193827,2.798741211453742,40.8164757048458,4.549875286343612,0.09296312671248624,inconclusive,0,final-empirical,1.0,
