scope_type,scope,method,n_rows,mean,regime,crew_multiplier,u_bin
u_bin,u_bin=0.5-0.8,atc,223,1086.939262780269,,,0.5-0.8
u_bin,u_bin=0.5-0.8,edd,223,1085.0854233183857,,,0.5-0.8
u_bin,u_bin=0.5-0.8,lpt,223,1183.6906385650225,,,0.5-0.8
u_bin,u_bin=0.5-0.8,pfifo,223,1085.0854233183857,,,0.5-0.8
u_bin,u_bin=0.5-0.8,random,223,1101.8016376681614,,,0.5-0.8
u_bin,u_bin=0.5-0.8,rollcp2,49,789.3171877551022,,,0.5-0.8
u_bin,u_bin=0.5-0.8,v2rl301,223,1084.4455058295964,,,0.5-0.8
u_bin,u_bin=0.5-0.8,v2rl302,223,1084.5284475336323,,,0.5-0.8
u_bin,u_bin=0.5-0.8,v2rl303,223,1084.7997632286995,,,0.5-0.8
u_bin,u_bin=0.5-0.8,v2rl304,223,1084.9928358744394,,,0.5-0.8
u_bin,u_bin=0.5-0.8,v2rl305,223,1084.466405381166,,,0.5-0.8
u_bin,u_bin=0.5-0.8,v2rl306,223,1084.4686977578476,,,0.5-0.8
u_bin,u_bin=0.5-0.8,v2rl307,223,1084.5366188340806,,,0.5-0.8
u_bin,u_bin=0.5-0.8,v2rl308,223,1084.5641695067263,,,0.5-0.8
u_bin,u_bin=0.5-0.8,v2rl309,223,1085.5681255605382,,,0.5-0.8
u_bin,u_bin=0.5-0.8,v2rl310,223,1084.459531838565,,,0.5-0.8
u_bin,u_bin=0.5-0.8,wmdd,223,1086.5399264573991,,,0.5-0.8
u_bin,u_bin=0.5-0.8,wspt,223,1091.7592475336323,,,0.5-0.8
u_bin,u_bin=0.8-1.0,atc,166,2024.128773493976,,,0.8-1.0
u_bin,u_bin=0.8-1.0,edd,166,2014.2897024096385,,,0.8-1.0
u_bin,u_bin=0.8-1.0,lpt,166,12420.878290361446,,,0.8-1.0
u_bin,u_bin=0.8-1.0,pfifo,166,2014.2897024096385,,,0.8-1.0
u_bin,u_bin=0.8-1.0,random,166,3716.1849204819273,,,0.8-1.0
u_bin,u_bin=0.8-1.0,rollcp2,15,836.5752799999999,,,0.8-1.0
u_bin,u_bin=0.8-1.0,v2rl301,166,2009.786095180723,,,0.8-1.0
u_bin,u_bin=0.8-1.0,v2rl302,166,2009.8831530120483,,,0.8-1.0
u_bin,u_bin=0.8-1.0,v2rl303,166,2078.769345783133,,,0.8-1.0
u_bin,u_bin=0.8-1.0,v2rl304,166,2012.2542879518076,,,0.8-1.0
u_bin,u_bin=0.8-1.0,v2rl305,166,2007.2344542168676,,,0.8-1.0
u_bin,u_bin=0.8-1.0,v2rl306,166,2011.4546915662654,,,0.8-1.0
u_bin,u_bin=0.8-1.0,v2rl307,166,2009.596577108434,,,0.8-1.0
u_bin,u_bin=0.8-1.0,v2rl308,166,2010.338708433735,,,0.8-1.0
u_bin,u_bin=0.8-1.0,v2rl309,166,2060.9106493975905,,,0.8-1.0
u_bin,u_bin=0.8-1.0,v2rl310,166,2007.328791566265,,,0.8-1.0
u_bin,u_bin=0.8-1.0,wmdd,166,2023.4577361445783,,,0.8-1.0
u_bin,u_bin=0.8-1.0,wspt,166,2185.894281927711,,,0.8-1.0
u_bin,u_bin=1.0-1.2,atc,124,2744.5611225806456,,,1.0-1.2
