id,campus,track,split,size,regime,crew_multiplier,arrival_multiplier,pm_share_override,method,seed,feasible,wwt,makespan,mean_flow,breach_share,breach_p1,breach_p2,breach_p3,breach_p4,wall_seconds,decisions,mean_ms_per_decision,mean_replan_s,u_target,u_realized,eval_set,pm_share,visibility_L,constant_by_construction,base_id
c05_final_150_0000_m0.6_Lfull,5,replay,test,150,vis-empirical,0.6,1.0,,atc,301,1,0.0,41.0,7.536985333333332,0.0,,,0.0,0.0,0.001097804051823914,150,0.007318693678826094,,,1.0905797101449275,visibility,,full,1,c05_final_150_0000
c05_final_150_0000_m0.6_Lfull,5,replay,test,150,vis-empirical,0.6,1.0,,wmdd,301,1,0.0,50.5,9.006816,0.0,,,0.0,0.0,0.0007410689722746611,150,0.004940459815164407,,,1.0905797101449275,visibility,,full,1,c05_final_150_0000
c05_final_150_0000_m0.6_Lfull,5,replay,test,150,vis-empirical,0.6,1.0,,atc_la,301,1,0.0,41.0,7.536985333333332,0.0,,,0.0,0.0,0.001340780989266932,150,0.008938539928446213,,,1.0905797101449275,visibility,,full,0,c05_final_150_0000
c05_final_150_0000_m0.6_Lfull,5,replay,test,150,vis-empirical,0.6,1.0,,rollcp2,0,1,0.0,54.42,7.914908666666667,0.0,,,0.0,0.0,97.14088713389356,48,2023.7684819561157,2.022522915288088,,1.0905797101449275,visibility,,full,0,c05_final_150_0000
c05_final_150_0000_m0.6_Lfull,5,replay,test,150,vis-empirical,0.6,1.0,,visfullrl501,501,1,0.0,40.5,12.550086,0.0,,,0.0,0.0,0.03329482604749501,150,0.22196550698330006,,,1.0905797101449275,visibility,,full,0,c05_final_150_0000
c05_final_150_0000_m0.6_Lfull,5,replay,test,150,vis-empirical,0.6,1.0,,visfullrl502,502,1,0.0,40.5,12.356423333333336,0.0,,,0.0,0.0,0.03315270598977804,150,0.22101803993185362,,,1.0905797101449275,visibility,,full,0,c05_final_150_0000
c05_final_150_0000_m0.6_Lfull,5,replay,test,150,vis-empirical,0.6,1.0,,visfullrl503,503,1,0.0,40.5,12.540271333333333,0.0,,,0.0,0.0,0.03303076000884175,150,0.2202050667256117,,,1.0905797101449275,visibility,,full,0,c05_final_150_0000
c05_final_150_0000_m0.6_Lfull,5,replay,test,150,vis-empirical,0.6,1.0,,visfullrl504,504,1,0.0,40.5,12.498114000000003,0.0,,,0.0,0.0,0.03332797798793763,150,0.22218651991958419,,,1.0905797101449275,visibility,,full,0,c05_final_150_0000
c05_final_150_0000_m0.6_Lfull,5,replay,test,150,vis-empirical,0.6,1.0,,visfullrl505,505,1,0.0,40.5,7.910894666666667,0.0,,,0.0,0.0,0.03294977103359997,150,0.21966514022399983,,,1.0905797101449275,visibility,,full,0,c05_final_150_0000
c05_final_150_0001_m0.6_L0,5,replay,test,150,vis-empirical,0.6,1.0,,edd,301,1,0.0,45.7931,2.5025666666666666,0.0,,,0.0,,0.0004356200806796551,150,0.0029041338711977005,,,0.5009016229212583,visibility,,0,1,c05_final_150_0001
c05_final_150_0001_m0.6_L0,5,replay,test,150,vis-empirical,0.6,1.0,,atc,301,1,0.0,45.7931,2.5025666666666666,0.0,,,0.0,,0.0005277460440993309,150,0.003518306960662206,,,0.5009016229212583,visibility,,0,1,c05_final_150_0001
c05_final_150_0001_m0.6_L0,5,replay,test,150,vis-empirical,0.6,1.0,,wmdd,301,1,0.0,45.7931,2.5025666666666666,0.0,,,0.0,,0.0003970090765506029,150,0.0026467271770040193,,,0.5009016229212583,visibility,,0,1,c05_final_150_0001
c05_final_150_0001_m0.6_L0,5,replay,test,150,vis-empirical,0.6,1.0,,atc_la,301,1,0.0,45.7931,2.5025666666666666,0.0,,,0.0,,0.0007490989519283175,150,0.004993993012855451,,,0.5009016229212583,visibility,,0,0,c05_final_150_0001
c05_final_150_0001_m0.6_L0,5,replay,test,150,vis-empirical,0.6,1.0,,rollcp2,0,1,0.0,45.8008,2.504881333333333,0.0,,,0.0,,0.7701438190415502,55,14.002614891664548,0.013769708868031475,,0.5009016229212583,visibility,,0,0,c05_final_150_0001
c05_final_150_0001_m0.6_L0,5,replay,test,150,vis-empirical,0.6,1.0,,vis0rl501,501,1,0.0,45.7931,2.505233333333333,0.0,,,0.0,,0.029751733993180096,150,0.1983448932878673,,,0.5009016229212583,visibility,,0,0,c05_final_150_0001
c05_final_150_0001_m0.6_L0,5,replay,test,150,vis-empirical,0.6,1.0,,vis0rl502,502,1,0.0,45.7931,2.505233333333333,0.0,,,0.0,,0.02862323704175651,150,0.19082158027837673,,,0.5009016229212583,visibility,,0,0,c05_final_150_0001
c05_final_150_0001_m0.6_L0,5,replay,test,150,vis-empirical,0.6,1.0,,vis0rl503,503,1,0.0,45.7931,2.505233333333333,0.0,,,0.0,,0.028480518027208745,150,0.18987012018139163,,,0.5009016229212583,visibility,,0,0,c05_final_150_0001
c05_final_150_0001_m0.6_L0,5,replay,test,150,vis-empirical,0.6,1.0,,vis0rl504,504,1,0.0,45.7931,2.505233333333333,0.0,,,0.0,,0.029401261010207236,150,0.1960084067347149,,,0.5009016229212583,visibility,,0,0,c05_final_150_0001
c05_final_150_0001_m0.6_L0,5,replay,test,150,vis-empirical,0.6,1.0,,vis0rl505,505,1,0.0,45.7931,2.5025666666666666,0.0,,,0.0,,0.02843110600952059,150,0.18954070673013726,,,0.5009016229212583,visibility,,0,0,c05_final_150_0001
c05_final_150_0001_m0.6_L0,5,replay,test,150,vis-empirical,0.6,1.0,,v2rl301,301,1,0.0,45.7931,2.505233333333333,0.0,,,0.0,,0.02891792997252196,150,0.19278619981681308,,,0.5009016229212583,visibility,,0,0,c05_final_150_0001
c05_final_150_0001_m0.6_L0,5,replay,test,150,vis-empirical,0.6,1.0,,v2rl302,302,1,0.0,45.7931,2.505233333333333,0.0,,,0.0,,0.029300115071237087,150,0.19533410047491392,,,0.5009016229212583,visibility,,0,0,c05_final_150_0001
c05_final_150_0001_m0.6_L0,5,replay,test,150,vis-empirical,0.6,1.0,,v2rl303,303,1,0.0,45.7931,2.505233333333333,0.0,,,0.0,,0.0272583260666579,150,0.18172217377771935,,,0.5009016229212583,visibility,,0,0,c05_final_150_0001
c05_final_150_0001_m0.6_L0,5,replay,test,150,vis-empirical,0.6,1.0,,v2rl304,304,1,0.0,45.7931,2.5025666666666666,0.0,,,0.0,,0.02813659596722573,150,0.18757730644817153,,,0.5009016229212583,visibility,,0,0,c05_final_150_0001
c05_final_150_0001_m0.6_L0,5,replay,test,150,vis-empirical,0.6,1.0,,v2rl305,305,1,0.0,45.7931,2.505233333333333,0.0,,,0.0,,0.027341737993992865,150,0.18227825329328576,,,0.5009016229212583,visibility,,0,0,c05_final_150_0001
c05_final_150_0001_m0.6_L0,5,replay,test,150,vis-empirical,0.6,1.0,,v2rl306,306,1,0.0,45.7931,2.505233333333333,0.0,,,0.0,,0.027755794930271804,150,0.1850386328684787,,,0.5009016229212583,visibility,,0,0,c05_final_150_0001
c05_final_150_0001_m0.6_L0,5,replay,test,150,vis-empirical,0.6,1.0,,v2rl307,307,1,0.0,45.7931,2.5025666666666666,0.0,,,0.0,,0.028028380940668285,150,0.18685587293778858,,,0.5009016229212583,visibility,,0,0,c05_final_150_0001
c05_final_150_0001_m0.6_L0,5,replay,test,150,vis-empirical,0.6,1.0,,v2rl308,308,1,0.0,45.7931,2.505233333333333,0.0,,,0.0,,0.027840154012665153,150,0.18560102675110102,,,0.5009016229212583,visibility,,0,0,c05_final_150_0001
c05_final_150_0001_m0.6_L0,5,replay,test,150,vis-empirical,0.6,1.0,,v2rl309,309,1,0.0,45.7931,2.505233333333333,0.0,,,0.0,,0.02760710706934333,150,0.18404738046228886,,,0.5009016229212583,visibility,,0,0,c05_final_150_0001
c05_final_150_0001_m0.6_L0,5,replay,test,150,vis-empirical,0.6,1.0,,v2rl310,310,1,0.0,45.7931,2.505233333333333,0.0,,,0.0,,0.02751939499285072,150,0.18346263328567147,,,0.5009016229212583,visibility,,0,0,c05_final_150_0001
c05_final_150_0001_m0.6_L8,5,replay,test,150,vis-empirical,0.6,1.0,,edd,301,1,0.0,45.7931,2.5025666666666666,0.0,,,0.0,,0.0004356200806796551,150,0.0029041338711977005,,,0.5009016229212583,visibility,,8,1,c05_final_150_0001
c05_final_150_0001_m0.6_L8,5,replay,test,150,vis-empirical,0.6,1.0,,atc,301,1,0.0,45.7931,2.5025666666666666,0.0,,,0.0,,0.0005277460440993309,150,0.003518306960662206,,,0.5009016229212583,visibility,,8,1,c05_final_150_0001
c05_final_150_0001_m0.6_L8,5,replay,test,150,vis-empirical,0.6,1.0,,wmdd,301,1,0.0,45.7931,2.5025666666666666,0.0,,,0.0,,0.0003970090765506029,150,0.0026467271770040193,,,0.5009016229212583,visibility,,8,1,c05_final_150_0001
c05_final_150_0001_m0.6_L8,5,replay,test,150,vis-empirical,0.6,1.0,,atc_la,301,1,0.0,45.7931,2.5025666666666666,0.0,,,0.0,,0.000675113988108933,150,0.00450075992072622,,,0.5009016229212583,visibility,,8,0,c05_final_150_0001
c05_final_150_0001_m0.6_L8,5,replay,test,150,vis-empirical,0.6,1.0,,rollcp2,0,1,0.0,45.8008,2.5048813333333335,0.0,,,0.0,,0.7028377270326018,55,12.778867764229124,0.012535218964330852,,0.5009016229212583,visibility,,8,0,c05_final_150_0001
c05_final_150_0001_m0.6_L8,5,replay,test,150,vis-empirical,0.6,1.0,,vis8rl501,501,1,0.0,45.7931,2.505233333333333,0.0,,,0.0,,0.02868514903821051,150,0.1912343269214034,,,0.5009016229212583,visibility,,8,0,c05_final_150_0001
c05_final_150_0001_m0.6_L8,5,replay,test,150,vis-empirical,0.6,1.0,,vis8rl502,502,1,0.0,45.7931,2.5025666666666666,0.0,,,0.0,,0.029040514957159758,150,0.19360343304773173,,,0.5009016229212583,visibility,,8,0,c05_final_150_0001
c05_final_150_0001_m0.6_L8,5,replay,test,150,vis-empirical,0.6,1.0,,vis8rl503,503,1,0.0,45.7931,2.5025666666666666,0.0,,,0.0,,0.028304752078838646,150,0.18869834719225764,,,0.5009016229212583,visibility,,8,0,c05_final_150_0001
c05_final_150_0001_m0.6_L8,5,replay,test,150,vis-empirical,0.6,1.0,,vis8rl504,504,1,0.0,45.7931,2.505233333333333,0.0,,,0.0,,0.028415538952685893,150,0.1894369263512393,,,0.5009016229212583,visibility,,8,0,c05_final_150_0001
c05_final_150_0001_m0.6_L8,5,replay,test,150,vis-empirical,0.6,1.0,,vis8rl505,505,1,0.0,45.7931,2.5025666666666666,0.0,,,0.0,,0.028016039985232055,150,0.18677359990154704,,,0.5009016229212583,visibility,,8,0,c05_final_150_0001
c05_final_150_0001_m0.6_L40,5,replay,test,150,vis-empirical,0.6,1.0,,edd,301,1,0.0,45.7931,2.5025666666666666,0.0,,,0.0,,0.0004356200806796551,150,0.0029041338711977005,,,0.5009016229212583,visibility,,40,1,c05_final_150_0001
c05_final_150_0001_m0.6_L40,5,replay,test,150,vis-empirical,0.6,1.0,,atc,301,1,0.0,45.7931,2.5025666666666666,0.0,,,0.0,,0.0005277460440993309,150,0.003518306960662206,,,0.5009016229212583,visibility,,40,1,c05_final_150_0001
c05_final_150_0001_m0.6_L40,5,replay,test,150,vis-empirical,0.6,1.0,,wmdd,301,1,0.0,45.7931,2.5025666666666666,0.0,,,0.0,,0.0003970090765506029,150,0.0026467271770040193,,,0.5009016229212583,visibility,,40,1,c05_final_150_0001
c05_final_150_0001_m0.6_L40,5,replay,test,150,vis-empirical,0.6,1.0,,atc_la,301,1,0.0,45.7931,2.5025666666666666,0.0,,,0.0,,0.0005955760134384036,150,0.003970506756256024,,,0.5009016229212583,visibility,,40,0,c05_final_150_0001
c05_final_150_0001_m0.6_L40,5,replay,test,150,vis-empirical,0.6,1.0,,rollcp2,0,1,0.0,45.8008,2.5048813333333335,0.0,,,0.0,,0.706290879053995,55,12.841652346436273,0.012596736822954632,,0.5009016229212583,visibility,,40,0,c05_final_150_0001
c05_final_150_0001_m0.6_L40,5,replay,test,150,vis-empirical,0.6,1.0,,vis40rl501,501,1,0.0,45.7931,2.505233333333333,0.0,,,0.0,,0.027456696960143745,150,0.1830446464009583,,,0.5009016229212583,visibility,,40,0,c05_final_150_0001
c05_final_150_0001_m0.6_L40,5,replay,test,150,vis-empirical,0.6,1.0,,vis40rl502,502,1,0.0,45.7931,2.505233333333333,0.0,,,0.0,,0.02781119500286877,150,0.18540796668579182,,,0.5009016229212583,visibility,,40,0,c05_final_150_0001
c05_final_150_0001_m0.6_L40,5,replay,test,150,vis-empirical,0.6,1.0,,vis40rl503,503,1,0.0,45.7931,2.505233333333333,0.0,,,0.0,,0.027932984055951238,150,0.1862198937063416,,,0.5009016229212583,visibility,,40,0,c05_final_150_0001
c05_final_150_0001_m0.6_L40,5,replay,test,150,vis-empirical,0.6,1.0,,vis40rl504,504,1,0.0,45.7931,2.505233333333333,0.0,,,0.0,,0.027696578996255994,150,0.18464385997503996,,,0.5009016229212583,visibility,,40,0,c05_final_150_0001
c05_final_150_0001_m0.6_L40,5,replay,test,150,vis-empirical,0.6,1.0,,vis40rl505,505,1,0.0,45.7931,2.5025666666666666,0.0,,,0.0,,0.0274199650157243,150,0.18279976677149534,,,0.5009016229212583,visibility,,40,0,c05_final_150_0001
c05_final_150_0001_m0.6_Lfull,5,replay,test,150,vis-empirical,0.6,1.0,,edd,301,1,0.0,45.7931,2.5025666666666666,0.0,,,0.0,,0.0004356200806796551,150,0.0029041338711977005,,,0.5009016229212583,visibility,,full,1,c05_final_150_0001
