regime,campus,u_target,u_realized_mean,method,mean_wwt,mean_breach_share,n
storm2,9,0.7,0.6930742735690234,v2rl306,524.2112133333334,0.005632970501695897,30
storm2,9,0.7,0.6930742735690234,v2rl307,523.9687066666668,0.005612731683642874,30
storm2,9,0.7,0.6930742735690234,v2rl308,524.6294,0.005654714359056193,30
storm2,9,0.7,0.6930742735690234,v2rl309,524.93876,0.005613476317316204,30
storm2,9,0.7,0.6930742735690234,v2rl310,522.3297200000001,0.00561398437644306,30
storm2,9,0.7,0.6930742735690234,wmdd,523.1980933333333,0.005571422490537173,30
storm2,9,0.7,0.6930742735690234,wspt,528.3985466666668,0.005655586382803944,30
storm2,9,0.9,0.8955250075757573,atc,607.19136,0.005079989881473777,30
storm2,9,0.9,0.8955250075757573,edd,602.5627333333333,0.005030158218455874,30
storm2,9,0.9,0.8955250075757573,lpt,8673.331693333334,0.03892907243587863,30
storm2,9,0.9,0.8955250075757573,pfifo,602.5627333333333,0.005030158218455874,30
storm2,9,0.9,0.8955250075757573,random,1575.0539199999998,0.01441396272749971,30
storm2,9,0.9,0.8955250075757573,rl301,604.9039733333334,0.0050970163145679535,30
storm2,9,0.9,0.8955250075757573,rl302,603.6955999999999,0.00504783316752335,30
storm2,9,0.9,0.8955250075757573,rl303,607.56104,0.005047104498747347,30
storm2,9,0.9,0.8921120154671717,rollcp2,747.4068500000001,0.005856122021523913,8
storm2,9,0.9,0.8955250075757573,v2at301,3220.761226666666,0.033550973601308036,30
storm2,9,0.9,0.8955250075757573,v2at302,603.3889733333334,0.005063721314965357,30
storm2,9,0.9,0.8955250075757573,v2at303,609.9675333333333,0.005095736588560016,30
storm2,9,0.9,0.8955250075757573,v2at304,609.37352,0.005097712144408998,30
storm2,9,0.9,0.8955250075757573,v2at305,610.3356000000001,0.005194068081619434,30
storm2,9,0.9,0.8955250075757573,v2at306,612.16196,0.005128148426915957,30
storm2,9,0.9,0.8955250075757573,v2at307,606.1838266666667,0.00504758832249067,30
storm2,9,0.9,0.8955250075757573,v2at308,605.5683066666666,0.005095981433592697,30
storm2,9,0.9,0.8955250075757573,v2at309,606.0553333333334,0.005047258858417207,30
storm2,9,0.9,0.8955250075757573,v2at310,602.6836266666667,0.005047139030138674,30
storm2,9,0.9,0.8955250075757573,v2rl301,606.0468666666667,0.005047104498747347,30
storm2,9,0.9,0.8955250075757573,v2rl302,604.3017733333332,0.005063721314965357,30
storm2,9,0.9,0.8955250075757573,v2rl303,603.5703066666666,0.005046684412473391,30
storm2,9,0.9,0.8955250075757573,v2rl304,605.07144,0.005064569134173471,30
storm2,9,0.9,0.8955250075757573,v2rl305,604.9610799999999,0.0050807021266481575,30
storm2,9,0.9,0.8955250075757573,v2rl306,604.9139200000001,0.0050807021266481575,30
storm2,9,0.9,0.8955250075757573,v2rl307,604.4195733333333,0.005063476469932677,30
storm2,9,0.9,0.8955250075757573,v2rl308,605.1767466666666,0.005080409967747734,30
storm2,9,0.9,0.8955250075757573,v2rl309,625.9012533333333,0.005389910910281156,30
storm2,9,0.9,0.8955250075757573,v2rl310,603.9650533333333,0.005096954361330424,30
storm2,9,0.9,0.8955250075757573,wmdd,603.9979066666667,0.005014270071013867,30
storm2,9,0.9,0.8955250075757573,wspt,675.6111466666666,0.005343857996484006,30
storm2,9,1.0,0.9949752979797978,atc,719.1051199999999,0.0056671710919870034,30
storm2,9,1.0,0.9949752979797978,edd,719.4141866666665,0.0056527319974885104,30
storm2,9,1.0,0.9949752979797978,lpt,20125.813346666673,0.06456534797261806,30
storm2,9,1.0,0.9949752979797978,pfifo,719.4141866666665,0.0056527319974885104,30
storm2,9,1.0,0.9949752979797978,random,4645.907626666667,0.0300493112244705,30
storm2,9,1.0,0.9949752979797978,rl301,716.5160400000001,0.005608338013773603,30
storm2,9,1.0,0.9949752979797978,rl302,716.5415599999999,0.005696752605583256,30
storm2,9,1.0,0.9949752979797978,rl303,719.7714133333334,0.005801014380119029,30
storm2,9,1.0,0.9877742818813131,rollcp2,650.5629,0.005593828614517675,8
storm2,9,1.0,0.9949752979797978,v2at301,6748.991139999999,0.05565224083434437,30
storm2,9,1.0,0.9949752979797978,v2at302,715.8094400000002,0.0056528798830317575,30
storm2,9,1.0,0.9949752979797978,v2at303,730.5391200000001,0.00574193551157855,30
storm2,9,1.0,0.9949752979797978,v2at304,721.90576,0.0056828803749547,30
storm2,9,1.0,0.9949752979797978,v2at305,728.5999733333334,0.005888522438892924,30
storm2,9,1.0,0.9949752979797978,v2at306,731.2934,0.005812583969168969,30
storm2,9,1.0,0.9949752979797978,v2at307,712.6618799999999,0.005622100195756596,30
storm2,9,1.0,0.9949752979797978,v2at308,724.0134533333335,0.005711777959873933,30
storm2,9,1.0,0.9949752979797978,v2at309,715.5323333333334,0.005622497363388193,30
storm2,9,1.0,0.9949752979797978,v2at310,712.3350000000002,0.00557845645100696,30
storm2,9,1.0,0.9949752979797978,v2rl301,723.6394933333333,0.005668110032685739,30
storm2,9,1.0,0.9949752979797978,v2rl302,720.3826933333333,0.005727685760956229,30
storm2,9,1.0,0.9949752979797978,v2rl303,717.5007866666667,0.005638823463527326,30
storm2,9,1.0,0.9949752979797978,v2rl304,718.9276533333334,0.005653596003926166,30
storm2,9,1.0,0.9949752979797978,v2rl305,718.1779333333333,0.00568337220797508,30
storm2,9,1.0,0.9949752979797978,v2rl306,723.18188,0.005756891135675733,30
storm2,9,1.0,0.9949752979797978,v2rl307,716.7016933333335,0.005710329884040412,30
storm2,9,1.0,0.9949752979797978,v2rl308,722.0081733333334,0.005682474449845343,30
storm2,9,1.0,0.9949752979797978,v2rl309,846.2056866666667,0.008639014607295818,30
storm2,9,1.0,0.9949752979797978,v2rl310,715.9985066666668,0.00563931415629404,30
storm2,9,1.0,0.9949752979797978,wmdd,721.5978133333333,0.0056527319974885104,30
storm2,9,1.0,0.9949752979797978,wspt,854.3007000000001,0.006123678780962577,30
storm2,9,1.1,1.0976695568181813,atc,811.8741066666666,0.005540602930781067,30
storm2,9,1.1,1.0976695568181813,edd,807.1272799999999,0.0056479987202591505,30
storm2,9,1.1,1.0976695568181813,lpt,32907.91444,0.08178595413502196,30
storm2,9,1.1,1.0976695568181813,pfifo,807.1272799999999,0.0056479987202591505,30
storm2,9,1.1,1.0976695568181813,random,8423.268293333333,0.0423151017105039,30
storm2,9,1.1,1.0976695568181813,rl301,809.29572,0.005648258065495654,30
storm2,9,1.1,1.0976695568181813,rl302,815.1400933333333,0.005593734475603563,30
storm2,9,1.1,1.0976695568181813,rl303,822.9423200000001,0.005649296694619072,30
storm2,9,1.1,1.0927491477272717,rollcp2,792.1448999999999,0.005613848815091288,8
storm2,9,1.1,1.0976695568181813,v2at301,8856.273680000002,0.06603276969680222,30
storm2,9,1.1,1.0976695568181813,v2at302,815.9058933333333,0.005649418083883809,30
storm2,9,1.1,1.0976695568181813,v2at303,816.1775733333335,0.005553161017051499,30
storm2,9,1.1,1.0976695568181813,v2at304,817.7590266666667,0.005512417946229847,30
storm2,9,1.1,1.0976695568181813,v2at305,840.5755066666667,0.005864408840758857,30
storm2,9,1.1,1.0976695568181813,v2at306,818.2595466666667,0.005566894703932786,30
storm2,9,1.1,1.0976695568181813,v2at307,809.2856933333331,0.005540927211990777,30
storm2,9,1.1,1.0976695568181813,v2at308,819.05072,0.005541297837298534,30
storm2,9,1.1,1.0976695568181813,v2at309,809.6237866666668,0.005499040731797363,30
storm2,9,1.1,1.0976695568181813,v2at310,810.4386933333333,0.005566721136905029,30
storm2,9,1.1,1.0976695568181813,v2rl301,824.3960933333333,0.005648836424401256,30
storm2,9,1.1,1.0976695568181813,v2rl302,819.2843466666667,0.0055953948289561,30
storm2,9,1.1,1.0976695568181813,v2rl303,821.7706266666665,0.005594840762090673,30
storm2,9,1.1,1.0976695568181813,v2rl304,816.5265733333332,0.005554410690273492,30
storm2,9,1.1,1.0976695568181813,v2rl305,818.2586666666667,0.005608458011430926,30
storm2,9,1.1,1.0976695568181813,v2rl306,826.6131466666667,0.005635102274588882,30
storm2,9,1.1,1.0976695568181813,v2rl307,819.2146,0.005634835652713924,30
storm2,9,1.1,1.0976695568181813,v2rl308,822.3435333333331,0.005649269095235389,30
storm2,9,1.1,1.0976695568181813,v2rl309,1271.2618533333334,0.011944806524787058,30
storm2,9,1.1,1.0976695568181813,v2rl310,809.4692533333331,0.005580979076074907,30
storm2,9,1.1,1.0976695568181813,wmdd,812.5500400000001,0.005621233651815666,30
storm2,9,1.1,1.0976695568181813,wspt,1023.83348,0.0061449980053859,30
storm2,9,1.3,1.299125233164985,atc,926.2711866666666,0.005728432173772367,30
storm2,9,1.3,1.299125233164985,edd,922.5412399999999,0.005726166856749143,30
storm2,9,1.3,1.299125233164985,lpt,68130.99878666665,0.10698868847628808,30
storm2,9,1.3,1.299125233164985,pfifo,922.6653599999997,0.005726166856749143,30
storm2,9,1.3,1.299125233164985,random,23098.785133333335,0.06740687374839374,30
storm2,9,1.3,1.299125233164985,rl301,922.6273466666667,0.005828243377863849,30
storm2,9,1.3,1.299125233164985,rl302,944.3047600000001,0.005919393776360156,30
storm2,9,1.3,1.299125233164985,rl303,1102.7192,0.007704518471527866,30
storm2,9,1.3,1.3111922664141435,rollcp2,928.4501500000002,0.005498585517294387,8
storm2,9,1.3,1.299125233164985,v2at301,11941.035800000001,0.0690452632205144,30
storm2,9,1.3,1.299125233164985,v2at302,922.0410799999999,0.005851481019313096,30
storm2,9,1.3,1.299125233164985,v2at303,937.0337733333333,0.0058196442886604225,30
storm2,9,1.3,1.299125233164985,v2at304,942.6979866666666,0.005785286207985736,30
storm2,9,1.3,1.299125233164985,v2at305,959.6127466666666,0.006279036898399275,30
storm2,9,1.3,1.299125233164985,v2at306,926.85472,0.005783282509946846,30
storm2,9,1.3,1.299125233164985,v2at307,928.2741066666665,0.0057388292027625324,30
storm2,9,1.3,1.299125233164985,v2at308,932.15716,0.0058746785461928595,30
storm2,9,1.3,1.299125233164985,v2at309,933.2734799999998,0.005817591639979773,30
storm2,9,1.3,1.299125233164985,v2at310,918.5240666666666,0.00576189105547833,30
storm2,9,1.3,1.299125233164985,v2rl301,937.7625600000003,0.005886873856223478,30
storm2,9,1.3,1.299125233164985,v2rl302,943.0846399999999,0.005964246405671396,30
storm2,9,1.3,1.299125233164985,v2rl303,1216.2572933333333,0.008442741519976114,30
storm2,9,1.3,1.299125233164985,v2rl304,945.6990933333334,0.00589782443390004,30
