scope_type,regime,campus,size,crew_multiplier,arrival_multiplier,seed,pdr,n_pairs,mean_rl,mean_pdr,delta,wilcoxon_p,wins,ties,losses,beats
cell,pmmix,9,150,0.6,1.0,302,edd,90,97.03925777777778,97.12034222222222,-0.08108444444444432,0.31731050786291415,1,89,0,0
cell,pmmix,9,150,0.6,1.0,303,edd,90,97.12034222222222,97.12034222222222,0.0,1.0,0,90,0,0
cell,pmmix,9,150,0.6,1.0,pooled,edd,270,97.09331407407407,97.12034222222222,-0.027028148148148107,0.31731050786291415,1,269,0,0
cell,pmmix,9,150,0.6,1.0,301,wspt,90,97.12034222222222,97.1466088888889,-0.0262666666666664,0.6547208460185769,1,88,1,0
cell,pmmix,9,150,0.6,1.0,302,wspt,90,97.03925777777778,97.1466088888889,-0.10735111111111072,0.31731050786291415,1,89,0,0
cell,pmmix,9,150,0.6,1.0,303,wspt,90,97.12034222222222,97.1466088888889,-0.0262666666666664,0.6547208460185769,1,88,1,0
cell,pmmix,9,150,0.6,1.0,pooled,wspt,270,97.09331407407407,97.1466088888889,-0.0532948148148145,0.21419302571912835,3,265,2,0
cell,pmmix,9,150,0.6,1.0,301,atc,90,97.12034222222222,97.03925777777778,0.08108444444444432,0.31731050786291415,0,89,1,0
cell,pmmix,9,150,0.6,1.0,302,atc,90,97.03925777777778,97.03925777777778,0.0,1.0,0,90,0,0
cell,pmmix,9,150,0.6,1.0,303,atc,90,97.12034222222222,97.03925777777778,0.08108444444444432,0.31731050786291415,0,89,1,0
cell,pmmix,9,150,0.6,1.0,pooled,atc,270,97.09331407407407,97.03925777777778,0.05405629629629621,0.15729920705028502,0,268,2,0
cell,pmmix,9,150,0.6,1.0,301,pfifo,90,97.12034222222222,97.12034222222222,0.0,1.0,0,90,0,0
cell,pmmix,9,150,0.6,1.0,302,pfifo,90,97.03925777777778,97.12034222222222,-0.08108444444444432,0.31731050786291415,1,89,0,0
cell,pmmix,9,150,0.6,1.0,303,pfifo,90,97.12034222222222,97.12034222222222,0.0,1.0,0,90,0,0
cell,pmmix,9,150,0.6,1.0,pooled,pfifo,270,97.09331407407407,97.12034222222222,-0.027028148148148107,0.31731050786291415,1,269,0,0
cell,pmmix,9,150,0.6,1.0,301,lpt,90,97.12034222222222,97.74247555555556,-0.6221333333333335,0.31731050786291415,1,89,0,0
cell,pmmix,9,150,0.6,1.0,302,lpt,90,97.03925777777778,97.74247555555556,-0.7032177777777778,0.31731050786291415,1,89,0,0
cell,pmmix,9,150,0.6,1.0,303,lpt,90,97.12034222222222,97.74247555555556,-0.6221333333333335,0.31731050786291415,1,89,0,0
cell,pmmix,9,150,0.6,1.0,pooled,lpt,270,97.09331407407407,97.74247555555554,-0.6491614814814817,0.10247043485974937,3,267,0,0
cell,pmmix,9,150,0.8,1.0,301,edd,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,0.8,1.0,302,edd,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,0.8,1.0,303,edd,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,0.8,1.0,pooled,edd,270,92.0818311111111,92.0818311111111,0.0,1.0,0,270,0,0
cell,pmmix,9,150,0.8,1.0,301,wspt,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,0.8,1.0,302,wspt,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,0.8,1.0,303,wspt,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,0.8,1.0,pooled,wspt,270,92.0818311111111,92.0818311111111,0.0,1.0,0,270,0,0
cell,pmmix,9,150,0.8,1.0,301,atc,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,0.8,1.0,302,atc,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,0.8,1.0,303,atc,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,0.8,1.0,pooled,atc,270,92.0818311111111,92.0818311111111,0.0,1.0,0,270,0,0
cell,pmmix,9,150,0.8,1.0,301,pfifo,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,0.8,1.0,302,pfifo,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,0.8,1.0,303,pfifo,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,0.8,1.0,pooled,pfifo,270,92.0818311111111,92.0818311111111,0.0,1.0,0,270,0,0
cell,pmmix,9,150,0.8,1.0,301,lpt,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,0.8,1.0,302,lpt,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,0.8,1.0,303,lpt,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,0.8,1.0,pooled,lpt,270,92.0818311111111,92.0818311111111,0.0,1.0,0,270,0,0
cell,pmmix,9,150,1.0,1.0,301,edd,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,1.0,1.0,302,edd,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,1.0,1.0,303,edd,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,1.0,1.0,pooled,edd,270,92.0818311111111,92.0818311111111,0.0,1.0,0,270,0,0
cell,pmmix,9,150,1.0,1.0,301,wspt,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,1.0,1.0,302,wspt,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,1.0,1.0,303,wspt,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,1.0,1.0,pooled,wspt,270,92.0818311111111,92.0818311111111,0.0,1.0,0,270,0,0
cell,pmmix,9,150,1.0,1.0,301,atc,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,1.0,1.0,302,atc,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,1.0,1.0,303,atc,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,1.0,1.0,pooled,atc,270,92.0818311111111,92.0818311111111,0.0,1.0,0,270,0,0
cell,pmmix,9,150,1.0,1.0,301,pfifo,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,1.0,1.0,302,pfifo,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,1.0,1.0,303,pfifo,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,1.0,1.0,pooled,pfifo,270,92.0818311111111,92.0818311111111,0.0,1.0,0,270,0,0
cell,pmmix,9,150,1.0,1.0,301,lpt,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,1.0,1.0,302,lpt,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,1.0,1.0,303,lpt,90,92.0818311111111,92.0818311111111,0.0,1.0,0,90,0,0
cell,pmmix,9,150,1.0,1.0,pooled,lpt,270,92.0818311111111,92.0818311111111,0.0,1.0,0,270,0,0
cell,pmmix,9,400,0.6,1.0,301,edd,90,316.1563155555556,316.16158666666666,-0.005271111111109879,0.31731050786291415,0,90,0,0
cell,pmmix,9,400,0.6,1.0,302,edd,90,316.4188933333333,316.16158666666666,0.25730666666666857,1.0,1,88,1,0
cell,pmmix,9,400,0.6,1.0,303,edd,90,316.16158666666666,316.16158666666666,0.0,1.0,0,90,0,0
cell,pmmix,9,400,0.6,1.0,pooled,edd,270,316.24559851851853,316.16158666666666,0.0840118518518529,0.7127018566581784,1,268,1,0
cell,pmmix,9,400,0.6,1.0,301,wspt,90,316.1563155555556,316.4437155555555,-0.2874000000000011,0.27332167829229814,2,87,1,0
cell,pmmix,9,400,0.6,1.0,302,wspt,90,316.4188933333333,316.4437155555555,-0.024822222222222638,0.17971249487899976,1,89,0,0
cell,pmmix,9,400,0.6,1.0,303,wspt,90,316.16158666666666,316.4437155555555,-0.2821288888888912,0.4652088184521418,2,87,1,0
cell,pmmix,9,400,0.6,1.0,pooled,wspt,270,316.24559851851853,316.44371555555546,-0.1981170370370383,0.11248161417523894,5,263,2,0
cell,pmmix,9,400,0.6,1.0,301,atc,90,316.1563155555556,316.4208355555555,-0.26452000000000075,0.5929800980174267,1,88,1,0
