id,base_instance_id,campus,size,scenario,sla_mult_p1,sla_mult_p2,sla_mult_p3,sla_mult_p4,pm_priority,n_wos,window_bh,u_realized,method,seed,feasible,wwt,makespan,mean_flow,breach_share,wall_seconds
c01_final_150_0001_emg,c01_final_150_0001,1,150,emg,0.5,0.5,1.0,1.0,,150,3.1106,1.261523,v2rl305,305,1,0.0,91.1517,3.717578,0.0,0.027502857032231987
c01_final_150_0001_emg,c01_final_150_0001,1,150,emg,0.5,0.5,1.0,1.0,,150,3.1106,1.261523,v2rl306,306,1,0.0,91.1517,3.717578000000001,0.0,0.027672798954881728
c01_final_150_0001_emg,c01_final_150_0001,1,150,emg,0.5,0.5,1.0,1.0,,150,3.1106,1.261523,v2rl307,307,1,0.0,91.1517,3.382773333333333,0.0,0.02793201501481235
c01_final_150_0001_emg,c01_final_150_0001,1,150,emg,0.5,0.5,1.0,1.0,,150,3.1106,1.261523,v2rl308,308,1,0.0,91.1517,3.710911333333334,0.0,0.027969366987235844
c01_final_150_0001_emg,c01_final_150_0001,1,150,emg,0.5,0.5,1.0,1.0,,150,3.1106,1.261523,v2rl309,309,1,0.0,91.1517,3.717578000000001,0.0,0.0276279499521479
c01_final_150_0001_emg,c01_final_150_0001,1,150,emg,0.5,0.5,1.0,1.0,,150,3.1106,1.261523,v2rl310,310,1,0.0,91.1517,3.4597506666666673,0.0,0.0280289159854874
c01_final_150_0001_rtn,c01_final_150_0001,1,150,rtn,1.0,1.0,0.5,0.5,,150,3.1106,1.261523,edd,301,1,5.1648,91.1517,3.5690346666666666,0.006666666666666667,0.0007216189987957478
c01_final_150_0001_rtn,c01_final_150_0001,1,150,rtn,1.0,1.0,0.5,0.5,,150,3.1106,1.261523,pfifo,301,1,5.1648,91.1517,3.5690346666666666,0.006666666666666667,0.0005783410742878914
c01_final_150_0001_rtn,c01_final_150_0001,1,150,rtn,1.0,1.0,0.5,0.5,,150,3.1106,1.261523,wspt,301,1,5.1648,91.1517,3.3472966666666664,0.006666666666666667,0.0006850659847259521
c01_final_150_0001_rtn,c01_final_150_0001,1,150,rtn,1.0,1.0,0.5,0.5,,150,3.1106,1.261523,atc,301,1,5.1648,91.1517,3.3472966666666664,0.006666666666666667,0.0011183409951627254
c01_final_150_0001_rtn,c01_final_150_0001,1,150,rtn,1.0,1.0,0.5,0.5,,150,3.1106,1.261523,wmdd,301,1,5.1648,91.1517,3.5690346666666666,0.006666666666666667,0.0004932599840685725
