id,campus,track,split,size,regime,crew_multiplier,arrival_multiplier,pm_share_override,method,seed,feasible,wwt,makespan,mean_flow,breach_share,breach_p1,breach_p2,breach_p3,breach_p4,wall_seconds,decisions,mean_ms_per_decision,mean_replan_s,u_target,u_realized,eval_set
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,v2rl309,309,1,0.0,91.1517,3.717578000000001,0.0,0.0,0.0,,0.0,0.056571883033029735,150,0.3771458868868649,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,v2rl310,310,1,0.0,91.1517,3.4597506666666673,0.0,0.0,0.0,,0.0,0.053495341911911964,150,0.35663561274607974,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,v2at301,301,1,0.0,91.1517,3.3472966666666664,0.0,0.0,0.0,,0.0,0.17321371391881257,150,1.1547580927920837,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,v2at302,302,1,0.0,91.1517,3.6050873333333335,0.0,0.0,0.0,,0.0,0.16986714699305594,150,1.132447646620373,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,v2at303,303,1,0.0,91.1517,3.347296666666667,0.0,0.0,0.0,,0.0,0.17178523598704487,150,1.1452349065802991,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,v2at304,304,1,0.0,91.1517,3.347296666666667,0.0,0.0,0.0,,0.0,0.1625182069838047,150,1.0834547132253647,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,v2at305,305,1,0.0,91.1517,3.717578000000001,0.0,0.0,0.0,,0.0,0.08387477602809668,150,0.5591651735206445,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,v2at306,306,1,0.0,91.1517,3.3472966666666664,0.0,0.0,0.0,,0.0,0.08425465598702431,150,0.561697706580162,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,v2at307,307,1,0.0,91.1517,3.3602913333333335,0.0,0.0,0.0,,0.0,0.08472987206187099,150,0.5648658137458066,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,v2at308,308,1,0.0,91.1517,3.487802,0.0,0.0,0.0,,0.0,0.08573862805496901,150,0.5715908536997935,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,v2at309,309,1,0.0,91.1517,3.3472966666666664,0.0,0.0,0.0,,0.0,0.08677531511057168,150,0.5785021007371446,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,v2at310,310,1,0.0,91.1517,3.456505333333333,0.0,0.0,0.0,,0.0,0.08967944793403149,150,0.5978629862268766,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,rollcp2,0,1,0.0,91.1584,4.171853333333334,0.0,0.0,0.0,,0.0,6.186191190034151,14,441.87079928815365,0.44134659422395217,,1.2615230556874162,final
