update,mean_train_return,dev_wwt_mean,entropy,value_loss,seconds
249,-1.622441,410.680213,0.848963,0.827881,1.116
250,-1.306040,410.680213,0.619745,0.630172,1.478
251,-2.256049,410.680213,0.635551,1.080904,1.134
252,-2.631014,410.680213,0.518949,0.766408,1.441
253,-1.492143,410.680213,0.529208,0.523210,1.179
254,-2.182513,410.680213,0.347871,0.629435,1.446
255,-2.525056,410.680213,0.313630,1.218439,1.076
256,-2.530885,410.680213,0.485209,0.827968,1.440
257,-2.803403,410.680213,0.573648,1.400477,1.091
258,-2.147586,410.680213,0.703317,0.575050,1.466
259,-2.625086,410.680213,0.622643,1.450126,1.220
260,-3.558095,410.680213,0.637699,1.393248,3.146
261,-2.686089,410.680213,0.401982,1.245870,1.053
262,-4.484447,410.680213,0.473775,2.077860,1.451
263,-3.262436,410.680213,0.605371,1.872388,1.212
264,-2.487223,410.680213,0.333164,1.351406,1.335
265,-3.107022,410.680213,0.749079,1.855980,1.155
266,-2.838716,410.680213,0.757551,0.937912,1.270
267,-1.765694,410.680213,0.762066,1.001136,1.007
268,-2.382582,410.680213,0.671953,1.713839,1.270
269,-3.821658,410.680213,0.349124,1.460667,0.974
270,-4.148404,410.680213,0.615684,2.130416,1.274
271,-2.610891,410.680213,0.409754,1.330282,1.044
272,-3.032788,410.680213,0.514522,1.793763,1.250
273,-3.024656,410.680213,0.684820,1.390417,1.012
274,-0.848874,410.680213,0.606739,0.840228,1.324
275,-3.623177,410.680213,0.534119,1.055305,0.962
276,-1.926193,410.680213,0.626399,1.579272,1.288
277,-3.966119,410.680213,0.485696,2.496722,1.007
278,-3.514635,410.680213,0.508363,2.000695,1.328
279,-5.510090,410.680213,0.650585,1.094420,1.102
280,-1.978241,410.680213,0.542246,0.827697,2.388
281,-6.166041,410.680213,0.345298,3.051795,1.056
282,-4.307900,410.680213,0.389629,1.305606,1.337
283,-1.310484,410.680213,0.680216,0.459111,1.076
284,-2.164456,410.680213,0.489214,0.867707,1.302
285,-2.389296,410.680213,0.495027,1.350324,1.061
286,-2.462251,410.680213,0.876005,0.424717,1.342
287,-1.538483,410.680213,0.731637,0.503136,1.032
288,-2.052366,410.680213,0.861584,0.636107,1.380
289,-1.875056,410.680213,0.793078,0.368829,1.154
290,-3.706070,410.680213,0.390954,1.661371,1.416
291,-3.560037,410.680213,0.520227,1.045502,1.138
292,-2.774735,410.680213,0.537134,1.038956,1.428
293,-2.318394,410.680213,0.550269,1.128460,1.177
294,-3.367672,410.680213,0.275208,1.513163,1.399
295,-2.196034,410.680213,0.954164,0.534120,1.236
296,-2.889645,410.680213,0.611535,1.048742,1.446
297,-2.694680,410.680213,0.562222,1.066532,1.165
298,-3.162086,410.680213,0.304415,1.477297,1.403
299,-3.991696,410.680213,0.338388,1.265918,1.228
300,-2.049057,410.680213,0.491736,0.524088,3.047
