id,campus,size,method,overhead,twt,n_wo,n_missing_building,missing_share,feasible0
c05_replay_150_0116,5,150,mor,0.0,0.0,150,0,0.0,1
c05_replay_150_0116,5,150,mor,0.25,0.0,150,0,0.0,1
c05_replay_150_0116,5,150,mor,0.5,0.0,150,0,0.0,1
c05_replay_150_0116,5,150,random,0.0,0.0,150,0,0.0,1
c05_replay_150_0116,5,150,random,0.25,0.0,150,0,0.0,1
c05_replay_150_0116,5,150,random,0.5,0.0,150,0,0.0,1
c05_replay_150_0117,5,150,edd,0.0,0.0,150,0,0.0,1
c05_replay_150_0117,5,150,edd,0.25,0.0,150,0,0.0,1
c05_replay_150_0117,5,150,edd,0.5,0.0,150,0,0.0,1
c05_replay_150_0117,5,150,wspt,0.0,0.0,150,0,0.0,1
c05_replay_150_0117,5,150,wspt,0.25,0.0,150,0,0.0,1
c05_replay_150_0117,5,150,wspt,0.5,0.0,150,0,0.0,1
c05_replay_150_0117,5,150,atc,0.0,0.0,150,0,0.0,1
c05_replay_150_0117,5,150,atc,0.25,0.0,150,0,0.0,1
c05_replay_150_0117,5,150,atc,0.5,0.0,150,0,0.0,1
c05_replay_150_0117,5,150,pfifo,0.0,0.0,150,0,0.0,1
c05_replay_150_0117,5,150,pfifo,0.25,0.0,150,0,0.0,1
c05_replay_150_0117,5,150,pfifo,0.5,0.0,150,0,0.0,1
c05_replay_150_0117,5,150,mor,0.0,0.0,150,0,0.0,1
c05_replay_150_0117,5,150,mor,0.25,0.0,150,0,0.0,1
c05_replay_150_0117,5,150,mor,0.5,0.0,150,0,0.0,1
c05_replay_150_0117,5,150,random,0.0,0.0,150,0,0.0,1
c05_replay_150_0117,5,150,random,0.25,0.0,150,0,0.0,1
c05_replay_150_0117,5,150,random,0.5,0.0,150,0,0.0,1
c05_replay_150_0118,5,150,edd,0.0,2.0,150,0,0.0,1
c05_replay_150_0118,5,150,edd,0.25,2.5,150,0,0.0,1
c05_replay_150_0118,5,150,edd,0.5,3.0,150,0,0.0,1
c05_replay_150_0118,5,150,wspt,0.0,2.0,150,0,0.0,1
c05_replay_150_0118,5,150,wspt,0.25,2.5,150,0,0.0,1
c05_replay_150_0118,5,150,wspt,0.5,3.0,150,0,0.0,1
c05_replay_150_0118,5,150,atc,0.0,2.0,150,0,0.0,1
c05_replay_150_0118,5,150,atc,0.25,2.5,150,0,0.0,1
c05_replay_150_0118,5,150,atc,0.5,3.0,150,0,0.0,1
c05_replay_150_0118,5,150,pfifo,0.0,2.0,150,0,0.0,1
c05_replay_150_0118,5,150,pfifo,0.25,2.5,150,0,0.0,1
c05_replay_150_0118,5,150,pfifo,0.5,3.0,150,0,0.0,1
c05_replay_150_0118,5,150,mor,0.0,2.0,150,0,0.0,1
c05_replay_150_0118,5,150,mor,0.25,2.5,150,0,0.0,1
c05_replay_150_0118,5,150,mor,0.5,3.0,150,0,0.0,1
c05_replay_150_0118,5,150,random,0.0,2.0,150,0,0.0,1
c05_replay_150_0118,5,150,random,0.25,2.5,150,0,0.0,1
